x,y,z
-21.666666,-19.5,-10.0
-18.5,-6.5,-3.333333
-18.5,-7.0,-3.333333
-18.5,-7.5,-3.333333
-18.5,-8.0,-3.333333
-18.5,-8.5,-3.333333
-18.5,-9.0,-3.333333
-18.5,-9.5,-3.333333
-18.5,-10.0,-3.333333
-18.5,-10.5,-3.333333
-18.5,-11.0,-3.333333
-18.5,-11.5,-3.333333
-18.5,-12.0,-3.333333
-18.5,-12.5,-3.333333
-18.5,-13.0,-3.333333
-18.5,-13.5,-3.333333
-18.5,-14.0,-3.333333
-18.5,-14.5,-3.333333
-18.5,-6.0,-3.333333
-18.5,-15.0,-3.333333
-18.5,-5.5,-3.333333
-18.5,-4.5,-3.333333
-18.5,4.0,-3.333333
-18.5,3.5,-3.333333
-18.5,3.0,-3.333333
-18.5,2.5,-3.333333
-18.5,2.0,-3.333333
-18.5,1.5,-3.333333
-18.5,1.0,-3.333333
-18.5,0.5,-3.333333
-18.5,0.0,-3.333333
-18.5,-0.5,-3.333333
-18.5,-1.0,-3.333333
-18.5,-1.5,-3.333333
-18.5,-2.0,-3.333333
-18.5,-2.5,-3.333333
-18.5,-3.0,-3.333333
-18.5,-3.5,-3.333333
-18.5,-4.0,-3.333333
-18.5,-5.0,-3.333333
-18.5,4.5,-3.333333
-18.5,-15.5,-3.333333
-18.5,-16.5,-3.333333
-9.0,-18.5,-3.333333
-8.5,-18.5,-3.333333
-8.0,-18.5,-3.333333
-7.5,-18.5,-3.333333
-7.0,-18.5,-3.333333
-6.5,-18.5,-3.333333
-6.0,-18.5,-3.333333
-5.5,-18.5,-3.333333
-5.0,-18.5,-3.333333
-4.5,-18.5,-3.333333
-4.0,-18.5,-3.333333
-3.5,-18.5,-3.333333
-3.0,-18.5,-3.333333
-2.5,-18.5,-3.333333
-2.0,-18.5,-3.333333
-1.5,-18.5,-3.333333
-1.0,-18.5,-3.333333
-9.5,-18.5,-3.333333
-18.5,-16.0,-3.333333
-10.0,-18.5,-3.333333
-11.0,-18.5,-3.333333
-18.5,-17.0,-3.333333
-18.5,-17.5,-3.333333
-18.5,-18.0,-3.333333
-18.0,-18.5,-3.333333
-17.5,-18.5,-3.333333
-17.0,-18.5,-3.333333
-16.5,-18.5,-3.333333
-16.0,-18.5,-3.333333
-15.5,-18.5,-3.333333
-15.0,-18.5,-3.333333
-14.5,-18.5,-3.333333
-14.0,-18.5,-3.333333
-13.5,-18.5,-3.333333
-13.0,-18.5,-3.333333
-12.5,-18.5,-3.333333
-12.0,-18.5,-3.333333
-11.5,-18.5,-3.333333
-10.5,-18.5,-3.333333
-0.5,-18.5,-3.333333
-18.5,5.0,-3.333333
-18.5,6.0,-3.333333
8.125,25.0,-6.666667
8.75,25.0,-6.666667
9.375,25.0,-6.666667
10.0,25.0,-6.666667
10.625,25.0,-6.666667
11.25,25.0,-6.666667
11.875,25.0,-6.666667
12.5,25.0,-6.666667
13.125,25.0,-6.666667
13.75,25.0,-6.666667
14.375,25.0,-6.666667
15.0,25.0,-6.666667
15.625,25.0,-6.666667
16.25,25.0,-6.666667
16.875,25.0,-6.666667
17.5,25.0,-6.666667
18.125,25.0,-6.666667
7.5,25.0,-6.666667
18.75,25.0,-6.666667
6.875,25.0,-6.666667
5.625,25.0,-6.666667
-5.0,25.0,-6.666667
-4.375,25.0,-6.666667
-3.75,25.0,-6.666667
-3.125,25.0,-6.666667
-2.5,25.0,-6.666667
-1.875,25.0,-6.666667
-1.25,25.0,-6.666667
-0.625,25.0,-6.666667
0.0,25.0,-6.666667
0.625,25.0,-6.666667
1.25,25.0,-6.666667
1.875,25.0,-6.666667
2.5,25.0,-6.666667
3.125,25.0,-6.666667
3.75,25.0,-6.666667
4.375,25.0,-6.666667
5.0,25.0,-6.666667
6.25,25.0,-6.666667
-18.5,5.5,-3.333333
19.375,25.0,-6.666667
20.625,25.0,-6.666667
-18.5,14.5,-3.333333
-18.5,14.0,-3.333333
-18.5,13.5,-3.333333
-18.5,13.0,-3.333333
-18.5,12.5,-3.333333
-18.5,12.0,-3.333333
-18.5,11.5,-3.333333
-18.5,11.0,-3.333333
-18.5,10.5,-3.333333
-18.5,10.0,-3.333333
-18.5,9.5,-3.333333
-18.5,9.0,-3.333333
-18.5,8.5,-3.333333
-18.5,8.0,-3.333333
-18.5,7.5,-3.333333
-18.5,7.0,-3.333333
-18.5,6.5,-3.333333
-18.5,15.0,-3.333333
20.0,25.0,-6.666667
-18.5,15.5,-3.333333
-18.5,16.5,-3.333333
21.25,25.0,-6.666667
21.875,25.0,-6.666667
22.5,25.0,-6.666667
23.125,25.0,-6.666667
23.75,25.0,-6.666667
24.375,25.0,-6.666667
-18.5,18.5,-3.333333
-18.5,-18.5,-3.333333
18.5,-18.5,-3.333333
18.5,18.5,-3.333333
20.0,-20.0,-3.333333
20.0,20.0,-3.333333
-20.0,20.0,-3.333333
-20.0,-20.0,-3.333333
-18.5,18.0,-3.333333
-18.5,17.5,-3.333333
-18.5,17.0,-3.333333
-18.5,16.0,-3.333333
-5.625,25.0,-6.666667
0.0,-18.5,-3.333333
1.0,-18.5,-3.333333
18.5,17.5,-3.333333
18.5,18.0,-3.333333
18.0,18.5,-3.333333
17.5,18.5,-3.333333
17.0,18.5,-3.333333
16.5,18.5,-3.333333
16.0,18.5,-3.333333
15.5,18.5,-3.333333
15.0,18.5,-3.333333
14.5,18.5,-3.333333
14.0,18.5,-3.333333
13.5,18.5,-3.333333
13.0,18.5,-3.333333
12.5,18.5,-3.333333
12.0,18.5,-3.333333
11.5,18.5,-3.333333
11.0,18.5,-3.333333
18.5,17.0,-3.333333
10.5,18.5,-3.333333
18.5,16.5,-3.333333
18.5,15.5,-3.333333
18.5,7.0,-3.333333
18.5,7.5,-3.333333
18.5,8.0,-3.333333
18.5,8.5,-3.333333
18.5,9.0,-3.333333
18.5,9.5,-3.333333
18.5,10.0,-3.333333
18.5,10.5,-3.333333
18.5,11.0,-3.333333
18.5,11.5,-3.333333
18.5,12.0,-3.333333
18.5,12.5,-3.333333
18.5,13.0,-3.333333
18.5,13.5,-3.333333
18.5,14.0,-3.333333
18.5,14.5,-3.333333
18.5,15.0,-3.333333
18.5,16.0,-3.333333
18.5,6.5,-3.333333
10.0,18.5,-3.333333
9.0,18.5,-3.333333
-2.0,18.5,-3.333333
-2.5,18.5,-3.333333
-3.0,18.5,-3.333333
-3.5,18.5,-3.333333
-4.0,18.5,-3.333333
-4.5,18.5,-3.333333
-5.0,18.5,-3.333333
-5.5,18.5,-3.333333
-6.0,18.5,-3.333333
-6.5,18.5,-3.333333
-7.0,18.5,-3.333333
-7.5,18.5,-3.333333
-8.0,18.5,-3.333333
-8.5,18.5,-3.333333
-9.0,18.5,-3.333333
-9.5,18.5,-3.333333
-10.0,18.5,-3.333333
-1.5,18.5,-3.333333
9.5,18.5,-3.333333
-1.0,18.5,-3.333333
0.0,18.5,-3.333333
8.5,18.5,-3.333333
8.0,18.5,-3.333333
7.5,18.5,-3.333333
7.0,18.5,-3.333333
6.5,18.5,-3.333333
6.0,18.5,-3.333333
5.5,18.5,-3.333333
5.0,18.5,-3.333333
4.5,18.5,-3.333333
4.0,18.5,-3.333333
3.5,18.5,-3.333333
3.0,18.5,-3.333333
2.5,18.5,-3.333333
2.0,18.5,-3.333333
1.5,18.5,-3.333333
1.0,18.5,-3.333333
0.5,18.5,-3.333333
-0.5,18.5,-3.333333
0.5,-18.5,-3.333333
18.5,6.0,-3.333333
18.5,5.0,-3.333333
12.0,-18.5,-3.333333
12.5,-18.5,-3.333333
13.0,-18.5,-3.333333
13.5,-18.5,-3.333333
14.0,-18.5,-3.333333
14.5,-18.5,-3.333333
15.0,-18.5,-3.333333
15.5,-18.5,-3.333333
16.0,-18.5,-3.333333
16.5,-18.5,-3.333333
17.0,-18.5,-3.333333
17.5,-18.5,-3.333333
18.0,-18.5,-3.333333
18.5,-18.0,-3.333333
18.5,-17.5,-3.333333
18.5,-17.0,-3.333333
18.5,-16.5,-3.333333
11.5,-18.5,-3.333333
18.5,-16.0,-3.333333
11.0,-18.5,-3.333333
10.0,-18.5,-3.333333
1.5,-18.5,-3.333333
2.0,-18.5,-3.333333
2.5,-18.5,-3.333333
3.0,-18.5,-3.333333
3.5,-18.5,-3.333333
4.0,-18.5,-3.333333
4.5,-18.5,-3.333333
5.0,-18.5,-3.333333
5.5,-18.5,-3.333333
6.0,-18.5,-3.333333
6.5,-18.5,-3.333333
7.0,-18.5,-3.333333
7.5,-18.5,-3.333333
8.0,-18.5,-3.333333
8.5,-18.5,-3.333333
9.0,-18.5,-3.333333
9.5,-18.5,-3.333333
10.5,-18.5,-3.333333
18.5,5.5,-3.333333
18.5,-15.5,-3.333333
18.5,-14.5,-3.333333
18.5,-3.5,-3.333333
18.5,-3.0,-3.333333
18.5,-2.5,-3.333333
18.5,-2.0,-3.333333
18.5,-1.5,-3.333333
18.5,-1.0,-3.333333
18.5,-0.5,-3.333333
18.5,0.0,-3.333333
18.5,0.5,-3.333333
18.5,1.0,-3.333333
18.5,1.5,-3.333333
18.5,2.0,-3.333333
18.5,2.5,-3.333333
18.5,3.0,-3.333333
18.5,3.5,-3.333333
18.5,4.0,-3.333333
18.5,4.5,-3.333333
18.5,-4.0,-3.333333
18.5,-15.0,-3.333333
18.5,-4.5,-3.333333
18.5,-5.5,-3.333333
18.5,-14.0,-3.333333
18.5,-13.5,-3.333333
18.5,-13.0,-3.333333
18.5,-12.5,-3.333333
18.5,-12.0,-3.333333
18.5,-11.5,-3.333333
18.5,-11.0,-3.333333
18.5,-10.5,-3.333333
18.5,-10.0,-3.333333
18.5,-9.5,-3.333333
18.5,-9.0,-3.333333
18.5,-8.5,-3.333333
18.5,-8.0,-3.333333
18.5,-7.5,-3.333333
18.5,-7.0,-3.333333
18.5,-6.5,-3.333333
18.5,-6.0,-3.333333
18.5,-5.0,-3.333333
-10.5,18.5,-3.333333
-6.25,25.0,-6.666667
-7.5,25.0,-6.666667
25.0,1.25,-3.333333
25.0,0.625,-3.333333
25.0,0.0,-3.333333
25.0,-0.625,-3.333333
25.0,-1.25,-3.333333
25.0,-1.875,-3.333333
25.0,-2.5,-3.333333
25.0,-3.125,-3.333333
25.0,-3.75,-3.333333
25.0,-4.375,-3.333333
25.0,-5.0,-3.333333
25.0,-5.625,-3.333333
25.0,-6.25,-3.333333
25.0,-6.875,-3.333333
25.0,-7.5,-3.333333
