gamma_result,ref,TiDE_pred,LP
400.0,3000.0,400.0,533.8514
527.03894,3000.0,527.03894,533.85516
1636.7411,3000.0,1636.7411,533.8588
1931.1465,3000.0,1931.1465,533.8624
2160.7388,3000.0,2160.7388,533.86597
2269.5132,3000.0,2269.5132,533.86945
2336.47,3000.0,2336.47,533.87286
2374.6755,3000.0,2374.6755,533.8762
2381.918,3000.0,2381.918,533.87946
2381.277,3000.0,2381.277,533.8827
2416.4507,3000.0,2416.4507,533.8858
2421.8704,3000.0,2421.8704,533.88885
2404.87,3000.0,2404.87,533.89185
2425.262,3000.0,2425.262,533.8948
2402.5525,3000.0,2402.5525,533.8976
2418.202,3000.0,2418.202,533.9004
2421.4087,3000.0,2421.4087,533.9031
2427.5913,3000.0,2427.5913,533.90576
2416.8142,3000.0,2416.8142,533.9083
2431.0027,3000.0,2431.0027,533.9108
2422.4458,3000.0,2422.4458,533.91327
2429.3787,3000.0,2429.3787,533.91565
2424.6934,3000.0,2424.6934,533.91797
2437.1133,3000.0,2437.1133,533.9202
2437.2246,3000.0,2437.2246,533.92236
2450.9885,3000.0,2450.9885,533.9245
2455.1326,3000.0,2455.1326,533.9265
2458.9065,3000.0,2458.9065,533.9285
2466.3904,3000.0,2466.3904,533.9304
2470.527,3000.0,2470.527,533.93225
2483.2402,3000.0,2483.2402,533.934
2476.5933,3000.0,2476.5933,533.9357
2439.582,3000.0,2439.582,533.9374
2448.326,3000.0,2448.326,533.93896
2459.8176,3000.0,2459.8176,533.9404
2456.1516,3000.0,2456.1516,533.9419
2455.4207,3000.0,2455.4207,533.9433
2472.8494,3000.0,2472.8494,533.9446
2475.8997,3000.0,2475.8997,533.94586
2461.6338,3000.0,2461.6338,533.947
2463.613,3000.0,2463.613,533.9482
2462.2917,3000.0,2462.2917,533.9492
2480.5916,3000.0,2480.5916,533.9502
2478.8464,3000.0,2478.8464,533.9511
2469.3645,3000.0,2469.3645,533.952
2462.0288,3000.0,2462.0288,533.9528
2463.7249,3000.0,2463.7249,533.95355
2467.4834,3000.0,2467.4834,533.9542
2474.8828,3000.0,2474.8828,533.95483
2479.7476,3000.0,2479.7476,537.1519
2479.7476,3000.0,2530.9087,537.1519
2490.116,3000.0,2543.4675,540.9533
2495.385,3000.0,2559.281,544.42255
2511.1038,3000.0,2550.4944,546.85034
2546.3755,3000.0,2573.4807,550.5507
2565.3088,3000.0,2609.675,553.3097
2590.6233,3000.0,2626.2021,555.806
2629.7388,3000.0,2641.749,558.161
2600.8389,3000.0,2682.1907,560.2126
2626.6675,3000.0,2640.7983,562.47754
2619.3384,3000.0,2666.3672,564.5748
2642.1257,3000.0,2663.0422,566.6132
2633.6487,3000.0,2692.2773,568.3703
2664.4407,3000.0,2674.6025,570.2538
2671.1682,3000.0,2707.7607,571.8618
2718.2246,3000.0,2715.7703,573.3855
2683.6685,3000.0,2766.7664,574.5365
2728.8435,3000.0,2710.3096,576.0194
2713.8923,3000.0,2757.4365,577.13983
2769.3357,3000.0,2743.3818,578.37537
2714.5378,3000.0,2807.6296,579.1675
2783.5159,3000.0,2724.1895,580.398
2729.6824,3000.0,2805.0703,581.18744
2787.7993,3000.0,2742.372,582.3093
2771.2883,3000.0,2812.127,583.07715
2801.9585,3000.0,2788.6833,583.9643
2747.9353,3000.0,2819.289,584.69275
2798.4143,3000.0,2740.3738,585.7615
2794.8655,3000.0,2806.8594,586.5422
2850.6763,3000.0,2813.5532,587.2792
2809.4407,3000.0,2876.4255,587.75946
2841.7566,3000.0,2799.8904,588.5505
2799.3445,3000.0,2826.6118,589.2066
2834.378,3000.0,2792.1487,589.7785
2790.2595,3000.0,2844.2734,590.20526
2860.4114,3000.0,2796.2202,590.9546
2830.37,3000.0,2872.7822,591.46655
2854.6094,3000.0,2833.1714,592.19867
2808.2725,3000.0,2851.1995,592.8678
2835.1033,3000.0,2800.534,593.7315
2813.4617,3000.0,2843.306,594.4358
2867.0093,3000.0,2830.7803,595.1914
2835.0173,3000.0,2889.2478,595.8039
2873.5752,3000.0,2843.6724,596.6001
2821.6433,3000.0,2878.5933,597.28326
2860.024,3000.0,2829.9807,598.0337
2818.559,3000.0,2883.236,598.5798
2870.9258,3000.0,2849.318,599.2953
2881.0332,3000.0,2904.9358,599.8739
2911.8938,3000.0,2911.1091,600.51416
2836.6255,3000.0,2928.8674,600.99023
2865.6792,3000.0,2854.297,601.7369
2858.362,3000.0,2890.4463,602.24005
2896.2112,3000.0,2904.067,602.7334
2893.9744,3000.0,2936.7222,603.1854
2921.1448,3000.0,2918.2651,603.80725
2851.796,3000.0,2929.999,604.4058
2888.7488,3000.0,2870.791,605.2457
2857.6912,3000.0,2914.443,605.8843
2916.493,3000.0,2900.826,606.5721
2924.1338,3000.0,2948.6438,607.0546
2951.0317,3000.0,2938.9375,607.6701
2905.9836,3000.0,2950.2805,608.22687
2958.0295,3000.0,2908.1243,608.9672
2913.9966,3000.0,2963.336,609.40656
2973.3616,3000.0,2932.8264,610.033
2977.3186,3000.0,2978.601,610.3712
2982.9836,3000.0,2971.204,610.60614
2929.9578,3000.0,2968.9587,610.78595
2965.2588,3000.0,2919.786,611.22705
2925.273,3000.0,2965.263,611.3372
2990.577,3000.0,2942.6382,611.5817
2979.6045,3000.0,2997.4844,611.5239
2986.0757,3000.0,2975.9873,611.634
2938.2039,3000.0,2972.8247,611.7288
2979.5452,3000.0,2935.6626,612.0912
2931.594,3000.0,2986.5886,612.0912
3000.1946,3000.0,2955.4573,612.3189
2994.9685,3000.0,3005.7817,612.24945
