gamma_result,ref,TiDE_pred,LP
400.0,3200.0,400.0,533.8514
527.03894,3200.0,527.03894,533.85516
1636.7411,3200.0,1636.7411,533.8588
1931.1465,3200.0,1931.1465,533.8624
2160.7388,3200.0,2160.7388,533.86597
2269.5132,3200.0,2269.5132,533.86945
2336.47,3200.0,2336.47,533.87286
2374.6755,3200.0,2374.6755,533.8762
2381.918,3200.0,2381.918,533.87946
2381.277,3200.0,2381.277,533.8827
2416.4507,3200.0,2416.4507,533.8858
2421.8704,3200.0,2421.8704,533.88885
2404.87,3200.0,2404.87,533.89185
2425.262,3200.0,2425.262,533.8948
2402.5525,3200.0,2402.5525,533.8976
2418.202,3200.0,2418.202,533.9004
2421.4087,3200.0,2421.4087,533.9031
2427.5913,3200.0,2427.5913,533.90576
2416.8142,3200.0,2416.8142,533.9083
2431.0027,3200.0,2431.0027,533.9108
2422.4458,3200.0,2422.4458,533.91327
2429.3787,3200.0,2429.3787,533.91565
2424.6934,3200.0,2424.6934,533.91797
2437.1133,3200.0,2437.1133,533.9202
2437.2246,3200.0,2437.2246,533.92236
2450.9885,3200.0,2450.9885,533.9245
2455.1326,3200.0,2455.1326,533.9265
2458.9065,3200.0,2458.9065,533.9285
2466.3904,3200.0,2466.3904,533.9304
2470.527,3200.0,2470.527,533.93225
2483.2402,3200.0,2483.2402,533.934
2476.5933,3200.0,2476.5933,533.9357
2439.582,3200.0,2439.582,533.9374
2448.326,3200.0,2448.326,533.93896
2459.8176,3200.0,2459.8176,533.9404
2456.1516,3200.0,2456.1516,533.9419
2455.4207,3200.0,2455.4207,533.9433
2472.8494,3200.0,2472.8494,533.9446
2475.8997,3200.0,2475.8997,533.94586
2461.6338,3200.0,2461.6338,533.947
2463.613,3200.0,2463.613,533.9482
2462.2917,3200.0,2462.2917,533.9492
2480.5916,3200.0,2480.5916,533.9502
2478.8464,3200.0,2478.8464,533.9511
2469.3645,3200.0,2469.3645,533.952
2462.0288,3200.0,2462.0288,533.9528
2463.7249,3200.0,2463.7249,533.95355
2467.4834,3200.0,2467.4834,533.9542
2474.8828,3200.0,2474.8828,533.95483
2479.2744,3200.0,2479.2744,538.5404
2479.2744,3200.0,2629.8005,538.5404
2497.8887,3200.0,2642.5127,543.46375
2540.1555,3200.0,2666.6323,548.2813
2572.764,3200.0,2700.4075,552.6268
2593.0925,3200.0,2720.2642,556.2276
2619.1123,3200.0,2722.8267,559.59937
2624.7837,3200.0,2734.5107,563.0162
2669.4866,3200.0,2736.1252,566.2213
2684.51,3200.0,2785.274,569.07935
2751.7776,3200.0,2798.5596,571.9585
2704.6438,3200.0,2855.0403,574.48096
2782.9617,3200.0,2782.7202,577.1915
2740.5144,3200.0,2859.9329,579.5155
2795.2607,3200.0,2816.4243,582.03296
2742.6145,3200.0,2874.7708,584.1045
2810.2031,3200.0,2809.284,586.45374
2800.6008,3200.0,2876.7449,588.4507
2860.1592,3200.0,2865.1323,590.52985
2826.143,3200.0,2925.5667,592.0469
2868.3743,3200.0,2871.862,594.0109
2817.8845,3200.0,2909.082,595.65546
2873.5488,3200.0,2846.482,597.5131
2865.8816,3200.0,2918.6643,598.9612
2902.2344,3200.0,2914.6592,600.47406
2903.0847,3200.0,2943.3074,601.6203
2932.0583,3200.0,2928.2354,602.93555
2905.9734,3200.0,2956.0952,604.0066
2933.3984,3200.0,2919.9502,605.36566
2910.6047,3200.0,2948.638,606.4946
2965.3394,3200.0,2924.159,607.66113
2939.512,3200.0,2983.7043,608.3099
2970.8022,3200.0,2942.8005,609.23236
2924.2603,3200.0,2967.9004,610.0562
2975.9502,3200.0,2909.289,611.2891
2927.4937,3200.0,2974.6018,612.1091
3004.3054,3200.0,2917.8123,613.2705
2968.2144,3200.0,3003.1682,613.652
2987.18,3200.0,2947.7188,614.36035
2932.888,3200.0,2957.7969,614.9597
2981.2874,3200.0,2900.1326,615.6341
2930.5015,3200.0,2967.1248,616.27856
2997.47,3200.0,2924.384,616.9863
3003.679,3200.0,2993.2717,617.2179
3000.6213,3200.0,2995.7454,617.74615
2955.2986,3200.0,2982.6677,618.27295
2997.3132,3200.0,2928.9683,619.3225
2944.139,3200.0,2994.3723,619.80804
3019.4211,3200.0,2960.429,620.1381
3012.8904,3200.0,3035.356,620.59296
3014.573,3200.0,3024.2441,621.0757
2968.797,3200.0,3016.177,621.5793
3014.3308,3200.0,2969.5515,622.11597
2963.7666,3200.0,3035.4956,622.49475
3049.97,3200.0,3000.5903,623.0044
3054.9214,3200.0,3081.532,623.47284
3033.5151,3200.0,3076.13,624.10095
3006.112,3200.0,3041.0342,624.8202
3009.7817,3200.0,3012.5718,625.708
3003.2441,3200.0,3038.721,626.52124
3041.1477,3200.0,3050.342,627.4043
3043.03,3200.0,3082.1504,628.2132
3051.452,3200.0,3066.224,629.22614
3034.0005,3200.0,3067.617,630.24097
3076.5427,3200.0,3054.4846,631.3382
3043.7212,3200.0,3108.2634,632.1449
3069.547,3200.0,3077.7144,633.1657
3081.2197,3200.0,3089.8545,634.1487
3064.0352,3200.0,3096.5564,635.13306
3052.3489,3200.0,3085.8362,636.03735
3053.6016,3200.0,3077.8333,636.8784
3055.7805,3200.0,3086.193,637.6022
3086.7366,3200.0,3094.4407,638.25964
3073.9597,3200.0,3120.178,638.8041
3090.1165,3200.0,3095.8992,639.47833
3039.0137,3200.0,3112.7039,639.9742
3076.4277,3200.0,3068.7698,640.551
3075.327,3200.0,3114.272,640.99023
3127.6086,3200.0,3119.746,641.4177
3162.6238,3200.0,3154.2585,641.67114
3115.8765,3200.0,3163.7495,641.93567
3091.5134,3200.0,3114.2947,642.4467
3110.5823,3200.0,3095.5186,643.0483
3109.6362,3200.0,3134.3555,643.5066
3159.3323,3200.0,3148.276,643.96643
3214.0408,3200.0,3175.3806,644.3888
3152.7295,3200.0,3198.2986,644.7046
3149.198,3200.0,3132.5615,645.4348
3185.3616,3200.0,3128.3252,646.1239
3194.964,3200.0,3182.2424,646.4502
3169.9158,3200.0,3199.6802,646.6859
3158.266,3200.0,3156.0823,647.1562
3170.333,3200.0,3128.081,647.7
3132.419,3200.0,3160.9119,647.9913
3130.402,3200.0,3147.669,648.3116
3117.9775,3200.0,3144.6658,648.6172
3094.9998,3200.0,3132.1697,648.83826
3046.5312,3200.0,3111.787,649.1065
3074.3975,3200.0,3067.3616,649.5406
3196.8862,3200.0,3114.2705,649.73175
3195.6746,3200.0,3235.1106,649.5709
3187.246,3200.0,3213.644,649.60004
3150.4744,3200.0,3162.382,649.8577
3180.3518,3200.0,3124.424,650.22974
3181.2156,3200.0,3185.0667,650.2724
3175.8286,3200.0,3210.2314,650.2178
3192.733,3200.0,3196.9758,650.26624
3186.9978,3200.0,3190.3367,650.39075
3205.423,3200.0,3157.9714,650.96216
3177.8801,3200.0,3178.2092,651.39874
3156.5781,3200.0,3163.7012,651.83966
3164.2097,3200.0,3150.4932,652.068
3198.2144,3200.0,3161.7546,652.48865
3218.707,3200.0,3211.2656,652.4879
3197.8176,3200.0,3198.216,652.87683
3181.319,3200.0,3172.681,653.28894
3156.7292,3200.0,3157.252,653.7015
3170.209,3200.0,3151.075,653.967
3199.353,3200.0,3171.7817,654.36414
3221.8064,3200.0,3209.8586,654.34814
