gamma_result,ref,TiDE_pred,LP
400.0,436.1014,400.0,533.8514
527.03894,904.84973,527.03894,533.85516
1636.7411,1296.6033,1636.7411,533.8588
1931.1465,1724.6505,1931.1465,533.8624
2160.7388,2031.7224,2160.7388,533.86597
2269.5132,2179.6394,2269.5132,533.86945
2336.47,2259.3264,2336.47,533.87286
2374.6755,2304.328,2374.6755,533.8762
2381.918,2328.151,2381.918,533.87946
2381.277,2345.0537,2381.277,533.8827
2416.4507,2353.3801,2416.4507,533.8858
2421.8704,2364.7876,2421.8704,533.88885
2404.87,2374.808,2404.87,533.89185
2425.262,2376.4321,2425.262,533.8948
2402.5525,2376.8855,2402.5525,533.8976
2418.202,2378.781,2418.202,533.9004
2421.4087,2378.5881,2421.4087,533.9031
2427.5913,2385.5457,2427.5913,533.90576
2416.8142,2388.5427,2416.8142,533.9083
2431.0027,2394.758,2431.0027,533.9108
2422.4458,2396.0295,2422.4458,533.91327
2429.3787,2402.6467,2429.3787,533.91565
2424.6934,2403.5508,2424.6934,533.91797
2437.1133,2406.3135,2437.1133,533.9202
2437.2246,2409.7815,2437.2246,533.92236
2450.9885,2413.1658,2450.9885,533.9245
2455.1326,2417.323,2455.1326,533.9265
2458.9065,2424.4392,2458.9065,533.9285
2466.3904,2427.462,2466.3904,533.9304
2470.527,2436.1484,2470.527,533.93225
2483.2402,2428.472,2483.2402,533.934
2476.5933,2427.2568,2476.5933,533.9357
2439.582,2424.3447,2439.582,533.9374
2448.326,2416.6423,2448.326,533.93896
2459.8176,2423.3088,2459.8176,533.9404
2456.1516,2426.1687,2456.1516,533.9419
2455.4207,2432.034,2455.4207,533.9433
2472.8494,2433.934,2472.8494,533.9446
2475.8997,2433.878,2475.8997,533.94586
2461.6338,2434.2937,2461.6338,533.947
2463.613,2429.2527,2463.613,533.9482
2462.2917,2438.6719,2462.2917,533.9492
2480.5916,2431.586,2480.5916,533.9502
2478.8464,2429.5608,2478.8464,533.9511
2469.3645,2428.8542,2469.3645,533.952
2462.0288,2418.3218,2462.0288,533.9528
2463.7249,2429.5063,2463.7249,533.95355
2467.4834,2432.6616,2467.4834,533.9542
2474.8828,2436.885,2474.8828,533.95483
2470.803,2442.2893,2470.803,533.4408
2470.803,2400.9321,2475.0552,533.4408
2475.1538,2488.3591,2483.7358,532.82025
2467.0369,2401.18,2489.157,532.2654
2468.1875,2488.6514,2480.4348,531.953
2460.7605,2389.89,2480.426,531.6457
2472.6707,2496.5364,2473.6587,531.4154
2479.032,2414.05,2483.1934,531.153
2471.356,2473.4082,2486.7698,530.9018
2473.2266,2407.0718,2477.3674,530.68243
2462.879,2503.0635,2477.6228,530.4736
2458.1343,2398.3103,2470.0073,530.2796
2472.6538,2494.21,2467.98,530.1127
2460.715,2354.3784,2482.2847,529.8893
2428.0618,2470.6675,2470.2458,529.7272
2437.2878,2396.4883,2437.1174,529.636
2442.7046,2447.9314,2451.9177,529.52014
2453.2637,2451.6182,2467.5986,529.35443
2462.2578,2439.6816,2475.3398,529.1686
2454.2178,2440.2856,2471.3406,529.0098
2449.9285,2430.5598,2456.2324,528.90686
2452.1062,2425.2212,2454.4111,528.7887
2453.9167,2431.8953,2459.7146,528.6294
2449.8262,2433.1746,2468.2634,528.4454
2459.4673,2441.6252,2459.4348,528.2908
2456.8538,2441.0542,2462.2046,528.1339
2425.5703,2439.5703,2459.2485,527.98645
2438.484,2437.6592,2431.4426,527.8931
2443.8367,2432.2517,2448.1238,527.7662
2448.9202,2435.485,2459.6902,527.6123
2459.2507,2430.5825,2460.3132,527.46155
2449.0842,2426.8354,2458.1367,527.3308
2445.7114,2426.8591,2443.4734,527.2353
2443.304,2426.3745,2444.509,527.13403
2441.9663,2427.7341,2448.7297,527.02234
2447.1003,2431.8162,2449.0488,526.9244
2456.5127,2430.0254,2450.0515,526.83954
2450.9011,2427.364,2453.845,526.7583
2444.1826,2426.9404,2446.6567,526.68286
2446.5442,2426.1204,2442.0935,526.5971
2447.1638,2427.3308,2447.9631,526.485
2440.5571,2431.136,2451.3616,526.36176
2460.4326,2433.6274,2443.583,526.2684
2444.4456,2432.3218,2460.6655,526.1396
2435.4202,2434.1963,2447.2659,526.05176
2432.155,2433.3525,2441.4402,525.9506
2442.1008,2433.5981,2444.5688,525.8745
2428.3262,2438.6343,2460.7522,525.7777
2435.73,2435.9429,2447.4834,525.60803
2425.928,2436.2744,2450.03,525.46277
2426.9739,2433.9575,2443.785,525.2787
2430.8682,2430.9404,2451.4807,524.9767
2439.5974,2431.023,2456.509,524.62305
2435.9644,2432.1694,2461.6284,524.2457
2451.1147,2438.2512,2452.1748,523.9485
2437.6118,2438.4463,2461.613,523.73285
2395.5056,2437.4136,2448.8564,523.558
2396.9487,2436.1648,2410.0923,523.44025
2409.741,2429.856,2416.3315,523.39166
2406.4402,2431.6313,2439.4365,523.3644
2414.7673,2439.1763,2433.713,523.40106
2395.7415,2439.602,2426.352,523.5234
2408.4026,2441.2168,2402.7307,523.74365
2405.7034,2439.3958,2422.2222,523.9193
2415.9512,2434.222,2425.1846,524.111
2412.3335,2433.1284,2431.1045,524.2948
2425.2131,2440.051,2420.3655,524.5512
2431.4102,2427.6172,2428.5505,524.815
2414.9182,2435.7188,2436.7832,525.0903
2431.4138,2442.0146,2423.919,525.35474
2442.1248,2448.618,2437.7507,525.5878
2431.914,2456.4565,2447.488,525.75586
2437.729,2455.7466,2434.6619,525.8956
2437.248,2450.277,2434.9094,526.038
2449.256,2437.813,2438.9744,526.1908
2426.1052,2445.6675,2456.3347,526.3041
2436.9722,2454.8074,2431.5828,526.4803
2428.342,2464.897,2437.966,526.6433
2434.709,2478.561,2434.5977,526.7655
2442.4453,2470.618,2442.7861,526.8814
2434.622,2469.4822,2450.2537,527.01117
2428.1768,2454.0962,2442.656,527.219
2442.5762,2455.9873,2436.1555,527.6349
2439.0588,2456.4294,2447.1948,527.94196
2451.8176,2458.1707,2448.2776,528.3196
2448.3,2472.2773,2456.0857,528.68884
2465.7117,2470.352,2447.3394,529.1134
2459.8103,2485.9873,2459.2554,529.4216
2472.213,2482.9207,2449.346,529.6645
2483.654,2469.2766,2455.116,529.8185
2456.786,2470.0754,2464.567,529.9911
2448.8572,2452.6077,2435.1238,530.30804
2481.962,2449.6294,2425.215,530.65564
2479.3823,2460.1946,2470.3755,530.7637
2486.4128,2444.7388,2472.1934,530.86694
2443.173,2445.6028,2465.8853,531.00104
2420.0188,2422.6028,2414.6255,531.288
2393.7595,2424.1956,2403.5261,531.4782
2396.5127,2423.2349,2402.4192,531.66504
2473.4424,2448.1445,2426.6858,531.83276
2517.986,2485.166,2499.7095,531.8268
2502.825,2492.3984,2522.445,531.7506
2504.3555,2517.8757,2478.971,531.9426
2516.6548,2512.2888,2469.1833,532.1015
2551.2214,2516.164,2499.896,532.11816
2518.1787,2509.0183,2545.524,531.9807
2531.3174,2510.4688,2504.3845,531.9719
2505.1636,2512.9912,2499.2805,531.95624
2529.029,2509.595,2480.8896,531.9696
2516.7356,2514.9766,2519.0066,531.8686
2500.69,2510.714,2512.9548,531.795
2500.1465,2493.6714,2489.8787,531.7794
2501.192,2485.154,2483.2412,531.7868
2488.8032,2472.584,2490.9912,531.7714
2499.0654,2465.5137,2485.8857,531.75433
2496.3533,2479.7505,2498.1719,531.69257
2485.5632,2481.901,2494.394,531.6356
2488.738,2480.7703,2478.8276,531.6062
2491.485,2480.9265,2479.352,531.5674
2499.1501,2464.3687,2485.5215,531.5017
2456.8342,2460.8145,2495.4849,531.42566
2451.5508,2469.308,2455.1138,531.41693
2475.2651,2471.9585,2452.026,531.40125
2473.2302,2472.0994,2487.1577,531.2967
2477.209,2467.4353,2487.7551,531.1719
2480.7192,2466.9448,2479.254,531.0831
2445.324,2458.6802,2479.1528,530.9609
2435.7603,2466.7556,2449.9712,530.91907
2458.292,2469.0693,2447.6138,530.8629
2470.5212,2456.3284,2478.7136,530.74725
2475.3408,2451.1492,2488.9194,530.62415
2476.2983,2444.5981,2477.5945,530.54755
2439.8118,2426.6294,2468.8767,530.498
2433.7766,2433.4536,2439.7058,530.4831
2456.8896,2439.3306,2444.1545,530.4552
2463.7893,2445.7153,2475.8933,530.3943
2470.0085,2449.1836,2478.8047,530.3452
2467.943,2447.3425,2467.6921,530.3333
2429.7764,2433.507,2457.8384,530.3324
2425.8352,2428.6682,2428.1416,530.3599
2447.1177,2437.5193,2436.652,530.35846
2458.6597,2443.005,2467.495,530.31494
2462.7363,2454.9368,2473.8928,530.3143
2458.9966,2457.4285,2459.899,530.3158
2412.7124,2452.8877,2448.126,530.32416
2413.9165,2453.215,2411.4648,530.37604
2445.3901,2454.3652,2428.3162,530.36774
2452.725,2457.2017,2470.2632,530.3034
2461.998,2458.798,2470.028,530.25867
2459.0469,2455.3096,2456.0205,530.25305
2412.41,2447.2324,2444.4814,530.2763
2413.4973,2443.2837,2412.0093,530.3249
2445.1467,2447.9644,2430.4368,530.3304
2447.4155,2453.0798,2471.301,530.23413
2451.3704,2456.6123,2464.7783,530.17914
2454.4426,2456.7827,2446.8486,530.185
2409.219,2450.0483,2445.2156,530.17816
2410.3176,2446.31,2416.0608,530.2039
2439.3723,2453.219,2429.807,530.2045
2445.504,2439.2383,2463.004,530.1285
2447.6196,2443.9177,2460.437,530.0874
2453.4883,2442.4,2442.3618,530.1067
2413.1807,2436.9949,2443.1802,530.09937
2410.4395,2449.4502,2418.4626,530.1036
2439.8452,2449.055,2425.7888,530.0819
2443.9243,2450.8157,2455.982,530.0062
2443.3003,2441.3623,2453.1787,529.95325
2440.0225,2441.8389,2436.0574,529.95526
2402.844,2436.1465,2428.6538,529.9602
2405.2788,2430.9634,2407.8909,529.94714
2443.815,2434.3674,2422.93,529.8907
2443.7979,2436.1836,2459.9612,529.75696
2433.9111,2428.3184,2448.9854,529.6337
2430.5989,2429.8135,2419.7407,529.55273
2399.0698,2428.235,2415.4858,529.44653
2400.0647,2427.3054,2405.611,529.31934
2433.2578,2436.5364,2418.6052,529.1983
2432.8142,2439.4749,2446.7776,529.06006
2435.7961,2433.0012,2434.339,528.9876
2436.6423,2430.0059,2421.6792,528.93414
2404.3413,2421.5498,2422.4783,528.8852
2403.104,2418.055,2405.4807,528.8437
2431.2114,2423.5542,2412.7559,528.82623
2429.7468,2426.599,2439.1045,528.8007
2432.8682,2424.2449,2430.734,528.8399
2428.2837,2424.814,2421.8276,528.9268
2387.0925,2424.5835,2416.111,529.04083
2393.4211,2423.7595,2386.2515,529.1953
2432.157,2433.4866,2404.9348,529.33514
2427.0535,2435.8108,2447.7576,529.30646
2433.077,2431.1194,2430.8086,529.4078
2440.3533,2433.2808,2418.0122,529.50964
2422.4692,2434.9895,2424.6199,529.55566
2431.0269,2436.037,2421.6243,529.57947
2434.927,2444.567,2435.567,529.58093
2448.6145,2444.0725,2432.1821,529.5901
2442.6174,2433.8667,2441.031,529.56586
2448.3813,2431.207,2432.1238,529.53455
2403.9998,2429.7622,2439.3713,529.47864
2416.598,2427.743,2403.9966,529.40515
2422.873,2436.2783,2426.2449,529.3381
2441.4866,2442.0398,2436.1123,529.35266
2440.5093,2442.3425,2452.581,529.4032
2450.0208,2441.7864,2443.5576,529.53174
2410.545,2441.0315,2448.9827,529.6636
2416.187,2434.7083,2418.93,529.7729
2431.5432,2432.3738,2431.844,529.87415
2440.1833,2438.541,2450.1301,530.00073
2435.1553,2438.169,2455.152,530.10236
2427.1184,2438.4084,2439.5918,530.30664
2396.1099,2445.272,2427.801,530.53314
2435.8765,2440.524,2409.457,530.7909
2476.9937,2438.8105,2455.227,531.0646
2460.7363,2447.2825,2489.3547,531.164
2463.1125,2442.3296,2454.9895,531.4142
2450.8176,2442.0942,2438.3667,531.708
2464.294,2445.694,2434.7793,531.9807
2447.645,2448.5676,2469.0137,532.11914
2460.3699,2464.7908,2454.638,532.32666
2457.194,2483.888,2452.3098,532.5747
2467.1636,2501.7727,2444.4795,532.8566
2446.6753,2497.5261,2458.0786,533.0482
2463.6155,2497.6768,2440.9756,533.27094
2455.8035,2485.988,2463.6895,533.37616
2490.5608,2484.268,2456.0657,533.50586
2461.0286,2488.0984,2479.6226,533.5746
2508.1814,2481.3552,2446.4678,533.7957
2478.8228,2477.4268,2489.4292,533.85156
2498.9092,2467.1443,2466.4172,533.9895
2497.281,2460.5474,2487.3223,534.0196
2529.5005,2461.5203,2483.9397,534.1032
2487.3684,2461.9758,2509.6646,534.1043
2509.434,2465.6487,2466.7573,534.3588
2489.967,2467.4495,2488.7852,534.502
2525.934,2470.344,2483.0056,534.75494
2501.6648,2470.7837,2523.2842,534.80884
2546.4563,2481.614,2494.9844,535.12866
2508.6968,2498.6453,2523.387,535.3379
2559.9668,2511.1182,2490.3513,535.7945
2511.887,2521.698,2535.923,535.88837
2538.2856,2525.474,2495.2478,536.20496
2512.7039,2520.9783,2515.3442,536.364
2563.4756,2511.344,2487.8079,536.47906
2531.531,2511.9363,2535.1536,536.4829
2506.9578,2508.083,2500.921,536.6035
2495.485,2511.2954,2468.579,536.78064
2532.0784,2519.028,2465.7861,536.8772
2508.0442,2511.485,2522.5442,536.83466
2528.1013,2490.6396,2499.666,536.88007
2477.6853,2467.8242,2502.5542,536.9467
2444.8052,2438.0698,2452.0728,537.1249
2435.043,2438.0085,2434.244,537.2446
2464.9258,2458.1045,2451.6003,537.3827
2525.191,2476.8262,2499.4697,537.46643
2554.425,2496.1704,2548.5127,537.45044
2499.5737,2507.654,2547.9924,537.4826
2508.2192,2513.372,2471.4436,537.6982
2507.6829,2519.1787,2489.0938,537.8957
2564.6719,2538.3977,2520.1243,537.98663
2538.0735,2547.3323,2582.9238,537.86456
2596.3462,2545.7517,2535.6716,537.9585
2555.1309,2543.2874,2564.0857,537.91064
2555.548,2538.6372,2525.2734,538.0246
2521.5017,2531.4243,2536.4656,538.0103
2573.711,2535.8372,2514.1995,538.0992
2554.3325,2538.8813,2571.502,537.95935
2592.444,2532.3958,2545.215,537.9317
2559.3667,2527.824,2563.8284,537.8307
2541.2908,2522.9695,2528.5503,537.81396
2514.3372,2519.3726,2519.9758,537.7878
2557.6995,2523.3901,2505.4575,537.7526
2536.5654,2527.0544,2557.566,537.5984
2562.4868,2523.6492,2530.8032,537.50574
2539.9316,2517.2695,2537.8496,537.3892
2538.0618,2510.8906,2515.7583,537.2971
2509.209,2503.4734,2526.9175,537.1598
2550.3975,2503.3464,2506.1384,537.05634
2516.1428,2505.9004,2548.3418,536.8517
2554.35,2500.0918,2510.2786,536.7394
2525.4897,2497.7554,2537.3567,536.55554
2509.1,2493.9238,2512.138,536.42163
2487.5461,2494.1465,2506.5383,536.26904
2528.9119,2498.4724,2492.6492,536.12964
2505.2378,2500.0688,2538.8599,535.88824
2549.8635,2496.23,2511.429,535.7277
2529.1223,2487.5552,2541.4302,535.51227
2538.9058,2478.8765,2519.4614,535.32916
2493.5134,2472.7153,2534.3215,535.1107
2517.5962,2468.658,2490.0803,534.96216
2492.1362,2474.6772,2515.7375,534.77606
2543.0051,2470.0127,2495.6084,534.6176
2514.1946,2466.7854,2543.7878,534.38586
2521.4263,2459.2375,2510.7566,534.2204
2480.169,2449.1301,2514.653,534.03784
2504.5706,2448.163,2475.2666,533.9268
2475.8677,2450.194,2507.382,533.7498
2526.4873,2447.7988,2485.341,533.60895
2497.8552,2450.5376,2531.6123,533.4013
2514.5984,2446.6248,2497.8394,533.2492
2465.818,2446.893,2511.1746,533.0695
2467.7947,2452.5151,2465.738,532.93713
2448.1472,2452.8093,2474.7258,532.7918
2483.8323,2453.1267,2469.2974,532.60516
2453.8298,2453.2043,2504.119,532.36206
2472.938,2450.109,2469.0522,532.21185
2446.3274,2447.0007,2484.2756,532.02576
2467.0012,2446.7307,2462.254,531.8885
2442.3213,2448.8777,2486.3384,531.70593
2497.881,2444.6953,2462.646,531.58374
2459.382,2442.05,2508.0405,531.4124
2470.6611,2439.1985,2468.7698,531.30334
2443.5332,2436.6008,2475.5586,531.1681
2466.016,2438.2983,2455.5154,531.0652
2445.7478,2447.53,2485.9385,530.88983
2473.459,2450.1628,2465.3564,530.7776
2473.063,2449.1943,2482.6057,530.6289
2493.023,2449.521,2476.1694,530.5082
2443.1697,2445.3372,2494.6755,530.343
2477.0774,2445.1096,2443.136,530.264
2439.2139,2454.2134,2478.7815,530.13385
2485.0679,2458.7495,2449.327,530.061
2460.4883,2459.5513,2491.1038,529.9162
2464.7324,2459.389,2461.2778,529.87244
2444.0044,2451.6484,2462.0178,529.82214
2464.775,2450.5798,2444.914,529.7973
2434.7559,2456.738,2474.2048,529.7139
2473.3516,2458.0244,2445.4453,529.702
2470.1968,2458.5713,2476.946,529.6329
2488.319,2451.7256,2470.6719,529.603
2443.2725,2444.3135,2484.1602,529.5289
2473.5535,2447.4556,2434.3079,529.597
2444.7947,2454.4321,2471.3657,529.5488
2477.9126,2461.108,2451.8718,529.5402
2447.816,2462.466,2480.3826,529.4795
2463.937,2456.0535,2444.3738,529.5221
2429.057,2449.231,2459.839,529.5042
2444.4446,2445.6555,2431.1338,529.5468
2424.2732,2452.725,2452.6428,529.5135
2465.6963,2458.9827,2435.7395,529.5015
2469.0015,2459.3608,2471.921,529.4109
2481.8816,2456.3013,2467.2522,529.35175
2444.4202,2448.902,2471.6294,529.27313
2452.6396,2443.6565,2430.0007,529.28143
2425.5532,2447.7585,2445.409,529.24713
2460.3564,2451.9954,2430.8738,529.23047
2447.368,2451.7522,2467.6301,529.14624
2448.1282,2451.3108,2448.194,529.1335
2435.3428,2446.1821,2442.0486,529.1177
2459.8809,2444.8691,2431.0073,529.0946
2440.1118,2447.7,2465.044,528.99884
2463.8396,2451.0786,2448.808,528.9487
2464.8757,2451.605,2464.0361,528.87573
2480.1958,2449.0454,2460.845,528.83105
2442.7988,2446.2166,2477.9727,528.751
2455.6829,2443.945,2443.9146,528.74744
2431.1023,2444.9827,2461.961,528.772
2473.0776,2448.1123,2449.1755,528.7889
2468.7507,2448.072,2492.0854,528.8365
2481.8337,2447.112,2482.485,528.8024
2441.5098,2453.7363,2486.9897,528.61725
2458.078,2460.7288,2445.8975,528.34973
2431.153,2470.0417,2468.8875,528.01654
2463.1147,2480.5378,2454.637,527.6753
2462.8254,2477.4917,2484.0757,527.4416
2474.1301,2477.808,2474.6292,527.3153
2438.9673,2473.2024,2476.3933,527.2133
2451.3042,2478.7227,2439.8079,527.19183
2423.496,2483.129,2456.4778,527.15326
2453.5056,2478.8281,2439.9583,527.19025
2456.0344,2474.777,2466.8452,527.14343
2469.2087,2459.9517,2461.5505,527.1449
2436.115,2454.4797,2466.956,527.14154
2458.3992,2456.602,2431.2197,527.22266
2432.6843,2462.3857,2459.3218,527.22656
2463.5933,2465.7495,2444.0557,527.29987
2458.512,2462.9382,2471.6843,527.35864
2476.5798,2454.3484,2459.2686,527.48444
2437.4248,2452.0742,2472.6868,527.6038
2458.761,2463.1523,2435.7695,527.80035
2436.379,2470.495,2461.4087,527.8844
2465.3972,2477.73,2450.3628,527.9722
2441.549,2474.7634,2475.742,528.05396
2454.2253,2461.0234,2445.0193,528.23346
2435.444,2457.3481,2455.4033,528.37
2465.6047,2463.847,2444.9202,528.535
2458.9624,2473.5374,2479.919,528.6708
2495.575,2481.9707,2472.165,528.74255
2465.7456,2483.1033,2495.9075,528.80676
2485.1055,2480.1965,2456.3604,528.9403
2470.942,2475.8716,2474.7063,529.059
2481.3032,2479.3235,2471.5442,529.20886
2447.5571,2478.7053,2484.9365,529.2951
2473.135,2473.395,2450.6255,529.67596
2456.5916,2470.2317,2469.5288,529.8121
2447.3862,2472.9424,2455.243,530.1377
2438.627,2479.2498,2448.5496,530.61304
2494.7847,2482.8848,2438.5427,530.96014
2477.1953,2490.6274,2496.9805,531.05023
2453.9578,2487.2588,2473.076,531.3054
2472.4363,2481.7825,2427.2468,531.7866
2504.0032,2481.5554,2446.7278,532.20593
2468.3718,2472.0361,2498.024,532.28094
2472.0059,2452.9802,2464.734,532.59973
2430.1987,2440.556,2453.7488,532.9857
2419.7014,2402.7388,2414.1106,533.37476
2389.1328,2403.6409,2422.1636,533.7076
2425.294,2428.9016,2406.3286,534.07166
2484.422,2453.7227,2457.6191,534.4303
2544.615,2501.7893,2510.9197,534.6099
2512.064,2520.495,2546.1763,534.66943
2524.177,2526.7993,2486.0562,535.06995
2514.6187,2534.993,2488.6643,535.4176
2579.9514,2549.721,2499.0796,535.595
2527.022,2555.1492,2575.6213,535.5626
2589.0464,2559.6245,2516.9915,535.6615
2525.5847,2556.5745,2551.2043,535.6904
2547.6245,2552.097,2493.909,535.774
2536.2864,2543.0269,2524.7625,535.76447
2573.1763,2540.1592,2526.0232,535.7244
2530.3716,2533.8938,2561.9072,535.5894
2583.9265,2524.1929,2509.2163,535.5482
2523.4778,2516.0525,2550.5332,535.3109
2532.612,2503.434,2502.372,535.1896
2490.6086,2494.6333,2517.4795,535.0641
2506.369,2491.5972,2490.0996,534.93164
2481.4946,2489.6775,2509.2375,534.7956
2524.413,2479.4111,2489.0896,534.65356
2498.1108,2476.5493,2520.9834,534.5248
2489.7302,2466.7427,2500.1018,534.3516
2468.7368,2463.5476,2492.8003,534.1853
2484.2537,2473.438,2476.8604,534.0569
2471.7542,2474.3237,2501.466,533.8647
2518.6587,2469.8455,2492.826,533.70844
2479.4739,2475.2642,2527.7305,533.4765
2470.1448,2465.7202,2488.1418,533.35657
2458.406,2463.448,2478.7512,533.2603
2474.8926,2473.2988,2475.8567,533.1707
2462.4968,2466.2375,2501.915,533.00073
2499.2861,2463.6814,2486.934,532.8716
2477.6033,2465.2961,2507.8132,532.6559
2470.405,2454.4255,2484.361,532.5074
2472.5781,2453.92,2479.6255,532.3535
2511.3494,2458.9792,2484.7979,532.18964
2463.6792,2453.5076,2523.407,531.9097
2488.8286,2450.143,2471.1707,531.77527
2446.4414,2454.0547,2477.8198,531.6654
2423.5352,2450.1138,2450.26,531.5301
2414.3306,2451.8296,2445.1523,531.3489
2426.0562,2453.757,2445.6638,531.15027
2434.9026,2444.438,2461.1536,530.94086
2459.413,2433.7366,2462.792,530.7397
2437.1763,2429.6162,2468.9668,530.5815
2411.0583,2424.1528,2443.909,530.4505
2404.479,2422.1711,2423.1985,530.3375
2407.1553,2424.8284,2426.7544,530.23206
2410.5154,2428.816,2440.387,530.12354
2452.9517,2426.061,2442.4817,530.02997
2445.6255,2426.2517,2471.147,529.8941
2422.9812,2416.5483,2455.2124,529.81744
2409.0054,2405.1296,2430.2705,529.80493
2410.454,2407.9897,2420.165,529.824
2411.2957,2413.939,2435.2646,529.79535
2450.643,2414.6492,2440.793,529.75775
2440.3188,2417.939,2468.2378,529.6447
2440.8784,2408.303,2447.929,529.5701
2435.5469,2405.0518,2443.863,529.5182
2431.6638,2414.1875,2440.2568,529.4698
2415.3481,2428.3574,2442.2039,529.4021
2449.6897,2443.5793,2426.4175,529.3617
2427.8408,2443.4238,2456.6187,529.2467
2399.8123,2440.8723,2434.6997,529.16345
2391.1604,2426.203,2406.1763,529.05444
2412.9805,2420.477,2401.6619,528.918
2412.1755,2416.1165,2436.0723,528.7763
2443.193,2407.7334,2434.1274,528.6088
2427.6436,2413.7373,2445.9229,528.44403
2402.9854,2412.5461,2420.2917,528.31525
2392.3015,2414.0767,2399.2146,528.2111
2410.7573,2423.0903,2398.928,528.12646
2419.9976,2419.7898,2430.36,528.0258
2448.3088,2411.8315,2437.6658,527.95105
2427.6199,2410.8562,2445.9824,527.90125
2401.1575,2400.028,2412.505,527.9393
2387.9612,2394.7388,2390.504,527.9737
2410.1426,2402.9175,2392.3215,528.00714
2413.6694,2418.4866,2429.9817,528.0294
2443.4758,2433.1123,2429.7588,528.08026
2430.319,2445.1284,2438.2324,528.14813
2400.904,2446.5874,2413.2485,528.3183
2385.6785,2430.1077,2389.0894,528.4575
2391.8716,2427.6633,2387.378,528.59015
2391.7017,2434.079,2408.5918,528.66895
2418.3606,2437.3604,2407.572,528.7566
2406.3025,2445.6257,2419.61,528.80206
2394.227,2448.4937,2397.404,528.8709
2398.3875,2434.6123,2388.169,528.8799
2429.897,2430.8425,2402.4111,528.8479
2416.7344,2438.682,2441.4446,528.7691
2443.9604,2438.0503,2416.316,528.7236
