gamma_result,ref,TiDE_pred,LP
400.0,436.1014,400.0,533.8514
463.51947,446.0382,463.51947,533.85516
1081.89,728.6264,1081.89,533.8588
1783.9438,1363.6613,1783.9438,533.8624
2045.9426,1864.5801,2045.9426,533.86597
2215.126,2085.64,2215.126,533.86945
2302.9917,2198.8645,2302.9917,533.87286
2355.5728,2273.639,2355.5728,533.8762
2378.2969,2319.7883,2378.2969,533.87946
2381.5977,2335.0166,2381.5977,533.8827
2398.864,2336.5132,2398.864,533.8858
2419.1606,2355.091,2419.1606,533.88885
2413.3704,2370.2468,2413.3704,533.89185
2415.0662,2374.4844,2415.0662,533.8948
2413.9072,2379.3694,2413.9072,533.8976
2410.3772,2378.3801,2410.3772,533.9004
2419.8054,2374.4019,2419.8054,533.9031
2424.5,2379.1816,2424.5,533.90576
2422.203,2382.7747,2422.203,533.9083
2423.9084,2391.9097,2423.9084,533.9108
2426.7244,2394.3108,2426.7244,533.91327
2425.9124,2397.6062,2425.9124,533.91565
2427.0361,2397.748,2427.0361,533.91797
2430.9033,2407.6873,2430.9033,533.9202
2437.169,2409.3535,2437.169,533.92236
2444.1064,2404.9395,2444.1064,533.9245
2453.0605,2410.2095,2453.0605,533.9265
2457.0195,2421.392,2457.0195,533.9285
2462.6484,2424.4365,2462.6484,533.9304
2468.4587,2427.4863,2468.4587,533.93225
2476.8835,2430.4873,2476.8835,533.934
2479.9167,2444.8103,2479.9167,533.9357
2458.0876,2426.4565,2458.0876,533.9374
2443.9539,2409.7034,2443.9539,533.93896
2454.0718,2422.2327,2454.0718,533.9404
2457.9846,2423.581,2457.9846,533.9419
2455.7861,2424.3853,2455.7861,533.9433
2464.135,2428.756,2464.135,533.9446
2474.3745,2439.6824,2474.3745,533.94586
2468.7668,2439.112,2468.7668,533.947
2462.6233,2428.0735,2462.6233,533.9482
2462.9524,2429.4756,2462.9524,533.9492
2471.4417,2430.432,2471.4417,533.9502
2479.719,2447.868,2479.719,533.9511
2474.1055,2432.7402,2474.1055,533.952
2465.6968,2411.2534,2465.6968,533.9528
2462.8767,2424.9683,2462.8767,533.95355
2465.604,2425.3904,2465.604,533.9542
2471.183,2434.0442,2471.183,533.95483
2472.8582,2439.933,2472.8582,533.46173
2472.8582,2439.7258,2457.404,533.46173
2471.8643,2444.6458,2457.2324,533.1259
2470.5632,2444.7695,2460.8987,532.5757
2465.6018,2444.9158,2460.134,532.061
2461.46,2439.2705,2454.1902,531.7494
2467.8113,2443.2131,2451.3618,531.5095
2468.8906,2455.2932,2458.5237,531.25085
2448.6025,2443.7292,2455.6655,530.99884
2437.3977,2440.24,2434.9194,530.8804
2446.4146,2455.0676,2431.305,530.7714
2450.089,2450.6868,2445.112,530.54724
2452.3755,2446.26,2447.6943,530.3271
2457.5159,2424.2942,2445.8184,530.1348
2455.017,2412.523,2445.9265,529.9388
2453.5308,2433.578,2443.1604,529.7715
2450.7336,2450.3472,2444.5173,529.5909
2448.38,2452.1626,2443.3416,529.41815
2456.051,2445.5156,2443.2542,529.2492
2458.2966,2451.0737,2449.4033,529.0344
2453.609,2433.8474,2446.2454,528.8043
2451.571,2429.4976,2441.084,528.5996
2447.3994,2427.2722,2441.6355,528.4026
2446.6191,2420.9448,2439.3088,528.253
2454.1042,2436.5183,2440.8406,528.1337
2456.463,2445.4043,2446.1943,527.9855
2448.2385,2446.732,2442.9473,527.8381
2445.4282,2436.7039,2434.168,527.7126
2447.8042,2432.4087,2434.44,527.5741
2450.4907,2438.6147,2438.433,527.4261
2455.0168,2432.095,2441.5562,527.27655
2451.3655,2432.3555,2442.3684,527.1376
2441.7441,2429.07,2434.3455,527.04694
2439.913,2421.3154,2426.8516,527.0004
2443.2078,2424.6484,2429.1448,526.9495
2446.627,2431.4338,2434.1418,526.888
2452.7432,2430.8198,2437.153,526.82935
2454.1304,2432.1987,2438.7158,526.7602
2446.848,2429.231,2435.2996,526.6877
2440.8652,2422.5293,2429.2346,526.64246
2437.9622,2424.65,2426.6028,526.64185
2438.596,2429.7112,2426.6206,526.6754
2446.428,2430.012,2429.3918,526.7114
2448.4087,2432.561,2433.5764,526.7192
2439.3826,2437.243,2430.1216,526.7261
2439.0369,2432.0823,2421.9788,526.7584
2445.3958,2431.1497,2424.8975,526.75836
2442.819,2434.6228,2432.5977,526.7166
2450.2207,2436.0469,2430.0115,526.7105
2453.2283,2442.6458,2434.4275,526.6706
2440.8127,2435.8389,2432.8843,526.59656
2439.5728,2429.903,2423.1877,526.5748
2444.7231,2432.076,2426.1018,526.55396
2441.5867,2431.9778,2432.1523,526.5193
2446.9097,2429.9697,2429.424,526.5381
2450.7107,2432.361,2431.0015,526.5568
2437.1292,2446.533,2430.0637,526.57355
2434.8022,2444.5312,2419.2126,526.6466
2440.363,2428.2944,2421.8218,526.6848
2435.0847,2427.7986,2429.1455,526.6954
2431.6199,2431.4175,2425.6648,526.7737
2432.8992,2435.4644,2420.631,526.9167
2437.1826,2446.935,2420.5173,527.0444
2439.6118,2443.7397,2427.9893,527.0911
2441.7107,2435.4983,2430.0867,527.13104
2442.741,2435.052,2430.529,527.1842
2438.9468,2432.9458,2433.3896,527.21954
2439.8093,2431.2048,2429.606,527.29224
2432.404,2447.1562,2429.6035,527.37805
2434.3865,2424.0295,2426.361,527.49786
2444.8042,2424.2812,2432.4387,527.625
2440.8694,2459.9995,2440.6245,527.7416
2437.3494,2472.9546,2436.3813,527.87823
2442.7327,2452.9136,2433.1138,528.0063
2443.0735,2438.5388,2437.3708,528.09735
2434.842,2447.6406,2440.3638,528.1957
2435.618,2437.0872,2434.2834,528.3803
2442.9028,2443.6946,2435.768,528.5854
2445.9246,2472.5276,2444.99,528.7249
2448.5942,2486.099,2446.8638,528.829
2453.2434,2484.5942,2445.6987,528.8895
2451.1296,2455.1365,2451.3142,528.85693
2450.4443,2454.3704,2451.3042,528.8585
2457.1604,2453.0557,2449.996,528.91815
2469.6445,2457.6045,2457.7424,528.9708
2474.208,2459.8032,2469.156,528.9664
2458.6465,2458.737,2467.5046,528.98846
2447.7039,2484.7515,2452.3948,529.1313
2453.4888,2481.9673,2448.045,529.268
2467.3481,2487.223,2456.6624,529.3194
2461.0913,2483.8738,2468.0286,529.26215
2445.1746,2451.3306,2455.1523,529.2807
