gamma_result,ref,LP
400.0,436.1014,533.8476
400.0,904.84973,533.8514
463.51947021484375,1296.6033,533.85516
1081.8900146484375,1724.6505,533.8588
1783.94384765625,2031.7224,533.8624
2045.942626953125,2179.6394,533.86597
2215.1259765625,2259.3264,533.86945
2302.99169921875,2304.328,533.87286
2355.57275390625,2328.151,533.8762
2378.296875,2345.0537,533.87946
2381.59765625,2353.3801,533.8827
2398.864013671875,2364.7876,533.8858
2419.16064453125,2374.808,533.88885
2413.370361328125,2376.4321,533.89185
2415.066162109375,2376.8855,533.8948
2413.9072265625,2378.781,533.8976
2410.377197265625,2378.5881,533.9004
2419.805419921875,2385.5457,533.9031
2424.5,2388.5427,533.90576
2422.202880859375,2394.758,533.9083
2423.908447265625,2396.0295,533.9108
2426.724365234375,2402.6467,533.91327
2425.912353515625,2403.5508,533.91565
2427.0361328125,2406.3135,533.91797
2430.9033203125,2409.7815,533.9202
2437.1689453125,2413.1658,533.92236
2444.1064453125,2417.323,533.9245
2453.060546875,2424.4392,533.9265
2457.01953125,2427.462,533.9285
2462.6484375,2436.1484,533.9304
2468.458740234375,2428.472,533.93225
2476.883544921875,2427.2568,533.934
2479.916748046875,2424.3447,533.9357
2458.087646484375,2416.6423,533.9374
2443.953857421875,2423.3088,533.93896
2454.07177734375,2426.1687,533.9404
2457.984619140625,2432.034,533.9419
2455.7861328125,2433.934,533.9433
2464.135009765625,2433.878,533.9446
2474.37451171875,2434.2937,533.94586
2468.766845703125,2429.2527,533.947
2462.623291015625,2438.6719,533.9482
2462.952392578125,2431.586,533.9492
2471.441650390625,2429.5608,533.9502
2479.718994140625,2428.8542,533.9511
2474.10546875,2418.3218,533.952
2465.69677734375,2429.5063,533.9528
2462.876708984375,2432.6616,533.95355
2465.60400390625,2436.885,533.9542
2471.18310546875,2442.2893,533.95483
2472.099656241847,2442.2476,530.4109
2463.67393715436,2444.7808,527.0598
2453.3016560913397,2442.02,524.3977
2440.7737033179146,2444.0645,523.2525
2428.7133954094647,2447.282,524.0342
2420.641469647835,2443.4712,525.8274
2426.780887241785,2447.7666,529.13794
2428.685987041428,2449.3984,531.9012
2424.97438676786,2445.4634,533.9532
2444.340977356826,2450.6638,537.0997
2460.296527781077,2437.4905,536.2653
2471.2828200646554,2429.3916,532.4836
2472.8559267293012,2428.936,527.29504
2452.014614765316,2431.435,522.21234
2433.833954144853,2442.8704,521.0755
2413.889445544606,2447.9314,522.78357
2404.570657377165,2451.6182,527.3885
2424.980423872565,2439.6816,531.6795
2441.6944264864924,2440.2856,533.55096
2445.813016614665,2430.5598,532.1869
2453.7235877990624,2425.2212,529.66254
2456.157660516186,2431.8953,526.98303
2448.738244990485,2433.1746,524.15826
2444.1936901416548,2441.6252,523.27313
2441.1645918432323,2441.0542,522.8734
2429.1623986271716,2439.5703,522.66235
2416.236611752465,2437.6592,523.68695
2415.0102414439725,2432.2517,525.6339
2418.472892290237,2435.485,528.1299
2429.833981017675,2430.5825,529.605
2441.509221068567,2426.8354,529.2318
2439.464497517305,2426.8591,527.431
2435.4405949758943,2426.3745,525.8187
2436.4398254872713,2427.7341,524.86346
2437.537482452587,2431.8162,524.2844
2440.6652492185,2430.0254,523.35077
2434.7457257304613,2427.364,521.7068
2396.5420457244736,2426.9404,520.7336
2380.223287836378,2426.1204,524.33765
2405.431290513951,2427.3308,530.0939
2432.5893989286433,2431.136,533.23706
2455.7624750328823,2433.6274,533.3637
2462.9349984548026,2432.3218,530.49243
2452.602849473961,2434.1963,526.96814
2441.0314333273177,2433.3525,524.6009
2435.8807391514893,2433.5981,523.6775
2431.194829617679,2438.6343,524.0004
2429.397964233308,2435.9429,524.5682
2426.5094092901563,2436.2744,525.3974
2422.8299145985857,2433.9575,526.29785
2427.645939279446,2430.9404,527.2808
2436.582003159193,2431.023,527.6854
2438.3303347166943,2432.1694,527.1366
2445.8202597776267,2438.2512,527.11774
2459.5874361664764,2438.4463,526.2054
2457.424159200531,2437.4136,523.4791
2447.147843320146,2436.1648,520.8609
2436.0382853952633,2429.856,518.72485
2421.14404182431,2431.6313,518.1638
2411.242466399258,2439.1763,520.35034
2401.2516609471745,2439.602,523.80493
2406.39413459081,2441.2168,528.686
2424.90973717688,2439.3958,532.72125
2444.25532012234,2434.222,533.86096
2459.0235861703586,2433.1284,532.49896
2457.139838016686,2440.051,530.1741
2452.3676241601743,2427.6172,526.55365
2435.0024294497316,2435.7188,524.50476
2427.7601215701634,2442.0146,525.3508
2440.6778870955086,2448.618,527.894
2441.258876960611,2456.4565,529.8187
2443.5919438024757,2455.7466,531.58813
2455.9141279562373,2450.277,532.4045
2457.1292510949943,2437.813,530.1863
2448.2639159599566,2445.6675,528.778
2446.385982768549,2454.8074,529.57294
2449.124306100848,2464.897,531.8348
2456.0612695370733,2478.561,535.4381
2466.6841429241244,2470.618,537.2242
2487.89524184055,2469.4822,537.57263
2506.0688393832716,2454.0962,533.4393
2494.252779880134,2455.9873,527.30566
2468.5198508085878,2456.4294,522.66455
2445.736440535662,2458.1707,521.38165
2437.426733959296,2472.2773,524.6152
2435.6076714851065,2470.352,528.6353
2438.8050336633496,2485.9873,534.7991
2472.8119395442313,2482.9207,540.2046
2515.5800931713015,2469.2766,539.78174
2512.80593660499,2470.0754,534.21796
2489.63549840213,2452.6077,526.8465
2478.1858305971036,2449.6294,521.93744
2457.675178574149,2460.1946,519.7176
2429.333651735438,2444.7388,518.11365
2409.082566129138,2445.6028,520.0844
2386.4651108349517,2422.6028,521.7214
2368.126469743127,2424.1956,526.326
2375.881707889822,2423.2349,533.0657
2427.7256972159657,2448.1445,541.9162
2506.5802974661647,2485.166,548.9641
2543.2801415261483,2492.3984,547.2501
2545.3760875562057,2517.8757,544.1591
2540.9854962518175,2512.2888,540.1226
2556.8971702565495,2516.164,537.0926
2552.5336530688846,2509.0183,531.23413
2526.5161065392713,2510.4688,526.0793
2506.7321815861055,2512.9912,524.4125
2484.790060971555,2509.595,524.7504
2487.171870258677,2514.9766,528.4354
2482.686616054375,2510.714,531.31195
2494.930897311501,2493.6714,532.65466
2524.055731464421,2485.154,531.4565
2519.4421313922576,2472.584,525.1499
2477.470036864715,2465.5137,518.5333
2436.3403063646383,2479.7505,518.7915
2434.822029773516,2481.901,524.3509
2455.9673940362186,2480.7703,529.9659
