gamma_result,ref,LP
400.0,436.1014,533.8476
400.0,904.84973,533.8514
463.51947021484375,1296.6033,533.85516
1081.8900146484375,1724.6505,533.8588
1783.94384765625,2031.7224,533.8624
2045.942626953125,2179.6394,533.86597
2215.1259765625,2259.3264,533.86945
2302.99169921875,2304.328,533.87286
2355.57275390625,2328.151,533.8762
2378.296875,2345.0537,533.87946
2381.59765625,2353.3801,533.8827
2398.864013671875,2364.7876,533.8858
2419.16064453125,2374.808,533.88885
2413.370361328125,2376.4321,533.89185
2415.066162109375,2376.8855,533.8948
2413.9072265625,2378.781,533.8976
2410.377197265625,2378.5881,533.9004
2419.805419921875,2385.5457,533.9031
2424.5,2388.5427,533.90576
2422.202880859375,2394.758,533.9083
2423.908447265625,2396.0295,533.9108
2426.724365234375,2402.6467,533.91327
2425.912353515625,2403.5508,533.91565
2427.0361328125,2406.3135,533.91797
2430.9033203125,2409.7815,533.9202
2437.1689453125,2413.1658,533.92236
2444.1064453125,2417.323,533.9245
2453.060546875,2424.4392,533.9265
2457.01953125,2427.462,533.9285
2462.6484375,2436.1484,533.9304
2468.458740234375,2428.472,533.93225
2476.883544921875,2427.2568,533.934
2479.916748046875,2424.3447,533.9357
2458.087646484375,2416.6423,533.9374
2443.953857421875,2423.3088,533.93896
2454.07177734375,2426.1687,533.9404
2457.984619140625,2432.034,533.9419
2455.7861328125,2433.934,533.9433
2464.135009765625,2433.878,533.9446
2474.37451171875,2434.2937,533.94586
2468.766845703125,2429.2527,533.947
2462.623291015625,2438.6719,533.9482
2462.952392578125,2431.586,533.9492
2471.441650390625,2429.5608,533.9502
2479.718994140625,2428.8542,533.9511
2474.10546875,2418.3218,533.952
2465.69677734375,2429.5063,533.9528
2462.876708984375,2432.6616,533.95355
2465.60400390625,2436.885,533.9542
2471.18310546875,2442.2893,533.95483
2472.629773816365,2442.2476,533.1489
2470.2796742007895,2444.7808,532.45374
2468.321013478914,2442.02,531.74304
2463.979891982146,2444.0645,531.14404
2454.905797884812,2447.282,530.7434
2451.411450734123,2443.4712,530.46747
2457.146636944163,2447.7666,530.3933
2459.384098933123,2449.3984,530.18274
2457.14837779123,2445.4634,529.8116
2454.406295913185,2450.6638,529.6644
2450.170921957256,2437.4905,529.20557
2446.7576918241602,2429.3916,528.66785
2451.929671025632,2428.936,528.22266
2459.6824185474757,2431.435,527.69403
2461.6943793654327,2442.8704,527.2748
2455.9842148864554,2447.9314,526.9295
2449.9044504265976,2451.6182,526.83685
2452.6388023470345,2439.6816,526.55444
2452.606638735636,2440.2856,526.2289
2422.442678384154,2430.5598,525.63885
2402.2645701486476,2425.2212,525.76685
2413.855265419239,2431.8953,526.5729
2419.1082245761727,2433.1746,527.0171
2428.6475868182347,2441.6252,527.58014
2436.1709480597146,2441.0542,527.8534
2433.8725247577404,2439.5703,527.90466
2431.249840755099,2437.6592,527.99225
2435.4372403991556,2432.2517,528.0013
2444.95613319762,2435.485,527.99164
2453.1609456916713,2430.5825,527.583
2454.321480781268,2426.8354,526.8816
2445.7986643243967,2426.8591,526.1813
2440.62751183839,2426.3745,525.70703
2438.9330196688675,2427.7341,525.39136
2435.905058125492,2431.8162,525.2177
2439.6578416194734,2430.0254,525.062
2439.8078160249415,2427.364,524.72394
2430.350787592245,2426.9404,524.3876
2423.3324699286013,2426.1204,524.2929
2420.0205313348933,2427.3308,524.40295
2418.856500577504,2431.136,524.6882
2423.359648345537,2433.6274,525.05554
2425.787717320256,2432.3218,525.2514
2423.6564882905886,2434.1963,525.4485
2423.3260685819832,2433.3525,525.6833
2424.9722069410186,2433.5981,525.93085
2430.935170983242,2438.6343,526.2716
2444.083773491985,2435.9429,526.36224
2450.9363167722986,2436.2744,526.1204
2443.239647368735,2433.9575,525.65906
2438.42677456853,2430.9404,525.3533
2441.778544904101,2431.023,525.1702
2441.5123774252716,2432.1694,524.9117
2447.5022447266183,2438.2512,524.8358
2449.2985070489076,2438.4463,524.58057
2437.5715444069483,2437.4136,524.2625
2433.078619813061,2436.1648,524.24384
2435.6695996562557,2429.856,524.145
2437.454108978078,2431.6313,524.0285
2444.4743826932595,2439.1763,524.0746
2443.0174612759447,2439.602,523.92084
2429.6681132512185,2441.2168,523.87103
2429.7995669171396,2439.3958,524.1336
2435.3346096067667,2434.222,524.21625
2430.631132979039,2433.1284,524.1294
2427.332104310915,2440.051,524.38495
2432.035789748726,2427.6172,524.35364
2426.2691927389246,2435.7188,524.44275
2425.5897927376905,2442.0146,524.8584
2436.4788513805574,2448.618,525.4434
2432.7055945748916,2456.4565,525.9238
2427.9179198100064,2455.7466,526.49884
2430.1879705731726,2450.277,527.04706
2439.8182504730503,2437.813,527.1876
2438.3167440433062,2445.6675,527.3205
2426.918247443682,2454.8074,527.75494
2426.0047525627333,2464.897,528.7585
2432.0544783610226,2478.561,530.1089
2442.337526444414,2470.618,531.03033
2451.453196483707,2469.4822,531.67456
2455.1544694823406,2454.0962,531.6695
2457.8014584872612,2455.9873,531.6831
2469.1293230821702,2456.4294,531.64044
2484.1258893946624,2458.1707,531.3369
2502.0441680409967,2472.2773,531.0352
2507.1659269752154,2470.352,530.1829
2499.452933976311,2485.9873,529.6782
2487.8805323348806,2482.9207,529.2726
2474.183562902066,2469.2766,528.79553
2451.7619014993943,2470.0754,528.7274
2435.9915497160973,2452.6077,528.7563
2448.049482245502,2449.6294,529.12756
2455.5691320327883,2460.1946,529.4217
2450.051537953662,2444.7388,529.0805
2436.8499582928644,2445.6028,528.98145
2404.5999018406073,2422.6028,528.5913
2386.5623949764886,2424.1956,529.1709
2394.1810980493356,2423.2349,530.1315
2437.280016805529,2448.1445,531.52686
2489.1289382449713,2485.166,532.7062
2491.4461961751804,2492.3984,532.6616
2479.0198606140393,2517.8757,533.38794
2489.532608486993,2512.2888,534.2404
2517.469253149965,2516.164,534.88995
2533.505182050676,2509.0183,534.58203
2547.5860830844013,2510.4688,533.9664
2551.567280050089,2512.9912,533.06903
2556.1229400657876,2509.595,531.99756
2551.9858810728856,2514.9766,530.9684
2523.533469347365,2510.714,529.93195
2509.900323764973,2493.6714,529.21216
2501.992912563698,2485.154,528.6017
2503.6039386999773,2472.584,527.846
2491.708977947167,2465.5137,526.86066
2469.535619764367,2479.7505,526.6262
2473.122905248374,2481.901,526.99524
2482.767300436997,2480.7703,527.1648
