gamma_result,ref,LP
400.0,436.1014,533.8514
463.51947,446.0382,533.85516
1081.89,728.6264,533.8588
1783.9438,1363.6613,533.8624
2045.9426,1864.5801,533.86597
2215.126,2085.64,533.86945
2302.9917,2198.8645,533.87286
2355.5728,2273.639,533.8762
2378.2969,2319.7883,533.87946
2381.5977,2335.0166,533.8827
2398.864,2336.5132,533.8858
2419.1606,2355.091,533.88885
2413.3704,2370.2468,533.89185
2415.0662,2374.4844,533.8948
2413.9072,2379.3694,533.8976
2410.3772,2378.3801,533.9004
2419.8054,2374.4019,533.9031
2424.5,2379.1816,533.90576
2422.203,2382.7747,533.9083
2423.9084,2391.9097,533.9108
2426.7244,2394.3108,533.91327
2425.9124,2397.6062,533.91565
2427.0361,2397.748,533.91797
2430.9033,2407.6873,533.9202
2437.169,2409.3535,533.92236
2444.1064,2404.9395,533.9245
2453.0605,2410.2095,533.9265
2457.0195,2421.392,533.9285
2462.6484,2424.4365,533.9304
2468.4587,2427.4863,533.93225
2476.8835,2430.4873,533.934
2479.9167,2444.8103,533.9357
2458.0876,2426.4565,533.9374
2443.9539,2409.7034,533.93896
2454.0718,2422.2327,533.9404
2457.9846,2423.581,533.9419
2455.7861,2424.3853,533.9433
2464.135,2428.756,533.9446
2474.3745,2439.6824,533.94586
2468.7668,2439.112,533.947
2462.6233,2428.0735,533.9482
2462.9524,2429.4756,533.9492
2471.4417,2430.432,533.9502
2479.719,2447.868,533.9511
2474.1055,2432.7402,533.952
2465.6968,2411.2534,533.9528
2462.8767,2424.9683,533.95355
2465.604,2425.3904,533.9542
2471.183,2434.0442,533.95483
2472.6873,2439.933,533.22766
2472.6873,2439.7258,533.22766
2471.6616,2444.6458,532.2852
2468.367,2444.7695,531.5009
2470.3896,2444.9158,530.9193
2471.0933,2439.2705,530.5104
2475.352,2443.2131,530.16486
2480.4094,2455.2932,529.85864
2468.4792,2443.7292,529.5765
2463.2407,2440.24,529.34607
2463.7295,2455.0676,529.1279
2460.3462,2450.6868,528.8895
2465.2366,2446.26,528.6557
2465.8376,2424.2942,528.4196
2459.8389,2412.523,528.1989
2456.5977,2433.578,528.01587
2449.1648,2450.3472,527.8417
2449.0999,2452.1626,527.6865
2454.093,2445.5156,527.51154
2452.7268,2451.0737,527.3229
2447.2874,2433.8474,527.1364
2446.021,2429.4976,526.9959
2451.5034,2427.2722,526.82745
2450.3965,2420.9448,526.6069
2452.5398,2436.5183,526.39246
2454.8188,2445.4043,526.1913
2425.7122,2446.732,525.99615
2404.2207,2436.7039,525.86633
2412.1367,2432.4087,525.7869
2416.818,2438.6147,525.65594
2424.3567,2432.095,525.51465
2430.2246,2432.3555,525.3949
2415.1873,2429.07,525.29944
2404.1682,2421.3154,525.19794
2411.5786,2424.6484,525.1252
2417.3005,2431.4338,525.046
2423.573,2430.8198,524.9811
2424.8,2432.1987,524.97485
2408.3396,2429.231,525.0216
2398.635,2422.5293,525.05566
2408.3152,2424.65,525.0323
2414.8184,2429.7112,524.9446
2421.305,2430.012,524.8674
2424.3335,2432.561,524.8277
2419.9404,2437.243,524.81696
2418.381,2432.0823,524.787
2419.9934,2431.1497,524.7044
2423.6895,2434.6228,524.59326
2431.2468,2436.0469,524.4907
2432.0188,2442.6458,524.36945
2422.4373,2435.8389,524.22565
2419.7417,2429.903,524.02625
2419.6292,2432.076,523.7513
2419.4204,2431.9778,523.4465
2425.1753,2429.9697,523.1567
2425.9246,2432.361,523.01764
2419.6506,2446.533,522.94226
2415.58,2444.5312,522.91986
2415.8623,2428.2944,522.9175
2420.6177,2427.7986,523.00446
2428.215,2431.4175,523.1748
2436.2036,2435.4644,523.3669
2424.1877,2446.935,523.5585
2408.29,2443.7397,523.7379
2409.6248,2435.4983,523.9367
2416.6787,2435.052,524.1112
2425.5608,2432.9458,524.268
2433.6177,2431.2048,524.4643
2425.5576,2447.1562,524.72076
2423.349,2424.0295,524.96063
2437.0208,2424.2812,525.1819
2434.8247,2459.9995,525.33386
2432.6301,2472.9546,525.43475
2435.7415,2452.9136,525.5458
2431.5193,2438.5388,525.7091
2427.9548,2447.6406,525.8444
2430.0828,2437.0872,525.98804
2428.7715,2443.6946,526.1869
2429.196,2472.5276,526.3306
2430.8284,2486.099,526.42316
2426.0603,2484.5942,526.7121
2423.346,2455.1365,527.07056
2429.778,2454.3704,527.506
2436.2158,2453.0557,528.0805
2441.2788,2457.6045,528.73486
2449.7637,2459.8032,529.4124
2467.7273,2458.737,529.9575
2474.6196,2484.7515,530.30646
2473.8914,2481.9673,530.61395
2486.5586,2487.223,530.8721
2476.3489,2483.8738,531.00226
2463.1062,2451.3306,531.2222
2474.7817,2456.2769,531.632
2479.3083,2453.8848,531.9011
2474.232,2442.9817,532.05865
2459.9504,2466.5046,532.26825
2426.1357,2446.4956,532.67365
2406.7097,2424.701,532.94104
2407.4482,2398.71,533.16064
2445.593,2423.6902,533.4116
2504.2659,2447.7598,533.5957
2519.105,2472.5989,533.60815
2504.7495,2522.5723,533.7737
2502.0342,2512.198,534.07324
2520.8843,2513.179,534.2858
2526.4868,2512.3794,534.25183
2529.0244,2519.1492,534.18317
2526.0566,2505.657,534.12317
2528.3064,2501.7883,534.1016
2538.0269,2520.3252,534.0216
2527.5151,2517.4016,533.91174
2522.8398,2509.628,533.78455
2520.2783,2504.0266,533.7035
2510.3926,2477.7148,533.6388
2488.7656,2466.2817,533.57074
2493.0056,2467.4531,533.52966
2511.2075,2464.7456,533.4245
2504.4612,2492.048,533.2409
2501.9946,2499.0564,533.0971
2499.5352,2469.4924,532.97675
2496.0334,2462.7966,532.8501
2498.8877,2459.2449,532.67505
2491.7332,2458.832,532.47424
2488.6863,2479.3713,532.3093
2490.0083,2485.085,532.1368
2488.7524,2464.8271,531.92834
2469.1445,2449.7856,531.69324
2446.8384,2469.0625,531.4874
2461.3914,2467.5747,531.3542
2474.9805,2464.4485,531.13904
2474.8916,2470.564,530.8673
2480.0808,2448.2083,530.6318
2463.138,2431.7346,530.4393
2439.5747,2440.988,530.3145
2446.731,2421.5244,530.2548
2461.1777,2425.919,530.1585
2470.8267,2457.1367,530.02527
2475.1697,2465.5117,529.89935
2453.5657,2441.2307,529.8264
2431.5337,2429.1733,529.83704
2440.5132,2425.7832,529.84735
2455.909,2428.163,529.81287
2461.3389,2449.2554,529.727
2462.1611,2457.8464,529.6725
2437.2212,2460.6182,529.67523
2414.5562,2457.0107,529.71313
2431.416,2445.1572,529.72894
2449.166,2449.4197,529.69977
2453.851,2463.5735,529.6002
2455.7854,2464.984,529.55884
2434.8816,2454.0225,529.5845
2415.2373,2445.6353,529.6584
2432.5918,2440.4424,529.6956
2453.374,2440.9321,529.6466
2459.3652,2455.4863,529.54596
2458.898,2465.2278,529.4852
2434.952,2457.7383,529.4859
2412.0432,2448.3376,529.5319
2426.5042,2442.3584,529.55115
2443.5784,2444.2825,529.51044
2445.9583,2464.0798,529.44836
2450.1848,2434.194,529.4491
2433.178,2423.7559,529.49396
2411.408,2450.6057,529.54083
2426.2744,2450.2341,529.53503
2443.1404,2448.2944,529.4953
2444.2102,2447.876,529.4158
2447.2375,2453.337,529.36255
2432.3484,2434.8489,529.36694
2416.8123,2430.3408,529.3851
2434.9214,2437.444,529.37384
2449.378,2431.586,529.2499
2443.1604,2431.2908,529.0713
2436.1975,2440.7812,528.91125
2415.0288,2425.346,528.7442
2399.4072,2418.846,528.5567
2418.143,2431.1245,528.35187
2434.7214,2435.765,528.14636
2434.187,2441.9482,527.9691
2427.0027,2443.1848,527.81036
2406.5146,2424.054,527.70605
2392.8962,2416.8267,527.62317
2410.5818,2419.0457,527.5573
2427.0168,2419.2832,527.47687
2430.6838,2428.0627,527.4593
2432.0266,2433.915,527.5086
2419.122,2420.427,527.6287
2406.8247,2415.713,527.82263
2408.7593,2428.7397,528.0251
2419.4539,2431.8062,528.2492
2430.0645,2438.2334,528.4495
2437.8784,2439.8152,528.5884
2417.2737,2424.0051,528.67365
