gamma_result,ref,TiDE_pred,LP
400.0,436.1014,400.0,533.8514
527.03894,904.84973,527.03894,533.85516
1636.7411,1296.6033,1636.7411,533.8588
1931.1465,1724.6505,1931.1465,533.8624
2160.7388,2031.7224,2160.7388,533.86597
2269.5132,2179.6394,2269.5132,533.86945
2336.47,2259.3264,2336.47,533.87286
2374.6755,2304.328,2374.6755,533.8762
2381.918,2328.151,2381.918,533.87946
2381.277,2345.0537,2381.277,533.8827
2416.4507,2353.3801,2416.4507,533.8858
2421.8704,2364.7876,2421.8704,533.88885
2404.87,2374.808,2404.87,533.89185
2425.262,2376.4321,2425.262,533.8948
2402.5525,2376.8855,2402.5525,533.8976
2418.202,2378.781,2418.202,533.9004
2421.4087,2378.5881,2421.4087,533.9031
2427.5913,2385.5457,2427.5913,533.90576
2416.8142,2388.5427,2416.8142,533.9083
2431.0027,2394.758,2431.0027,533.9108
2422.4458,2396.0295,2422.4458,533.91327
2429.3787,2402.6467,2429.3787,533.91565
2424.6934,2403.5508,2424.6934,533.91797
2437.1133,2406.3135,2437.1133,533.9202
2437.2246,2409.7815,2437.2246,533.92236
2450.9885,2413.1658,2450.9885,533.9245
2455.1326,2417.323,2455.1326,533.9265
2458.9065,2424.4392,2458.9065,533.9285
2466.3904,2427.462,2466.3904,533.9304
2470.527,2436.1484,2470.527,533.93225
2483.2402,2428.472,2483.2402,533.934
2476.5933,2427.2568,2476.5933,533.9357
2439.582,2424.3447,2439.582,533.9374
2448.326,2416.6423,2448.326,533.93896
2459.8176,2423.3088,2459.8176,533.9404
2456.1516,2426.1687,2456.1516,533.9419
2455.4207,2432.034,2455.4207,533.9433
2472.8494,2433.934,2472.8494,533.9446
2475.8997,2433.878,2475.8997,533.94586
2461.6338,2434.2937,2461.6338,533.947
2463.613,2429.2527,2463.613,533.9482
2462.2917,2438.6719,2462.2917,533.9492
2480.5916,2431.586,2480.5916,533.9502
2478.8464,2429.5608,2478.8464,533.9511
2469.3645,2428.8542,2469.3645,533.952
2462.0288,2418.3218,2462.0288,533.9528
2463.7249,2429.5063,2463.7249,533.95355
2467.4834,2432.6616,2467.4834,533.9542
2474.8828,2436.885,2474.8828,533.95483
2469.342,2442.2893,2469.342,532.44006
2469.342,2442.2476,2480.1868,532.44006
2464.7966,2444.7808,2491.2673,530.6598
2462.4287,2442.02,2488.0657,529.2098
2456.3088,2444.0645,2483.2568,528.3381
2451.776,2447.282,2478.5588,527.83777
2464.172,2443.4712,2474.0732,527.42847
2459.384,2447.7666,2483.156,527.0109
2457.1274,2449.3984,2477.3037,526.66956
2445.654,2445.4634,2472.112,526.45807
2440.6616,2450.6638,2463.315,526.2748
2438.4758,2437.4905,2460.778,526.06384
2452.8665,2429.3916,2461.315,525.8641
2444.3262,2428.936,2474.0095,525.66034
2437.2583,2431.435,2462.22,525.5331
2437.1636,2442.8704,2451.0376,525.5291
2439.8467,2447.9314,2454.5178,525.4334
2432.7966,2451.6182,2461.6482,525.26874
2449.8875,2439.6816,2452.9946,525.132
2441.488,2440.2856,2464.515,524.948
2430.485,2430.5598,2453.1162,524.8015
2424.61,2425.2212,2440.0378,524.70856
2428.5234,2431.8953,2432.7673,524.5832
2424.1125,2433.1746,2446.2554,524.32214
2437.54,2441.6252,2441.017,524.0941
2434.8862,2441.0542,2447.466,523.82666
2427.591,2439.5703,2439.98,523.64264
2419.334,2437.6592,2431.124,523.5537
2421.726,2432.2517,2424.6555,523.4756
2415.8909,2435.485,2431.1392,523.3625
2431.4329,2430.5825,2426.855,523.1988
2425.3389,2426.8354,2437.2637,522.96045
2391.156,2426.8591,2427.3179,522.83435
2398.6003,2426.3745,2391.8174,522.8289
2413.4766,2427.7341,2406.2773,522.8453
2403.168,2431.8162,2432.5881,522.7709
2418.7043,2430.0254,2419.2827,522.95734
2425.1257,2427.364,2419.9214,523.22424
2423.588,2426.9404,2423.1797,523.43365
2414.9277,2426.1204,2424.7405,523.4932
2418.9702,2427.3308,2415.7434,523.5109
2412.3582,2431.136,2421.7256,523.5647
2429.2583,2433.6274,2418.0466,523.628
2429.4973,2432.3218,2433.4407,523.58826
2438.0842,2434.1963,2432.245,523.5289
2434.7947,2433.3525,2440.5247,523.33844
2436.175,2433.5981,2436.3164,523.15717
2435.4941,2438.6343,2438.427,522.98663
2439.667,2435.9429,2441.0393,522.8297
2427.502,2436.2744,2446.157,522.7319
2414.169,2433.9575,2435.166,522.7545
2404.9895,2430.9404,2426.3687,522.7423
2412.901,2431.023,2423.6628,522.6809
2407.8196,2432.1694,2435.9507,522.35834
2419.6765,2438.2512,2431.0642,522.18335
2411.5884,2438.4463,2434.7737,522.14136
2415.093,2437.4136,2422.864,522.4177
2409.643,2436.1648,2427.245,522.655
2419.3872,2429.856,2422.798,522.82324
2421.4531,2431.6313,2430.528,522.9236
2431.7583,2439.1763,2429.143,523.01776
2436.5708,2439.602,2432.5361,523.16266
2407.7607,2441.2168,2433.281,523.2593
2404.884,2439.3958,2405.0063,523.4616
2411.7896,2434.222,2405.4797,523.59814
2418.9624,2433.1284,2422.035,523.679
2432.412,2440.051,2432.9854,524.0123
2437.944,2427.6172,2436.8862,524.45123
2414.3613,2435.7188,2434.6094,524.96094
2431.7605,2442.0146,2413.1685,525.47327
2438.1665,2448.618,2434.133,525.71686
2435.4216,2456.4565,2445.8115,525.7281
2448.886,2455.7466,2439.8037,525.62946
2435.0615,2450.277,2444.0698,525.6229
2440.215,2437.813,2432.7651,525.58203
2424.2368,2445.6675,2442.1277,525.4918
2434.2007,2454.8074,2434.2566,525.57025
2422.7483,2464.897,2443.513,525.6001
2439.4946,2478.561,2434.1733,525.43524
2444.2827,2470.618,2445.2515,525.17145
2432.306,2469.4822,2450.3215,525.2485
2431.2654,2454.0962,2442.386,525.51733
2451.3662,2455.9873,2441.2092,525.9757
2441.5264,2456.4294,2461.205,526.61194
2448.6973,2458.1707,2454.374,527.4609
2439.9648,2472.2773,2454.3572,528.3823
2453.3005,2470.352,2444.0464,529.4033
2451.8247,2485.9873,2457.8115,529.8561
2478.7234,2482.9207,2455.2896,530.30457
2487.5154,2469.2766,2469.2783,530.4201
2453.5283,2470.0754,2468.2424,530.2966
2451.4028,2452.6077,2431.908,531.3095
2484.2578,2449.6294,2429.0664,531.9648
2479.7415,2460.1946,2477.2422,532.09186
2490.285,2444.7388,2477.259,532.2017
2459.2744,2445.6028,2471.1746,532.3802
2439.8289,2422.6028,2432.9592,532.92285
2408.8699,2424.1956,2423.6248,533.3561
2409.8723,2423.2349,2414.618,533.96844
2496.0032,2448.1445,2435.0325,534.6418
2526.6748,2485.166,2520.9812,534.84296
2515.819,2492.3984,2531.528,535.068
2508.816,2517.8757,2488.097,535.8493
2512.4487,2512.2888,2473.5,536.58484
2552.1316,2516.164,2497.7627,536.7596
2521.714,2509.0183,2552.0317,536.3694
2563.296,2510.4688,2514.1333,536.46936
2532.4067,2512.9912,2531.869,536.2351
2547.396,2509.595,2501.2825,536.2637
2533.8733,2514.9766,2523.3142,536.0522
2548.7388,2510.714,2519.3494,535.771
2536.6482,2493.6714,2533.945,535.4316
2538.7207,2485.154,2518.841,535.2946
2533.2085,2472.584,2516.5845,535.0895
2519.1165,2465.5137,2517.0786,534.88586
2508.5671,2479.7505,2514.2893,534.6621
2494.431,2481.901,2509.485,534.41394
2501.175,2480.7703,2496.827,534.2327
2504.7876,2480.9265,2504.501,533.9541
2492.636,2464.3687,2507.0308,533.6793
2502.9897,2460.8145,2495.3462,533.4872
2498.3079,2469.308,2508.1748,533.247
2490.563,2471.9585,2507.6365,533.01996
2492.9844,2472.0994,2498.9116,532.79254
2503.8477,2467.4353,2498.567,532.49036
2497.1365,2466.9448,2510.1702,532.1599
2462.9868,2458.6802,2506.3733,531.82666
2485.011,2466.7556,2475.6692,531.46906
2475.1545,2469.0693,2500.1787,531.07104
2482.9385,2456.3284,2497.6064,530.5967
2478.2498,2451.1492,2498.7063,530.1634
2480.0808,2444.5981,2487.342,529.7423
2436.6858,2426.6294,2490.765,529.35126
2437.4536,2433.4536,2451.548,529.2318
2463.1,2439.3306,2459.6992,529.08765
2464.5554,2445.7153,2495.0183,528.9136
2474.3855,2449.1836,2492.0623,528.781
2471.67,2447.3425,2483.0596,528.7655
2432.6387,2433.507,2468.7515,528.8446
2428.463,2428.6682,2439.4426,528.8896
2449.813,2437.5193,2445.661,528.9383
2455.214,2443.005,2475.59,529.0098
2458.6714,2454.9368,2482.263,529.0714
2458.8674,2457.4285,2466.121,529.23425
2417.449,2452.8877,2458.799,529.3716
2418.9067,2453.215,2425.3938,529.46857
2443.4595,2454.3652,2437.6736,529.4826
2443.779,2457.2017,2473.2883,529.4595
2446.5364,2458.798,2468.3806,529.50494
2455.6453,2455.3096,2450.1768,529.6981
2413.8135,2447.2324,2455.131,529.8368
2414.3225,2443.2837,2423.8591,530.03076
2446.4058,2447.9644,2433.1199,530.1743
2450.2239,2453.0798,2474.6035,530.10406
2452.707,2456.6123,2472.571,530.0876
2454.9773,2456.7827,2454.3865,530.21344
2420.38,2450.0483,2449.9204,530.31573
2424.3135,2446.31,2427.081,530.4297
2447.6711,2453.219,2442.1274,530.4891
2454.597,2439.2383,2470.0298,530.3495
2450.1467,2443.9177,2468.4487,530.29114
2455.762,2442.4,2444.9868,530.4632
2420.4148,2436.9949,2447.2048,530.5486
2420.4631,2449.4502,2425.6423,530.6096
2434.484,2449.055,2434.4773,530.5228
2453.8125,2450.8157,2449.4583,530.39124
2448.0896,2441.3623,2463.746,530.09235
2453.6572,2441.8389,2443.1084,530.11926
2414.3916,2436.1465,2441.9626,530.1539
2415.5317,2430.9634,2414.3958,530.20154
2426.869,2434.3674,2425.633,530.1465
2444.7122,2436.1836,2439.2148,529.84106
2444.5906,2428.3184,2452.1362,529.3671
2451.7607,2429.8135,2438.4768,529.0343
2398.5593,2428.235,2437.4543,528.6759
2401.7258,2427.3054,2391.6814,528.36066
2432.2795,2436.5364,2407.4414,528.0274
2429.7551,2439.4749,2445.937,527.5999
2435.8464,2433.0012,2438.2275,527.31683
2430.5095,2430.0059,2425.167,527.19293
2392.8608,2421.5498,2413.9897,527.02545
2396.4565,2418.055,2390.2705,526.89087
2422.6377,2423.5542,2407.5715,526.77094
2422.946,2426.599,2437.7815,526.65173
2427.4612,2424.2449,2429.4265,526.7393
2413.022,2424.814,2417.7073,527.03534
2379.956,2424.5835,2399.8943,527.473
2389.304,2423.7595,2380.871,528.0673
2428.9355,2433.4866,2407.329,528.51807
2424.3794,2435.8108,2448.5898,528.6373
2430.0544,2431.1194,2429.3403,528.99316
2442.3345,2433.2808,2412.6506,529.3558
2399.8523,2434.9895,2426.664,529.46533
2398.0933,2436.037,2397.0405,529.5119
2418.134,2444.567,2403.4329,529.5183
2428.014,2444.0725,2425.8848,529.3706
2433.4402,2433.8667,2433.031,529.0921
2445.0752,2431.207,2426.543,528.82825
2402.1775,2429.7622,2432.4932,528.4906
2398.8472,2427.743,2397.2053,528.2016
2419.601,2436.2783,2403.7234,528.0283
2430.3225,2442.0398,2433.108,528.07135
2430.3694,2442.3425,2445.0474,528.1426
2442.8367,2441.7864,2433.5479,528.4038
2399.4302,2441.0315,2440.1213,528.6488
2399.7954,2434.7083,2410.0344,528.8405
2409.1443,2432.3738,2419.342,529.0171
2428.4155,2438.541,2432.4785,529.3089
2432.8506,2438.169,2449.7224,529.47375
2427.9175,2438.4084,2442.8228,529.70135
2401.1292,2445.272,2430.028,530.0612
2435.7434,2440.524,2412.8499,530.70087
2470.6165,2438.8105,2454.8425,530.8497
2458.5442,2447.2825,2482.6348,530.78674
2454.475,2442.3296,2457.488,531.34546
2432.8457,2442.0942,2438.9238,532.52893
2445.2385,2445.694,2425.0808,533.71466
2447.9395,2448.5676,2456.2847,533.8962
2471.634,2464.7908,2464.5261,534.0964
2465.6772,2483.888,2470.7422,534.4053
2494.2422,2501.7727,2452.2612,535.049
2465.8176,2497.5261,2476.3406,535.1024
2481.0457,2497.6768,2452.4355,535.38525
2467.2458,2485.988,2472.5083,535.1935
2520.9307,2484.268,2459.6692,535.3227
2477.7158,2488.0984,2502.8635,534.8123
2482.525,2481.3552,2457.3853,535.098
2480.0173,2477.4268,2457.6157,535.15485
2521.239,2467.1443,2464.1973,534.96454
2489.732,2460.5474,2517.804,534.0712
2515.9878,2461.5203,2480.5876,533.785
2500.214,2461.9758,2485.014,533.4966
2539.9568,2465.6487,2473.6057,533.43097
2530.1816,2467.4495,2520.3372,532.8256
2543.45,2470.344,2514.7754,532.6219
2484.5625,2470.7837,2522.2192,532.6331
2523.9465,2481.614,2469.3076,533.73865
2481.866,2498.6453,2506.5312,534.53656
2524.3198,2511.1182,2487.4316,535.8216
2531.1902,2521.698,2525.5261,536.04346
2550.2588,2525.474,2523.2585,536.3352
2507.0276,2520.9783,2528.1968,536.4408
2559.543,2511.344,2480.1697,537.38086
2542.982,2511.9363,2524.2708,537.65985
2529.8494,2508.083,2520.0208,538.1978
2513.4006,2511.2954,2503.5828,538.85736
2553.621,2519.028,2481.6921,539.26166
2514.6138,2511.485,2529.0515,539.0163
2536.3901,2490.6396,2499.4976,539.1318
2489.1216,2467.8242,2512.0308,539.1476
2460.5796,2438.0698,2471.9895,539.47003
2447.7175,2438.0085,2460.0635,539.97797
2483.5051,2458.1045,2462.9646,540.6701
2552.5078,2476.8262,2510.7202,540.98755
2581.486,2496.1704,2572.1929,540.78784
2533.271,2507.654,2572.5,540.796
2547.3853,2513.372,2511.217,541.1269
2535.3474,2519.1787,2525.3184,541.7769
2599.7607,2538.3977,2537.308,542.0371
2558.4507,2547.3323,2604.4883,541.37134
2615.9084,2545.7517,2553.657,541.4211
2561.5637,2543.2874,2582.5786,541.15515
2584.7444,2538.6372,2549.1384,540.8191
2567.5417,2531.4243,2565.9307,540.59283
2593.3127,2535.8372,2571.616,540.2377
2571.21,2538.8813,2581.9233,540.043
2608.1587,2532.3958,2553.3308,540.11206
2567.4712,2527.824,2579.6963,540.0937
2556.1326,2522.9695,2550.5024,540.21246
2522.815,2519.3726,2541.3572,540.3692
2577.693,2523.3901,2520.3552,540.67725
2557.0454,2527.0544,2576.758,540.7245
2596.3665,2523.6492,2562.3108,540.628
2557.0376,2517.2695,2580.4473,540.31244
2546.8901,2510.8906,2537.5063,540.3907
2516.3804,2503.4734,2530.8628,540.55396
2560.568,2503.3464,2516.197,540.70905
2540.2068,2505.9004,2573.26,540.3868
2569.5334,2500.0918,2550.3752,540.2643
2540.3599,2497.7554,2554.1162,540.47504
2555.5408,2493.9238,2530.4304,540.4299
2517.383,2494.1465,2556.3486,540.13696
2559.7424,2498.4724,2528.6848,539.95416
2539.3232,2500.0688,2560.6794,539.9104
2569.601,2496.23,2546.404,539.48193
2535.9758,2487.5552,2566.214,538.8157
2539.6833,2478.8765,2534.027,538.3646
2509.0098,2472.7153,2546.0376,537.83325
2550.2197,2468.658,2518.3496,537.61707
2514.422,2474.6772,2563.6733,536.8822
2551.1829,2470.0127,2525.2263,536.3558
2527.7612,2466.7854,2551.833,535.64575
2508.6953,2459.2375,2525.5322,535.43726
2485.5103,2449.1301,2519.906,534.88824
2523.6462,2448.163,2497.5256,534.64343
2487.183,2450.194,2546.0466,533.9285
2521.6602,2447.7988,2503.9646,533.70245
2503.2454,2450.5376,2525.0557,533.5346
2518.449,2446.6248,2508.831,533.3514
2475.4133,2446.893,2527.8438,533.1387
2487.433,2452.5151,2494.4163,532.75507
2459.8936,2452.8093,2504.6667,532.4124
2494.7,2453.1267,2484.9138,531.85345
2483.922,2453.2043,2520.215,531.4974
2463.3423,2450.109,2508.2373,531.2053
2443.3198,2447.0007,2486.3467,530.74347
2469.701,2446.7307,2463.8147,530.3937
2442.7373,2448.8777,2501.656,529.9786
2491.8127,2444.6953,2477.9978,529.6157
2471.2334,2442.05,2517.5095,529.198
2442.1973,2439.1985,2489.9597,528.8916
2465.2358,2436.6008,2456.042,528.5977
2464.8574,2438.2983,2486.6355,528.2733
2451.5366,2447.53,2495.802,527.9069
2471.6506,2450.1628,2473.269,527.6003
2442.1267,2449.1943,2481.4485,527.293
2467.579,2449.521,2449.356,527.0682
2425.3,2445.3372,2482.852,526.74786
2451.0745,2445.1096,2443.3171,526.5878
2429.6907,2454.2134,2466.1846,526.3959
2463.0833,2458.7495,2444.7905,526.3608
2457.3677,2459.5513,2474.7312,526.18066
2434.022,2459.389,2463.927,526.1558
2442.5667,2451.6484,2438.4875,526.189
2452.6882,2450.5798,2448.2273,526.18274
2434.478,2456.738,2465.5034,526.1527
2474.7034,2458.0244,2445.9956,526.27997
2458.0757,2458.5713,2475.974,526.1913
2464.3105,2451.7256,2457.6526,526.39825
2427.5295,2444.3135,2462.0208,526.54016
2438.7576,2447.4556,2424.4,527.1493
2429.647,2454.4321,2445.1624,527.46014
2475.8389,2461.108,2444.203,527.7325
2463.0923,2462.466,2485.243,527.4912
2469.7173,2456.0535,2460.6465,527.6072
2427.3083,2449.231,2458.3755,527.7385
2455.2908,2445.6555,2416.1306,528.1671
2428.234,2452.725,2455.7993,528.1718
2456.0894,2458.9827,2438.3308,528.23834
2447.8157,2459.3608,2458.6306,528.1488
2456.1655,2456.3013,2440.9077,528.1938
2431.0393,2448.902,2449.1575,528.0963
2453.213,2443.6565,2425.723,528.1323
2424.738,2447.7585,2451.9707,528.0209
2456.6033,2451.9954,2426.7095,528.12195
2455.429,2451.7522,2453.906,528.1404
2450.9006,2451.3108,2449.8596,528.16315
2433.1355,2446.1821,2444.854,528.12604
2449.368,2444.8691,2425.195,528.0629
2426.9507,2447.7,2448.376,527.7481
2458.1152,2451.0786,2432.4575,527.4691
2439.7502,2451.605,2459.6602,527.14417
2427.2756,2449.0454,2438.3203,526.9672
2439.6572,2446.2166,2427.9353,526.8311
2452.5562,2443.945,2448.1438,526.697
2432.3699,2444.9827,2469.4724,526.5515
2462.003,2448.1123,2446.9873,526.633
2438.6086,2448.072,2466.2666,526.5778
2448.536,2447.112,2445.3533,526.6342
2418.3193,2453.7363,2459.3909,526.3856
2435.6082,2460.7288,2437.3962,526.4581
2421.5217,2470.0417,2455.9558,526.32764
2452.2031,2480.5378,2446.4941,526.9611
2449.7234,2477.4917,2467.4255,526.98553
2463.4656,2477.808,2458.8735,527.3453
2430.672,2473.2024,2466.8374,527.3433
2455.6313,2478.7227,2433.126,527.9377
2433.7297,2483.129,2457.8428,527.9703
2456.5867,2478.8281,2442.0854,528.12866
2456.9082,2474.777,2458.528,528.06635
2471.3528,2459.9517,2452.8357,528.03204
2432.8362,2454.4797,2465.0732,527.73413
2448.5957,2456.602,2424.3643,527.66565
2425.4124,2462.3857,2442.872,527.44354
2457.2197,2465.7495,2429.9612,527.3571
2441.8306,2462.9382,2463.648,527.32324
2450.4883,2454.3484,2443.9307,527.5067
2423.4521,2452.0742,2449.4453,527.8586
2445.687,2463.1523,2424.8347,528.21484
2441.7769,2470.495,2452.6045,528.3395
2469.3892,2477.73,2455.4194,528.3752
2445.6758,2474.7634,2476.243,528.42365
2458.4402,2461.0234,2446.4956,528.7696
2435.3228,2457.3481,2457.4226,528.8972
2460.3474,2463.847,2445.5713,528.85803
2459.8604,2473.5374,2472.742,528.999
2499.2996,2481.9707,2471.6165,528.7786
2464.0686,2483.1033,2498.204,528.44684
2481.0557,2480.1965,2459.1597,528.44934
2466.3257,2475.8716,2471.6472,528.3703
2478.9749,2479.3235,2470.085,528.654
2444.8564,2478.7053,2483.7769,528.9989
2475.4658,2473.395,2452.982,529.82623
2455.341,2470.2317,2477.3525,530.6523
2455.082,2472.9424,2460.5525,531.62085
2449.6274,2479.2498,2459.9158,532.58795
2496.3552,2482.8848,2454.467,533.6364
2484.5496,2490.6274,2495.5308,533.8719
2469.1873,2487.2588,2477.375,534.41235
2475.0442,2481.7825,2447.5889,535.17426
2499.6553,2481.5554,2456.2434,536.0394
2471.24,2472.0361,2493.5454,536.0935
2486.1946,2452.9802,2471.226,536.36505
2446.764,2440.556,2475.959,536.81024
2437.938,2402.7388,2486.314,534.34064
2418.613,2403.6409,2445.6768,536.2063
2473.4856,2428.9016,2442.9817,538.3086
2520.6167,2453.7227,2503.0857,540.19147
2547.2764,2501.7893,2545.862,541.42255
2516.252,2520.495,2550.9683,542.204
2558.1282,2526.7993,2527.0898,541.92645
2528.6262,2534.993,2544.0457,542.6464
2586.3135,2549.721,2535.9004,543.48804
2553.1958,2555.1492,2583.9248,543.6447
2639.2063,2559.6245,2549.4966,544.4629
2564.8926,2556.5745,2601.059,544.1016
2623.2234,2552.097,2542.665,544.76483
2571.7231,2543.0269,2588.5706,544.41644
2609.5398,2540.1592,2551.3628,544.63513
2562.7776,2533.8938,2587.1653,543.994
2619.3972,2524.1929,2544.7253,544.046
2554.8232,2516.0525,2591.1116,543.15845
2590.1406,2503.434,2539.5044,542.9378
2530.593,2494.6333,2570.8057,542.308
2575.5076,2491.5972,2528.1592,542.0769
2533.5886,2489.6775,2572.0442,541.28973
2598.2205,2479.4111,2537.4556,541.0144
2537.1077,2476.5493,2584.8591,539.5942
2548.1587,2466.7427,2534.2026,539.38513
2527.0522,2463.5476,2543.557,539.1038
2566.8918,2473.438,2538.2954,538.8777
2530.5408,2474.3237,2579.0498,537.72205
2585.8765,2469.8455,2545.9753,537.5799
2504.6196,2475.2642,2582.1953,536.92114
2501.2947,2465.7202,2517.2122,537.14233
2492.025,2463.448,2522.5354,537.29095
2531.125,2473.2988,2533.4465,537.2136
2499.0664,2466.2375,2572.8215,536.84283
2515.9753,2463.6814,2532.8313,537.2378
2479.2637,2465.2961,2530.194,537.5615
2499.809,2454.4255,2504.7795,537.87683
2485.4868,2453.92,2538.7937,537.5232
2529.5266,2458.9792,2530.621,537.3231
2499.188,2453.5076,2555.7634,536.2631
2509.7705,2450.143,2517.3848,536.5848
2474.4805,2454.0547,2516.612,536.85724
2509.8271,2450.1138,2493.7463,537.10547
2479.0051,2451.8296,2540.8235,535.74963
2492.5537,2453.757,2510.772,535.5152
2465.443,2444.438,2511.5872,535.0545
2498.6484,2433.7366,2482.7786,534.3193
2462.503,2429.6162,2517.7986,533.318
2444.9812,2424.1528,2492.171,532.4798
2456.103,2422.1711,2476.8313,532.064
2485.1316,2424.8284,2487.594,531.78
2443.035,2428.816,2519.823,530.80023
2474.9963,2426.061,2475.46,530.70795
2462.4404,2426.2517,2493.81,530.8007
2457.911,2416.5483,2492.8718,530.84
2452.7412,2405.1296,2494.6729,530.89545
2475.02,2407.9897,2484.2913,531.0398
2447.9194,2413.939,2503.8784,531.0522
2462.9573,2414.6492,2476.8608,530.9718
2438.8606,2417.939,2486.978,530.77277
2417.4236,2408.303,2469.3486,530.40466
2441.1897,2405.0518,2452.0295,530.06055
2464.3918,2414.1875,2476.2769,529.7073
2434.0964,2428.3574,2496.415,529.1041
2456.4348,2443.5793,2454.2249,528.8395
2439.1704,2443.4238,2465.9463,528.4898
2408.4265,2440.8723,2455.56,528.13226
2395.0488,2426.203,2432.0361,527.57434
2391.3105,2420.477,2415.055,526.9923
2389.097,2416.1165,2418.0752,526.2905
2428.404,2407.7334,2420.3518,525.52814
2412.6948,2413.7373,2455.2307,524.692
2393.8215,2412.5461,2428.5679,524.02734
2390.9387,2414.0767,2401.0996,523.6598
2420.4346,2423.0903,2398.426,523.42896
2404.6416,2419.7898,2438.9817,522.97723
2418.4275,2411.8315,2425.5295,522.9046
2402.6963,2410.8562,2424.5337,522.99884
2375.5652,2400.028,2403.4026,523.25244
2387.8892,2394.7388,2384.0017,523.47943
2419.6523,2402.9175,2405.4207,523.77124
2408.1025,2418.4866,2442.8813,523.857
2430.0264,2433.1123,2422.1218,524.2985
2412.8699,2445.1284,2425.6523,524.3639
2382.1765,2446.5874,2405.4631,525.14325
2387.0322,2430.1077,2383.3052,525.84204
2425.8855,2427.6633,2398.4724,526.52014
2398.8787,2434.079,2445.6138,526.77277
2421.4678,2437.3604,2407.7588,527.4596
2408.3853,2445.6257,2409.905,528.03033
2395.8962,2448.4937,2397.367,528.4835
2398.794,2434.6123,2398.8706,528.522
2432.417,2430.8425,2401.6853,528.4094
2414.4368,2438.682,2436.7354,528.07196
2439.7393,2438.0503,2408.4417,527.8394
2408.9688,2438.6824,2421.107,527.503
