gamma_result,ref,TiDE_pred,LP
400.0,436.1014,400.0,533.8514
527.03894,904.84973,527.03894,533.85516
1636.7411,1296.6033,1636.7411,533.8588
1931.1465,1724.6505,1931.1465,533.8624
2160.7388,2031.7224,2160.7388,533.86597
2269.5132,2179.6394,2269.5132,533.86945
2336.47,2259.3264,2336.47,533.87286
2374.6755,2304.328,2374.6755,533.8762
2381.918,2328.151,2381.918,533.87946
2381.277,2345.0537,2381.277,533.8827
2416.4507,2353.3801,2416.4507,533.8858
2421.8704,2364.7876,2421.8704,533.88885
2404.87,2374.808,2404.87,533.89185
2425.262,2376.4321,2425.262,533.8948
2402.5525,2376.8855,2402.5525,533.8976
2418.202,2378.781,2418.202,533.9004
2421.4087,2378.5881,2421.4087,533.9031
2427.5913,2385.5457,2427.5913,533.90576
2416.8142,2388.5427,2416.8142,533.9083
2431.0027,2394.758,2431.0027,533.9108
2422.4458,2396.0295,2422.4458,533.91327
2429.3787,2402.6467,2429.3787,533.91565
2424.6934,2403.5508,2424.6934,533.91797
2437.1133,2406.3135,2437.1133,533.9202
2437.2246,2409.7815,2437.2246,533.92236
2450.9885,2413.1658,2450.9885,533.9245
2455.1326,2417.323,2455.1326,533.9265
2458.9065,2424.4392,2458.9065,533.9285
2466.3904,2427.462,2466.3904,533.9304
2470.527,2436.1484,2470.527,533.93225
2483.2402,2428.472,2483.2402,533.934
2476.5933,2427.2568,2476.5933,533.9357
2439.582,2424.3447,2439.582,533.9374
2448.326,2416.6423,2448.326,533.93896
2459.8176,2423.3088,2459.8176,533.9404
2456.1516,2426.1687,2456.1516,533.9419
2455.4207,2432.034,2455.4207,533.9433
2472.8494,2433.934,2472.8494,533.9446
2475.8997,2433.878,2475.8997,533.94586
2461.6338,2434.2937,2461.6338,533.947
2463.613,2429.2527,2463.613,533.9482
2462.2917,2438.6719,2462.2917,533.9492
2480.5916,2431.586,2480.5916,533.9502
2478.8464,2429.5608,2478.8464,533.9511
2469.3645,2428.8542,2469.3645,533.952
2462.0288,2418.3218,2462.0288,533.9528
2463.7249,2429.5063,2463.7249,533.95355
2467.4834,2432.6616,2467.4834,533.9542
2474.8828,2436.885,2474.8828,533.95483
2468.096,2442.2893,2468.096,529.57324
2468.096,2442.2476,2480.757,529.57324
2453.9668,2444.7808,2495.4004,522.5158
2432.5984,2442.02,2489.5356,517.74817
2385.6162,2444.0645,2460.5474,517.4796
2398.9875,2447.282,2425.9722,518.459
2407.0256,2443.4712,2445.801,518.9051
2407.71,2447.7666,2460.1028,519.24744
2375.6282,2449.3984,2450.978,520.0902
2399.379,2445.4634,2407.465,521.52924
2416.2708,2450.6638,2432.9932,522.31604
2404.5444,2437.4905,2458.7922,522.0182
2404.7998,2429.3916,2439.1768,522.39734
2416.3076,2428.936,2421.783,523.69556
2375.0017,2431.435,2432.7627,524.55225
2400.0518,2442.8704,2398.8372,527.158
2422.0247,2447.9314,2429.2632,527.8326
2418.6133,2451.6182,2456.003,527.2489
2439.9673,2439.6816,2440.225,527.09576
2437.4553,2440.2856,2441.8428,527.0323
2434.365,2430.5598,2434.558,527.02576
2427.8865,2425.2212,2434.4912,527.0345
2435.8892,2431.8953,2428.0403,528.05347
2436.7927,2433.1746,2439.684,527.8399
2449.298,2441.6252,2438.3667,527.9605
2444.6067,2441.0542,2443.6938,527.7694
2437.2634,2439.5703,2435.74,528.05554
2444.6536,2437.6592,2431.171,528.39905
2444.2012,2432.2517,2440.27,527.6764
2451.348,2435.485,2440.3386,526.8604
2455.4824,2430.5825,2443.6238,525.7405
2441.7407,2426.8354,2441.496,524.7761
2398.1882,2426.8591,2426.267,524.45844
2405.206,2426.3745,2390.487,524.823
2421.7385,2427.7341,2410.2915,524.9629
2417.185,2431.8162,2438.5457,524.1402
2434.8513,2430.0254,2429.2544,524.0604
2426.4873,2427.364,2429.6277,524.27844
2422.4475,2426.9404,2417.6755,524.85565
2420.0789,2426.1204,2420.7666,525.0405
2422.826,2427.3308,2423.8245,525.1133
2421.047,2431.136,2429.0513,525.01483
2431.4514,2433.6274,2425.207,525.1224
2423.5872,2432.3218,2431.6252,525.28265
2425.351,2434.1963,2424.7,525.6924
2420.5867,2433.3525,2428.983,524.3642
2419.1338,2433.5981,2426.1016,523.2753
2411.7349,2438.6343,2423.6055,522.222
2425.7473,2435.9429,2423.9526,523.7536
2413.336,2436.2744,2434.0068,522.3262
2412.921,2433.9575,2425.0928,521.5223
2401.6252,2430.9404,2426.1885,520.6409
2412.0894,2431.023,2420.9492,522.6236
2408.4302,2432.1694,2432.5542,523.745
2425.5425,2438.2512,2427.7766,524.4062
2416.8857,2438.4463,2440.1545,524.5747
2423.5007,2437.4136,2433.671,526.8236
2416.6875,2436.1648,2435.1536,526.94037
2433.362,2429.856,2428.3086,527.75696
2427.2427,2431.6313,2440.6123,528.05
2442.4294,2439.1763,2433.1094,528.72394
2446.0657,2439.602,2441.126,529.0285
2429.955,2441.2168,2442.4744,528.8755
2448.196,2439.3958,2427.9207,528.8013
2445.021,2434.222,2444.1384,527.7743
2447.337,2433.1284,2442.702,526.84766
2450.8318,2440.051,2442.0503,526.11395
2459.508,2427.6172,2440.8406,525.5382
2418.005,2435.7188,2451.3804,525.27185
2432.6995,2442.0146,2417.4248,527.54236
2446.2786,2448.618,2434.6086,528.19165
2429.1736,2456.4565,2455.5876,527.54767
2434.8274,2455.7466,2439.0146,526.6078
2436.2942,2450.277,2435.243,525.50714
2447.0317,2437.813,2438.9934,524.7781
2424.5386,2445.6675,2455.9526,524.58453
2435.3572,2454.8074,2434.5242,525.06104
2422.8882,2464.897,2442.1265,525.8864
2438.1948,2478.561,2438.2534,527.15704
2446.965,2470.618,2450.824,526.5798
2432.9495,2469.4822,2456.5342,525.6983
2427.4172,2454.0962,2442.6018,525.90546
2441.5188,2455.9873,2436.192,527.48315
2439.6284,2456.4294,2450.3245,528.4281
2455.2927,2458.1707,2452.4397,530.18225
2457.0227,2472.2773,2460.258,532.1382
2485.4753,2470.352,2455.686,534.0799
2486.1526,2485.9873,2474.2236,534.1276
2528.1003,2482.9207,2471.1667,534.0168
2508.0742,2469.2766,2504.4397,530.41504
2453.1616,2470.0754,2474.901,529.4089
2448.3167,2452.6077,2421.0999,531.2121
2472.4097,2449.6294,2423.5247,529.8735
2452.9688,2460.1946,2473.939,528.5572
2446.9983,2444.7388,2461.6504,528.685
2422.4282,2445.6028,2440.4001,528.3655
2370.2385,2422.6028,2467.7534,518.4946
2346.6477,2424.1956,2463.5325,510.28012
2339.1074,2423.2349,2461.0056,505.47287
2414.7522,2448.1445,2387.8936,513.5135
2440.9062,2485.166,2468.5596,518.7235
2439.274,2492.3984,2477.7156,523.3045
2450.6184,2517.8757,2451.7463,530.9962
2482.336,2512.2888,2461.7642,536.835
2524.34,2516.164,2502.2146,538.03735
2523.5042,2509.0183,2541.423,536.1646
2592.4868,2510.4688,2519.304,535.989
2533.7651,2512.9912,2555.2795,533.8101
2526.058,2509.595,2498.3142,534.91705
2525.1182,2514.9766,2495.8262,535.67737
2511.4136,2510.714,2507.6833,534.9342
2512.602,2493.6714,2506.7263,533.5243
2506.8455,2485.154,2499.2014,532.6936
2496.9067,2472.584,2483.6924,532.68726
2503.4714,2465.5137,2477.6853,533.4292
2499.9656,2479.7505,2494.97,533.3825
2487.4956,2481.901,2496.5056,533.3288
2499.392,2480.7703,2478.0425,533.7013
2503.9348,2480.9265,2484.5164,533.72156
2515.7678,2464.3687,2487.6714,533.3654
2470.8567,2460.8145,2505.2458,532.8048
2493.1697,2469.308,2459.4158,533.8857
2475.4602,2471.9585,2483.689,533.67334
2486.5386,2472.0994,2480.0068,533.4554
2487.7004,2467.4353,2485.7283,532.5144
2494.5461,2466.9448,2487.856,531.77856
2448.028,2458.6802,2496.1428,531.2591
2445.85,2466.7556,2449.5,531.3918
2472.7131,2469.0693,2457.2163,531.18353
2470.868,2456.3284,2488.656,529.20526
2476.7234,2451.1492,2491.6377,527.8162
2472.8638,2444.5981,2478.279,526.9052
2432.4404,2426.6294,2463.705,525.6752
2416.969,2433.4536,2438.7295,525.80743
2442.2874,2439.3306,2433.15,526.2336
2425.137,2445.7153,2475.4995,524.33746
2445.528,2449.1836,2455.4268,523.75146
2447.1128,2447.3425,2458.8542,523.19336
2405.906,2433.507,2455.112,522.8606
2397.1772,2428.6682,2417.7788,524.0034
2411.6162,2437.5193,2459.332,518.39246
2389.861,2443.005,2436.064,519.64325
2402.7466,2454.9368,2463.0935,514.9949
2387.4592,2457.4285,2461.0198,510.96738
2342.1936,2452.8877,2458.922,506.24445
2354.9531,2453.215,2453.5574,500.82617
2356.7234,2454.3652,2453.0186,496.40845
2346.5503,2457.2017,2451.7017,492.42618
2339.9487,2458.798,2449.7188,487.7939
2345.7979,2455.3096,2372.6282,491.73465
2305.0952,2447.2324,2444.0952,486.07916
2292.304,2443.2837,2440.3142,480.83224
2288.506,2447.9644,2436.319,475.95795
2275.1692,2453.0798,2433.8835,471.23395
2274.7847,2456.6123,2430.5627,466.35416
2258.9675,2456.7827,2425.7048,461.53888
2230.997,2450.0483,2418.2825,456.89508
2205.161,2446.31,2409.2974,454.41177
2182.165,2453.219,2398.7642,452.93375
2183.9187,2439.2383,2273.6477,463.33527
2231.7964,2443.9177,2295.314,478.7126
2260.4888,2442.4,2412.2263,472.86038
2262.7195,2436.9949,2410.4717,467.6003
2266.7954,2449.4502,2344.4934,478.86398
2247.7197,2449.055,2408.7192,471.76816
2268.474,2450.8157,2321.9956,484.555
2299.6592,2441.3623,2357.6829,491.2783
2309.4568,2441.8389,2389.8748,494.47412
2294.3308,2436.1465,2429.6875,481.6397
2280.3086,2430.9634,2346.3613,489.03427
2324.6853,2434.3674,2331.6785,501.92465
2348.8218,2436.1836,2400.76,507.1264
2331.5105,2428.3184,2453.6885,489.0008
2348.7083,2429.8135,2375.9937,500.59286
2356.3933,2428.235,2377.7495,509.28375
2369.0044,2427.3054,2402.5847,514.81036
2354.944,2436.5364,2464.4312,494.04272
2351.7222,2439.4749,2391.5078,503.1108
2381.494,2433.0012,2384.6143,509.76254
2318.0098,2430.0059,2367.4492,462.2072
2282.5515,2421.5498,2323.657,480.45703
2284.2573,2418.055,2299.7146,492.28867
2334.9404,2423.5542,2333.5667,500.6712
2339.8552,2426.599,2416.9414,499.85074
2372.7993,2424.2449,2406.5518,503.67496
2354.613,2424.814,2410.317,505.7808
2296.6099,2424.5835,2333.7852,476.30325
2283.7756,2423.7595,2304.9026,486.5712
2311.5464,2433.4866,2319.781,495.00305
2332.0037,2435.8108,2377.6238,498.9521
2364.0217,2431.1194,2396.3552,502.2339
2362.7568,2433.2808,2398.7444,505.09335
2343.6462,2434.9895,2372.4006,507.82202
2264.146,2436.037,2323.9731,453.57834
2214.9077,2444.567,2270.9817,468.4858
2246.1055,2444.0725,2250.725,481.62405
2218.2122,2433.8667,2293.9795,437.591
2189.1318,2431.207,2280.5618,452.52698
2111.6333,2429.7622,2240.4885,409.56677
2065.8352,2427.743,2175.7969,429.68326
2115.1787,2436.2783,2173.4072,446.61737
2160.9236,2442.0398,2255.4885,459.4452
2185.3306,2442.3425,2308.1423,467.4914
2231.6611,2441.7864,2296.9512,474.0584
2254.2556,2441.0315,2314.1975,483.64716
2268.6099,2434.7083,2339.7969,490.71326
2288.109,2432.3738,2356.0952,489.73743
2294.3967,2438.541,2367.1304,489.06418
2326.1943,2438.169,2359.5107,493.68274
2335.843,2438.4084,2378.3694,496.86923
2254.745,2445.272,2432.7537,471.68344
2258.243,2440.524,2274.2659,485.4541
2308.9614,2438.8105,2303.391,496.4167
2331.275,2447.2825,2382.6128,499.94025
2369.6743,2442.3296,2399.479,501.3816
2359.2024,2442.0942,2399.9517,502.99036
2357.7898,2445.694,2368.0112,512.78754
2366.9355,2448.5676,2377.3008,520.5405
2393.027,2464.7908,2415.6157,525.5721
2411.5984,2483.888,2453.9473,528.15753
2416.4033,2501.7727,2460.1958,531.30975
2429.0403,2497.5261,2446.125,535.1021
2463.1125,2497.6768,2457.3347,536.5028
2454.16,2485.988,2504.8074,531.87036
2465.1384,2484.268,2492.1858,528.9489
2451.0322,2488.0984,2478.7349,527.73596
2430.9314,2481.3552,2452.7488,528.3283
2428.9421,2477.4268,2433.181,530.0073
2448.3633,2467.1443,2445.3657,528.7224
2436.5212,2460.5474,2478.561,525.63794
2434.7761,2461.5203,2466.9412,524.20496
2436.4778,2461.9758,2452.403,525.26855
2428.9998,2465.6487,2452.744,526.5698
2437.7493,2467.4495,2455.4258,528.6804
2473.944,2470.344,2473.7156,529.8981
2452.3591,2470.7837,2504.9014,527.54816
2482.6592,2481.614,2485.7642,530.2481
2461.9495,2498.6453,2495.7837,531.83685
2503.2656,2511.1182,2473.2024,535.7412
2480.3733,2521.698,2510.4822,535.9291
2482.5723,2525.474,2488.1204,515.0074
2439.49,2520.9783,2452.4094,522.5615
2454.1055,2511.344,2415.481,531.79614
2468.3218,2511.9363,2442.0542,538.10565
2470.1074,2508.083,2468.1697,545.67957
2494.2566,2511.2954,2475.4897,550.94604
2566.3645,2519.028,2485.4993,549.8247
2531.9338,2511.485,2525.5796,541.8844
2540.3865,2490.6396,2494.1008,538.3194
2485.2725,2467.8242,2483.913,533.8421
2450.9397,2438.0698,2441.894,534.50433
2415.1475,2438.0085,2435.7627,536.9869
2466.652,2458.1045,2427.5208,541.82404
2537.6484,2476.8262,2490.3887,542.2576
2589.4082,2496.1704,2545.453,539.0381
2509.6755,2507.654,2561.897,536.2718
2524.4583,2513.372,2515.2668,531.53143
2506.262,2519.1787,2487.9558,538.48285
2563.0088,2538.3977,2507.849,543.4272
2554.006,2547.3323,2571.7651,542.0084
2615.6792,2545.7517,2545.8909,542.13196
2558.797,2543.2874,2576.1638,539.299
2572.1477,2538.6372,2522.9087,541.0332
2556.1094,2531.4243,2546.4539,540.31946
2580.8845,2535.8372,2541.0085,540.0114
2549.6792,2538.8813,2568.286,538.74536
2590.2336,2532.3958,2534.4927,540.54865
2548.4438,2527.824,2560.634,539.9162
2548.359,2522.9695,2527.3257,540.7529
2518.8298,2519.3726,2534.5227,541.4821
2571.0461,2523.3901,2514.2495,543.1057
2552.773,2527.0544,2581.4094,541.5679
2596.8584,2523.6492,2548.789,542.3098
2554.4495,2517.2695,2574.149,541.8798
2543.3667,2510.8906,2532.449,542.8878
2519.5283,2503.4734,2523.5337,543.5063
2577.7222,2503.3464,2521.351,544.5348
2549.3113,2505.9004,2575.2236,543.4411
2583.5408,2500.0918,2550.9646,543.60675
2558.3726,2497.7554,2562.5232,545.34235
2546.5332,2493.9238,2541.6226,545.7151
2523.6628,2494.1465,2533.7825,546.4239
2589.7825,2498.4724,2532.469,548.101
2546.1423,2500.0688,2599.1016,544.50464
2586.3262,2496.23,2548.1846,546.9223
2550.6287,2487.5552,2560.5244,546.6295
2571.0176,2478.8765,2541.6091,548.0212
2553.7942,2472.7153,2574.8794,550.46375
2584.2605,2468.658,2555.2542,549.2141
2559.442,2474.6772,2586.9724,545.3891
2594.0486,2470.0127,2551.7065,545.30347
2545.5894,2466.7854,2581.0798,541.86334
2581.823,2459.2375,2539.092,547.2814
2547.4663,2449.1301,2587.5276,542.43054
2555.3132,2448.163,2557.0164,540.10455
2518.234,2450.194,2542.791,542.0069
2573.6812,2447.7988,2515.8118,544.95105
2544.84,2450.5376,2578.97,541.8414
2544.0896,2446.6248,2560.3105,539.9418
2510.6287,2446.893,2554.059,538.833
2556.0396,2452.5151,2519.0554,540.8264
2525.398,2452.8093,2569.006,539.6182
2552.5117,2453.1267,2549.7573,538.4851
2531.3328,2453.2043,2562.214,539.20667
2530.5674,2450.109,2544.1492,537.37024
2496.842,2447.0007,2546.36,538.1399
2543.524,2446.7307,2520.547,539.20953
2512.5562,2448.8777,2569.1592,536.20776
2550.2869,2444.6953,2541.0073,536.48004
2521.9841,2442.05,2566.0088,533.00354
2499.5835,2439.1985,2534.2368,533.4647
2473.0938,2436.6008,2519.4966,533.76276
2479.3555,2438.2983,2505.8882,532.9107
2459.1274,2447.53,2521.9387,533.1624
2504.629,2450.1628,2508.3474,532.7538
2487.8745,2449.1943,2543.9146,530.0049
2479.0068,2449.521,2517.7356,529.82355
2443.8389,2445.3372,2502.6335,528.996
2477.9119,2445.1096,2469.8408,528.45044
2439.5603,2454.2134,2513.18,527.97174
2487.095,2458.7495,2481.8228,527.18286
2459.9941,2459.5513,2517.5935,525.91034
2431.149,2459.389,2481.7659,525.0952
2445.0923,2451.6484,2449.8762,525.272
2445.8992,2450.5798,2474.8413,524.5691
2419.522,2456.738,2488.0466,523.7021
2447.926,2458.0244,2452.0742,523.025
2419.1987,2458.5713,2471.2925,522.23047
2427.187,2451.7256,2440.6582,522.25195
2426.254,2444.3135,2453.5383,522.2375
2438.6833,2447.4556,2454.2512,522.37366
2415.6777,2454.4321,2467.1104,522.2164
2443.5706,2461.108,2435.344,524.3652
2422.2896,2462.466,2456.8118,524.9935
2444.9624,2456.0535,2437.9512,526.87115
2431.3398,2449.231,2463.2737,526.7496
2460.2397,2445.6555,2445.2725,527.09973
2424.5334,2452.725,2466.7136,526.85156
2461.644,2458.9827,2424.5347,528.2832
2460.6997,2459.3608,2457.471,528.4197
2457.9907,2456.3013,2459.8987,528.1576
2436.6963,2448.902,2455.9832,527.3312
2452.403,2443.6565,2426.1267,527.8049
2427.068,2447.7585,2443.157,527.6053
2458.0527,2451.9954,2427.4949,528.4991
2457.339,2451.7522,2455.9504,527.81384
2453.7617,2451.3108,2451.9583,527.3895
2434.5654,2446.1821,2446.4255,526.8529
2447.531,2444.8691,2422.616,526.49915
2419.8804,2447.7,2441.6985,525.6691
2446.7725,2451.0786,2423.7322,524.79047
2418.6707,2451.605,2450.8616,523.30255
2425.0872,2449.0454,2421.439,522.3179
2399.6384,2446.2166,2431.678,521.53406
2418.777,2443.945,2412.3315,521.24036
2393.6294,2444.9827,2441.237,521.5062
2424.29,2448.1123,2424.3213,521.84235
2401.4858,2448.072,2450.7834,521.72327
2420.8042,2447.112,2425.3137,522.3757
2415.5632,2453.7363,2446.1494,523.45447
2440.58,2460.7288,2442.6177,525.40344
2420.7822,2470.0417,2467.8914,526.78357
2458.0676,2480.5378,2444.616,528.59546
2466.2283,2477.4917,2473.9038,530.82153
2492.8728,2477.808,2478.8447,532.99506
2455.5896,2473.2024,2497.368,534.2301
2498.595,2478.7227,2456.9785,537.63
2480.4568,2483.129,2487.6968,537.3207
2525.059,2478.8281,2476.4893,537.13385
2489.8916,2474.777,2506.994,533.7384
2506.866,2459.9517,2461.653,533.6939
2480.5247,2454.4797,2472.5864,532.6343
2493.3347,2456.602,2453.2395,532.4005
2467.5403,2462.3857,2473.712,531.09326
2501.2766,2465.7495,2454.4731,530.8848
2470.211,2462.9382,2482.5222,528.5869
2483.6316,2454.3484,2452.2842,529.1481
2443.6953,2452.0742,2467.03,528.49927
2464.6907,2463.1523,2438.429,530.1481
2462.3252,2470.495,2467.2002,529.91815
2492.0974,2477.73,2473.1973,529.31586
2465.7976,2474.7634,2495.61,527.9643
2469.6653,2461.0234,2462.005,528.1446
2438.7825,2457.3481,2465.3066,528.2326
2464.2468,2463.847,2450.1943,528.8275
2457.3682,2473.5374,2482.9202,528.8438
2497.3884,2481.9707,2478.504,529.32623
2464.6304,2483.1033,2503.8098,528.72125
2477.9373,2480.1965,2463.3232,529.7767
2458.9373,2475.8716,2472.694,530.995
2493.5374,2479.3235,2465.9658,532.29016
2469.393,2478.7053,2499.2756,531.30347
2495.4368,2473.395,2469.0063,532.21234
2467.9197,2470.2317,2482.791,532.8973
2486.7402,2472.9424,2454.769,534.85547
2481.9915,2479.2498,2478.1272,536.0093
2511.945,2482.8848,2485.134,534.8856
2480.8848,2490.6274,2512.7195,531.44116
2462.6375,2487.2588,2464.602,532.06903
2484.6094,2481.7825,2439.327,532.8047
2498.2593,2481.5554,2476.3062,530.75824
2444.514,2472.0361,2510.8003,524.3356
2442.0454,2452.9802,2446.8198,522.30286
2398.0457,2440.556,2435.8982,521.83374
2350.337,2402.7388,2470.6477,512.1785
2326.4375,2403.6409,2468.6504,506.13672
2375.5022,2428.9016,2373.546,514.7195
2419.7354,2453.7227,2494.7566,512.9701
2429.5432,2501.7893,2508.1538,514.892
2431.8477,2520.495,2465.5198,523.8043
2485.5852,2526.7993,2458.3196,534.2908
2489.6306,2534.993,2515.5535,538.3319
2547.915,2549.721,2539.4172,537.2487
2516.1128,2555.1492,2563.7166,538.23755
2595.2922,2559.6245,2533.05,537.45667
2536.406,2556.5745,2572.8577,538.2152
2575.3228,2552.097,2533.3752,537.76953
2548.0334,2543.0269,2558.9167,537.5344
2588.1343,2540.1592,2543.3474,537.0408
2519.9001,2533.8938,2561.791,536.1696
2560.976,2524.1929,2522.8179,534.20667
2525.6614,2516.0525,2527.8535,540.3179
2531.908,2503.434,2527.625,539.639
2530.0046,2494.6333,2526.0615,540.3954
2575.4153,2491.5972,2523.1958,540.75775
2536.2085,2489.6775,2560.968,539.62305
2593.688,2479.4111,2516.1985,540.90027
2531.768,2476.5493,2560.2893,539.13074
2527.5063,2466.7427,2511.4873,538.6537
2514.1902,2463.5476,2515.4148,538.6761
2557.6973,2473.438,2516.6016,539.17255
2517.8425,2474.3237,2562.19,536.7106
2566.484,2469.8455,2522.91,538.71387
2521.954,2475.2642,2556.4575,540.7844
2528.244,2465.7202,2522.8213,543.15356
2532.7615,2463.448,2537.7205,545.73535
2591.2163,2473.2988,2548.4724,548.5041
2539.0496,2466.2375,2597.7683,549.0163
2603.825,2463.6814,2541.7708,549.913
2549.5254,2465.2961,2583.6165,544.3852
2574.4697,2454.4255,2538.3428,545.2256
2569.4575,2453.92,2569.328,543.1121
2581.6152,2458.9792,2563.5442,543.6157
2541.44,2453.5076,2570.2043,543.70483
2597.8923,2450.143,2527.4482,548.45874
2535.479,2454.0547,2584.285,544.66235
2568.2168,2450.1138,2530.1313,552.46686
2542.4053,2451.8296,2569.695,551.1672
2568.1147,2453.757,2544.1733,535.8224
2513.7822,2444.438,2559.155,535.3655
2545.24,2433.7366,2512.433,537.7058
2521.3296,2429.6162,2545.2324,537.39526
2544.7695,2424.1528,2537.7705,537.14435
2505.9304,2422.1711,2561.3572,535.83075
2525.6572,2424.8284,2523.3252,536.6313
2495.6082,2428.816,2540.2656,536.8275
2540.253,2426.061,2518.4883,544.82983
2503.6106,2426.2517,2571.2266,540.24316
2514.973,2416.5483,2538.4277,537.8744
2498.4194,2405.1296,2541.0857,539.0634
2543.3245,2407.9897,2524.8625,540.4613
2519.5273,2413.939,2571.3857,535.8762
2580.7375,2414.6492,2545.5808,537.0968
2507.5227,2417.939,2588.9824,533.27435
2495.1218,2408.303,2514.5063,536.0247
2484.5217,2405.0518,2506.0876,538.297
2538.5828,2414.1875,2513.2507,541.0415
2528.271,2428.3574,2580.6865,538.0633
2585.7969,2443.5793,2559.885,537.81775
2501.9792,2443.4238,2587.5461,531.00214
2484.8428,2440.8723,2492.775,532.5201
2461.2253,2426.203,2489.0002,532.385
2472.4026,2420.477,2494.1428,532.7418
2449.8132,2416.1165,2524.0107,532.4606
2476.055,2407.7334,2496.5378,530.2254
2434.9104,2413.7373,2503.3245,529.407
2405.424,2412.5461,2462.4124,527.24475
2405.331,2414.0767,2443.4019,525.48267
2404.5725,2423.0903,2456.7383,523.3826
2386.26,2419.7898,2465.883,520.92926
2406.062,2411.8315,2436.7678,519.52026
2397.3042,2410.8562,2442.512,517.79016
2366.7388,2400.028,2434.495,516.6356
2374.8123,2394.7388,2409.455,516.83307
2406.0303,2402.9175,2417.5522,517.29425
2377.6616,2418.4866,2452.5706,516.8146
2404.5476,2433.1123,2415.8628,519.2117
2369.6458,2445.1284,2460.1255,510.45343
2370.7544,2446.5874,2388.027,509.77887
2351.6963,2430.1077,2450.5383,499.6691
2338.305,2427.6633,2434.8289,490.85852
2313.1907,2434.079,2379.9314,478.35858
2296.251,2437.3604,2445.9988,468.64984
2282.6287,2445.6257,2323.3354,478.6942
2266.0342,2448.4937,2326.5396,489.01718
2289.202,2434.6123,2328.6245,499.11206
2332.1145,2430.8425,2358.4478,506.057
2346.789,2438.682,2399.1138,509.87216
2390.223,2438.0503,2402.4526,511.56277
