gamma_result,ref,TiDE_pred,LP
400.0,436.1014,400.0,533.8514
527.03894,904.84973,527.03894,533.85516
1636.7411,1296.6033,1636.7411,533.8588
1931.1465,1724.6505,1931.1465,533.8624
2160.7388,2031.7224,2160.7388,533.86597
2269.5132,2179.6394,2269.5132,533.86945
2336.47,2259.3264,2336.47,533.87286
2374.6755,2304.328,2374.6755,533.8762
2381.918,2328.151,2381.918,533.87946
2381.277,2345.0537,2381.277,533.8827
2416.4507,2353.3801,2416.4507,533.8858
2421.8704,2364.7876,2421.8704,533.88885
2404.87,2374.808,2404.87,533.89185
2425.262,2376.4321,2425.262,533.8948
2402.5525,2376.8855,2402.5525,533.8976
2418.202,2378.781,2418.202,533.9004
2421.4087,2378.5881,2421.4087,533.9031
2427.5913,2385.5457,2427.5913,533.90576
2416.8142,2388.5427,2416.8142,533.9083
2431.0027,2394.758,2431.0027,533.9108
2422.4458,2396.0295,2422.4458,533.91327
2429.3787,2402.6467,2429.3787,533.91565
2424.6934,2403.5508,2424.6934,533.91797
2437.1133,2406.3135,2437.1133,533.9202
2437.2246,2409.7815,2437.2246,533.92236
2450.9885,2413.1658,2450.9885,533.9245
2455.1326,2417.323,2455.1326,533.9265
2458.9065,2424.4392,2458.9065,533.9285
2466.3904,2427.462,2466.3904,533.9304
2470.527,2436.1484,2470.527,533.93225
2483.2402,2428.472,2483.2402,533.934
2476.5933,2427.2568,2476.5933,533.9357
2439.582,2424.3447,2439.582,533.9374
2448.326,2416.6423,2448.326,533.93896
2459.8176,2423.3088,2459.8176,533.9404
2456.1516,2426.1687,2456.1516,533.9419
2455.4207,2432.034,2455.4207,533.9433
2472.8494,2433.934,2472.8494,533.9446
2475.8997,2433.878,2475.8997,533.94586
2461.6338,2434.2937,2461.6338,533.947
2463.613,2429.2527,2463.613,533.9482
2462.2917,2438.6719,2462.2917,533.9492
2480.5916,2431.586,2480.5916,533.9502
2478.8464,2429.5608,2478.8464,533.9511
2469.3645,2428.8542,2469.3645,533.952
2462.0288,2418.3218,2462.0288,533.9528
2463.7249,2429.5063,2463.7249,533.95355
2467.4834,2432.6616,2467.4834,533.9542
2474.8828,2436.885,2474.8828,533.95483
2469.3486,2442.2893,2469.3486,532.44464
2469.3486,2442.2476,2480.186,532.44464
2464.7158,2444.7808,2491.9004,530.60004
2462.359,2442.02,2487.98,529.1581
2456.4768,2444.0645,2482.188,528.4796
2452.029,2447.282,2478.1104,528.00165
2464.4753,2443.4712,2474.2537,527.5871
2455.3633,2447.7666,2483.5732,527.1585
2411.979,2449.3984,2472.8271,526.9193
2414.2012,2445.4634,2430.2944,526.90283
2424.6545,2450.6638,2439.9194,526.835
2423.2139,2437.4905,2463.8499,526.58466
2444.3357,2429.3916,2461.1042,526.38763
2444.183,2428.936,2466.106,526.26294
2441.4114,2431.435,2457.2148,526.2049
2441.8225,2442.8704,2453.2993,526.20856
2444.2534,2447.9314,2457.5923,526.12354
2442.0308,2451.6182,2462.2068,525.9869
2453.8003,2439.6816,2457.3752,525.85394
2445.9536,2440.2856,2463.1902,525.7013
2412.222,2430.5598,2452.8445,525.5705
2417.6855,2425.2212,2418.9185,525.55865
2425.1328,2431.8953,2428.0444,525.4364
2424.5928,2433.1746,2449.0217,525.1607
2439.3362,2441.6252,2444.4358,524.92755
2442.3342,2441.0542,2445.275,524.7184
2448.5708,2439.5703,2442.4683,524.5306
2447.7495,2437.6592,2450.6387,524.2624
2439.8953,2432.2517,2449.589,524.0225
2436.7842,2435.485,2438.3115,523.8965
2448.695,2430.5825,2434.3328,523.70355
2438.4739,2426.8354,2446.4482,523.44495
2423.9807,2426.8591,2436.9521,523.195
2415.3699,2426.3745,2423.3086,523.046
2417.4863,2427.7341,2418.4868,522.988
2409.3818,2431.8162,2426.2178,522.92084
2425.4534,2430.0254,2419.6306,523.0173
2408.6255,2427.364,2430.4324,523.05963
2385.6094,2426.9404,2411.3767,523.22437
2400.385,2426.1204,2389.4272,523.343
2413.6267,2427.3308,2412.259,523.33386
2403.311,2431.136,2433.2212,523.27576
2425.112,2433.6274,2416.535,523.3462
2419.7646,2432.3218,2426.2979,523.4012
2416.838,2434.1963,2421.8193,523.4284
2412.7314,2433.3525,2424.4905,523.35913
2417.5583,2433.5981,2422.9678,523.27734
2412.3284,2438.6343,2430.5212,523.1933
2424.44,2435.9429,2427.1133,523.283
2415.153,2436.2744,2436.4556,523.27966
2417.1304,2433.9575,2428.2764,523.3103
2411.2166,2430.9404,2434.1958,523.27344
2419.5056,2431.023,2427.4924,522.621
2414.298,2432.1694,2434.9592,522.1771
2423.9124,2438.2512,2430.75,522.3648
2413.514,2438.4463,2434.07,522.26685
2414.1924,2437.4136,2424.0583,522.5885
2405.8032,2436.1648,2425.8147,522.59076
2415.714,2429.856,2418.9001,522.8503
2420.243,2431.6313,2426.955,523.0163
2429.898,2439.1763,2428.7634,523.1293
2432.1738,2439.602,2431.4758,523.3091
2407.073,2441.2168,2429.5479,523.4246
2407.1104,2439.3958,2405.1702,523.66956
2415.206,2434.222,2408.47,523.8637
2421.0947,2433.1284,2424.9604,523.94037
2430.9766,2440.051,2433.217,524.2725
2437.2256,2427.6172,2433.551,524.6991
2415.8792,2435.7188,2434.0051,525.1946
2435.0303,2442.0146,2416.3274,525.67285
2439.4497,2448.618,2437.5918,525.9153
2436.2224,2456.4565,2445.4495,526.0897
2449.7917,2455.7466,2438.2202,525.9992
2437.0256,2450.277,2443.839,525.9587
2444.641,2437.813,2435.3135,525.87885
2428.6042,2445.6675,2446.1614,525.7625
2438.5896,2454.8074,2436.3445,525.7878
2422.5042,2464.897,2444.2222,525.7057
2433.9746,2478.561,2432.084,525.56537
2426.0554,2470.618,2439.6895,525.1671
2404.6267,2469.4822,2436.99,525.2497
2417.7644,2454.0962,2423.8445,525.8875
2441.8237,2455.9873,2436.5232,526.48517
2434.7834,2456.4294,2460.44,527.1583
2449.896,2458.1707,2451.5017,527.9726
2445.4204,2472.2773,2453.863,528.7119
2466.9814,2470.352,2446.7703,529.4897
2459.9456,2485.9873,2465.9924,529.8909
2480.2717,2482.9207,2456.8906,530.4128
2489.9175,2469.2766,2464.8765,530.6073
2460.7175,2470.0754,2467.236,530.6074
2467.294,2452.6077,2439.308,531.456
2489.8816,2449.6294,2446.2961,532.0665
2472.4568,2460.1946,2478.6575,532.17114
2464.0325,2444.7388,2464.1543,532.5921
2443.9988,2445.6028,2444.3357,533.18964
2417.4075,2422.6028,2427.6584,533.7441
2399.527,2424.1956,2416.665,534.2478
2411.501,2423.2349,2413.6895,534.8761
2501.1716,2448.1445,2438.9075,535.53094
2532.0576,2485.166,2524.2734,535.7875
2523.2595,2492.3984,2532.7168,536.0509
2521.4087,2517.8757,2492.9885,537.2677
2516.8284,2512.2888,2483.7136,537.8445
2555.0554,2516.164,2499.0728,537.9818
2523.2168,2509.0183,2550.5874,537.5904
2570.4155,2510.4688,2513.5889,537.66736
2535.5066,2512.9912,2539.849,537.3648
2545.5037,2509.595,2505.1758,537.33875
2537.1775,2514.9766,2521.6216,537.0857
2545.2126,2510.714,2523.5642,536.8067
2536.1296,2493.6714,2535.2717,536.33014
2543.8723,2485.154,2520.7488,536.0356
2520.5486,2472.584,2523.6064,535.77966
2493.016,2465.5137,2504.5117,535.76654
2502.787,2479.7505,2487.0007,535.7739
2485.2173,2481.901,2510.5842,535.4984
2518.1335,2480.7703,2499.471,535.29614
2533.938,2480.9265,2524.372,534.92487
2515.6335,2464.3687,2520.9429,535.3954
2501.1414,2460.8145,2505.818,535.1865
2502.8262,2469.308,2494.1062,534.97614
2483.213,2471.9585,2507.605,534.714
2500.5325,2472.0994,2499.18,534.4389
2502.7815,2467.4353,2511.9856,534.1055
2502.6775,2466.9448,2510.5713,533.78094
2468.6895,2458.6802,2509.261,533.41565
2490.6936,2466.7556,2481.5269,532.9896
2470.2834,2469.0693,2506.3972,532.5346
2482.088,2456.3284,2494.7139,532.0059
2481.6785,2451.1492,2490.76,531.985
2483.823,2444.5981,2493.4731,531.529
2449.0652,2426.6294,2496.3955,531.17883
2463.6816,2433.4536,2466.3086,530.97095
2465.507,2439.3306,2486.0906,530.69934
2471.7673,2445.7153,2483.4282,531.0265
2480.3977,2449.1836,2483.6802,531.43115
2475.2993,2447.3425,2489.2917,531.3317
2442.456,2433.507,2475.8022,531.739
2439.713,2428.6682,2454.3687,531.71655
2462.11,2437.5193,2459.48,531.68085
2466.6792,2443.005,2483.806,532.0047
2482.1768,2454.9368,2483.9524,532.3377
2477.9565,2457.4285,2489.3508,532.33545
2450.1216,2452.8877,2478.6982,532.3552
2463.9907,2453.215,2454.7324,532.35754
2457.0203,2454.3652,2477.646,532.2792
2464.9153,2457.2017,2478.2466,532.1898
2479.3728,2458.798,2480.887,532.1175
2472.2305,2455.3096,2484.8948,532.0668
2431.5994,2447.2324,2476.392,532.05054
2434.9019,2443.2837,2439.3164,532.0757
2464.0486,2447.9644,2452.6733,531.9944
2459.612,2453.0798,2494.6328,531.7874
2468.9949,2456.6123,2484.9617,531.6853
2468.6687,2456.7827,2473.8767,531.61194
2427.6519,2450.0483,2469.7896,531.51556
2428.025,2446.31,2439.3818,531.464
2461.2517,2453.219,2449.264,531.40063
2459.0815,2439.2383,2491.7693,531.0075
2461.075,2443.9177,2481.937,530.8208
2459.55,2442.4,2460.6086,530.9118
2410.2683,2436.9949,2455.334,530.92706
2416.823,2449.4502,2419.4392,530.9347
2450.2446,2449.055,2438.2627,530.78644
2447.4902,2450.8157,2479.7866,530.38086
2439.358,2441.3623,2467.0178,530.1076
2443.073,2441.8389,2433.2063,530.2151
2405.88,2436.1465,2434.9272,530.11
2409.7239,2430.9634,2418.136,530.1333
2449.255,2434.3674,2430.3918,529.8785
2443.9558,2436.1836,2468.0017,529.4349
2439.9414,2428.3184,2451.659,528.98145
2436.9902,2429.8135,2427.3147,528.7282
2396.313,2428.235,2424.2473,528.4769
2403.222,2427.3054,2403.217,528.146
2432.806,2436.5364,2420.312,527.7697
2430.311,2439.4749,2448.1802,527.2945
2430.4216,2433.0012,2435.1653,526.9538
2417.065,2430.0059,2417.9126,526.7599
2379.659,2421.5498,2404.5972,526.61743
2388.033,2418.055,2384.3147,526.5266
2420.1836,2423.5542,2407.3242,526.43774
2422.0073,2426.599,2439.4414,526.3494
2428.1477,2424.2449,2429.9229,526.5071
2435.9712,2424.814,2417.9707,526.8701
2393.1023,2424.5835,2425.191,527.2799
2395.9055,2423.7595,2394.421,527.739
2433.9844,2433.4866,2404.9775,528.2845
2431.8232,2435.8108,2445.8652,528.6268
2434.4265,2431.1194,2437.6768,529.0074
2430.5205,2433.2808,2421.116,529.3399
2392.3137,2434.9895,2413.0813,529.48456
2399.259,2436.037,2391.1753,529.79156
2419.8892,2444.567,2409.6245,529.6937
2435.786,2444.0725,2430.3933,529.4872
2437.2268,2433.8667,2439.4534,529.1053
2442.0234,2431.207,2426.5713,528.7867
2390.5317,2429.7622,2426.5725,528.46246
2394.5703,2427.743,2385.8196,528.3403
2415.9177,2436.2783,2404.0266,528.145
2424.728,2442.0398,2433.7468,528.1041
2429.901,2442.3425,2441.0383,528.2059
2441.0652,2441.7864,2433.2295,528.46765
2400.6873,2441.0315,2440.086,528.9324
2412.7432,2434.7083,2412.4985,529.08246
2428.5344,2432.3738,2431.4563,529.2802
2437.6934,2438.541,2447.408,529.43115
2432.9033,2438.169,2451.2212,529.5618
2448.1987,2438.4084,2436.8525,529.8261
2415.1934,2445.272,2447.2944,530.04175
2438.5752,2440.524,2427.9473,530.4377
2476.8733,2438.8105,2452.577,530.6409
2458.0615,2447.2825,2480.9656,530.6089
2453.7212,2442.3296,2454.986,531.0379
2431.8328,2442.0942,2440.32,532.07263
2438.0752,2445.694,2422.8596,532.7609
2439.4517,2448.5676,2449.4775,533.0311
2456.4163,2464.7908,2455.994,533.33716
2460.6792,2483.888,2457.8096,533.78015
2478.5823,2501.7727,2452.039,534.4168
2461.4324,2497.5261,2466.6277,534.62354
2502.6536,2497.6768,2451.4473,534.9163
2480.6616,2485.988,2494.3284,534.4623
2500.356,2484.268,2469.2605,534.45197
2467.1792,2488.0984,2472.967,534.4218
2469.4277,2481.3552,2445.4805,534.90924
2451.6667,2477.4268,2456.8635,535.01337
2503.8638,2467.1443,2451.4773,535.0355
2468.601,2460.5474,2507.0713,534.273
2502.1028,2461.5203,2466.496,534.20544
2481.1313,2461.9758,2477.701,534.0313
2515.448,2465.6487,2463.4253,533.8981
2513.7776,2467.4495,2503.1704,533.4766
2520.2268,2470.344,2505.2708,533.3102
2491.871,2470.7837,2506.5718,533.5325
2538.9473,2481.614,2478.9788,534.50287
2514.9485,2498.6453,2519.961,534.9626
2548.3323,2511.1182,2508.7598,535.8249
2504.0413,2521.698,2533.2466,535.9373
2543.024,2525.474,2490.7173,537.39246
2507.1992,2520.9783,2520.578,537.6323
2561.0125,2511.344,2492.7983,538.3804
2545.9924,2511.9363,2535.8958,538.51624
2512.9443,2508.083,2517.478,538.94775
2509.2815,2511.2954,2481.4248,539.688
2550.2422,2519.028,2480.0864,540.39435
2514.6816,2511.485,2533.2424,539.9662
2536.5737,2490.6396,2503.576,539.8363
2490.9817,2467.8242,2508.9636,539.8948
2458.1487,2438.0698,2470.3818,540.2369
2448.4238,2438.0085,2455.4924,540.69037
2484.004,2458.1045,2465.985,541.32776
2560.4495,2476.8262,2512.9111,541.7751
2578.5645,2496.1704,2579.5552,542.03314
2529.0881,2507.654,2568.1604,542.615
2566.548,2513.372,2501.8103,543.7146
2548.4058,2519.1787,2544.5544,543.9655
2610.86,2538.3977,2553.4536,544.10956
2560.506,2547.3323,2609.6345,543.7679
2621.3127,2545.7517,2546.634,544.1473
2579.9153,2543.2874,2584.7192,543.86084
2600.395,2538.6372,2552.7385,543.84326
2577.693,2531.4243,2580.267,543.50006
2614.2832,2535.8372,2563.0034,543.5154
2575.8293,2538.8813,2594.2566,543.3326
2617.439,2532.3958,2552.9578,543.63477
2569.2334,2527.824,2586.2842,543.9259
2568.222,2522.9695,2547.0723,544.5087
2551.8818,2519.3726,2553.635,545.2767
2608.139,2523.3901,2545.8816,546.16254
2564.7268,2527.0544,2600.7327,546.75385
2605.2695,2523.6492,2551.5605,547.50116
2561.748,2517.2695,2575.3274,548.0615
2613.1187,2510.8906,2547.5764,547.95276
2581.984,2503.4734,2598.2964,548.60223
2608.8655,2503.3464,2571.6306,549.45087
2590.298,2505.9004,2585.4353,550.0318
2630.8481,2500.0918,2561.9873,550.5222
2593.4514,2497.7554,2601.2786,551.2931
2635.8843,2493.9238,2570.7954,552.03644
2574.7449,2494.1465,2612.8472,552.60504
2625.3926,2498.4724,2566.3733,552.4398
2579.507,2500.0688,2600.2747,553.1403
2631.328,2496.23,2574.5217,552.78687
2592.6162,2487.5552,2612.9148,553.19714
2617.7341,2478.8765,2590.748,552.75745
2583.3003,2472.7153,2611.0935,551.74243
2611.7437,2468.658,2579.6936,551.43085
2578.3877,2474.6772,2605.3438,549.2463
2617.4958,2470.0127,2578.6096,547.7056
2572.0325,2466.7854,2602.5952,549.40967
2580.7854,2459.2375,2576.0723,547.90186
2559.4731,2449.1301,2583.8506,546.52527
2596.3545,2448.163,2571.145,545.0073
2561.2585,2450.194,2595.1716,546.4428
2594.8157,2447.7988,2574.9084,545.45416
2553.1462,2450.5376,2584.8,547.03345
2551.014,2446.6248,2564.4407,545.74066
2521.2336,2446.893,2566.6477,544.8199
2581.6467,2452.5151,2548.5115,543.8855
2546.493,2452.8093,2595.8508,545.63904
2581.7996,2453.1267,2575.9312,544.41907
2556.4421,2453.2043,2589.0066,542.79224
2565.4382,2450.109,2564.201,541.7777
2521.6016,2447.0007,2579.4485,540.28516
2544.7844,2446.7307,2546.0974,539.4412
2512.9424,2448.8777,2570.5874,537.8567
2552.845,2444.6953,2546.7988,537.0315
2523.7012,2442.05,2578.902,535.36176
2520.7659,2439.1985,2551.8733,534.53235
2490.9893,2436.6008,2548.0327,533.72064
2525.4304,2438.2983,2526.7913,532.9111
2487.1482,2447.53,2562.5315,531.552
2521.3635,2450.1628,2533.5442,530.7159
2480.6262,2449.1943,2553.366,529.52124
2484.4094,2449.521,2515.6272,528.8744
2446.7634,2445.3372,2522.5376,528.08746
2475.0522,2445.1096,2495.543,527.77454
2441.7964,2454.2134,2525.517,526.88727
2475.9006,2458.7495,2494.2332,526.4846
2447.629,2459.5513,2516.4163,525.9603
2469.9993,2459.389,2489.9055,525.3824
2436.2627,2451.6484,2509.5771,525.2201
2449.0325,2450.5798,2478.676,524.9757
2429.7668,2456.738,2489.1182,524.702
2460.8882,2458.0244,2469.0337,524.50653
2433.1729,2458.5713,2500.4626,524.21796
2455.8335,2451.7256,2466.5984,524.0902
2429.9524,2444.3135,2485.7344,523.8793
2444.4883,2447.4556,2454.5586,523.81604
2421.1985,2454.4321,2470.153,523.64716
2448.977,2461.108,2442.2937,523.8833
2419.7932,2462.466,2470.886,523.7679
2431.2925,2456.0535,2438.1526,524.1221
2435.254,2449.231,2448.621,524.2999
2444.1301,2445.6555,2453.4915,524.4539
2420.3333,2452.725,2459.825,524.5435
2450.8567,2458.9827,2427.0708,524.82355
2438.3484,2459.3608,2454.8882,524.89264
2447.4512,2456.3013,2445.3875,524.9869
2437.852,2448.902,2453.6523,524.9874
2447.572,2443.6565,2439.4346,525.0808
2415.8762,2447.7585,2448.566,525.1514
2448.4873,2451.9954,2414.8918,525.32965
2422.2668,2451.7522,2451.5413,525.42883
2440.833,2451.3108,2428.064,525.673
2428.7913,2446.1821,2445.8396,525.76624
2450.0554,2444.8691,2430.9255,525.81934
2418.5176,2447.7,2453.279,525.7379
2446.1323,2451.0786,2418.5925,525.41644
2426.3691,2451.605,2446.7935,525.21173
2440.703,2449.0454,2431.692,524.9272
2415.1995,2446.2166,2448.7812,524.70465
2439.0334,2443.945,2422.2603,524.5647
2412.477,2444.9827,2450.2139,524.6239
2436.421,2448.1123,2429.5112,524.667
2418.9197,2448.072,2452.786,524.74634
2429.0295,2447.112,2436.2188,524.7983
2422.5444,2453.7363,2446.6958,524.9912
2448.092,2460.7288,2439.908,525.1332
2419.435,2470.0417,2464.456,525.1263
2450.7874,2480.5378,2436.1653,525.4119
2431.3228,2477.4917,2459.9036,525.9552
2448.1577,2477.808,2443.2976,526.93567
2418.795,2473.2024,2457.0117,527.4097
2448.4556,2478.7227,2426.7021,528.323
2426.791,2483.129,2453.9255,528.5013
2464.2852,2478.8281,2434.5955,528.6549
2445.077,2474.777,2464.2349,528.4732
2459.4302,2459.9517,2439.6406,528.50934
2432.1978,2454.4797,2449.5857,528.3466
2464.7415,2456.602,2420.9712,528.49817
2446.1235,2462.3857,2459.8757,528.1651
2470.483,2465.7495,2445.998,527.9691
2445.1243,2462.9382,2463.5776,527.95605
2458.4917,2454.3484,2433.2273,528.10944
2432.0303,2452.0742,2451.506,528.3233
2459.895,2463.1523,2432.4102,528.6449
2454.543,2470.495,2462.12,528.6689
2491.2231,2477.73,2460.036,528.91156
2467.227,2474.7634,2487.5864,529.0748
2482.872,2461.0234,2459.8003,529.17914
2466.334,2457.3481,2473.062,529.092
2477.1577,2463.847,2465.2263,529.08124
2443.187,2473.5374,2477.7092,529.13806
2458.3562,2481.9707,2448.9976,528.6641
2440.7126,2483.1033,2461.7761,528.47565
2456.3796,2480.1965,2452.4773,528.5369
2432.9583,2475.8716,2469.0457,528.60034
2468.0386,2479.3235,2449.3845,529.08984
2453.3267,2478.7053,2475.6533,529.3862
2487.3816,2473.395,2464.5757,530.03546
2458.0686,2470.2317,2487.6873,530.6749
2462.5903,2472.9424,2457.4421,531.68085
2470.6875,2479.2498,2459.2292,532.7243
2513.0615,2482.8848,2469.7698,533.51624
2485.2834,2490.6274,2507.2966,533.72235
2470.1956,2487.2588,2470.8464,534.26697
2482.491,2481.7825,2447.1785,535.2045
2520.9377,2481.5554,2467.8992,535.9025
2482.946,2472.0361,2514.648,535.7623
2506.9646,2452.9802,2476.516,536.17
2455.1294,2440.556,2488.6836,537.047
2427.6028,2402.7388,2449.3213,538.3652
2415.5764,2403.6409,2438.871,539.8284
2487.544,2428.9016,2446.8245,541.5466
2527.7053,2453.7227,2526.4639,543.0007
2560.097,2501.7893,2554.2786,543.89716
2548.9026,2520.495,2550.6667,545.19855
2589.4277,2526.7993,2520.0742,546.75885
2565.879,2534.993,2563.281,547.5143
2626.729,2549.721,2557.5225,548.55237
2573.443,2555.1492,2604.4768,548.2847
2655.668,2559.6245,2551.815,548.98395
2607.035,2556.5745,2608.9617,548.4226
2643.8625,2552.097,2573.057,548.72833
2609.823,2543.0269,2604.8025,548.23004
2645.3757,2540.1592,2578.0063,548.2341
2590.7788,2533.8938,2608.5862,547.2313
2652.6543,2524.1929,2563.2717,547.16034
2590.2576,2516.0525,2614.8796,545.90466
2628.8306,2503.434,2568.7234,545.4191
2567.8577,2494.6333,2602.0237,543.68994
2590.0083,2491.5972,2555.0884,543.33105
2548.069,2489.6775,2576.4817,541.8621
2601.32,2479.4111,2548.4768,541.6024
2542.1213,2476.5493,2595.229,540.0032
2542.024,2466.7427,2547.6895,539.3562
2536.8308,2463.5476,2547.986,538.6813
2570.5728,2473.438,2552.287,538.0471
2536.688,2474.3237,2588.504,536.6957
2584.9478,2469.8455,2556.8926,535.8202
2498.155,2475.2642,2584.5137,534.74207
2494.133,2465.7202,2519.6868,535.0949
2481.6748,2463.448,2527.6572,535.3195
2498.0017,2473.2988,2535.9963,535.3835
2476.0896,2466.2375,2556.7498,535.29395
2497.044,2463.6814,2527.9287,535.8705
2472.3833,2465.2961,2533.0454,536.2784
2513.5564,2454.4255,2514.8862,536.7017
2484.1677,2453.92,2554.386,535.9245
2504.6829,2458.9792,2527.3452,536.26825
2479.933,2453.5076,2533.7695,535.8073
2494.954,2450.143,2506.6921,536.2891
2473.1392,2454.0547,2521.169,536.62634
2507.174,2450.1138,2506.8596,536.9617
2477.6582,2451.8296,2540.883,535.7267
2493.5303,2453.757,2508.4512,535.42413
2467.7349,2444.438,2513.9436,534.578
2502.6267,2433.7366,2489.1462,533.88885
2470.6152,2429.6162,2525.516,532.9409
2457.4976,2424.1528,2498.493,532.18805
2460.2844,2422.1711,2482.579,532.02936
2487.5154,2424.8284,2486.9307,531.84485
2448.5361,2428.816,2523.0403,530.3088
2477.6594,2426.061,2481.1506,530.4519
2444.6575,2426.2517,2498.6008,530.59503
2422.6558,2416.5483,2476.3972,530.55054
2440.8843,2405.1296,2461.1238,530.58105
2454.8284,2407.9897,2483.4314,530.7139
2443.1653,2413.939,2501.5574,530.6881
2467.5657,2414.6492,2479.9866,530.6521
2431.309,2417.939,2489.8206,530.49335
2414.197,2408.303,2453.5303,530.2304
2436.6172,2405.0518,2441.7314,529.8643
2451.177,2414.1875,2471.8384,529.59894
2431.9392,2428.3574,2488.9292,529.2093
2456.7134,2443.5793,2453.4783,528.96564
2442.5002,2443.4238,2465.0513,528.6342
2433.6316,2440.8723,2454.8477,528.27936
2423.9973,2426.203,2451.2178,527.8015
2420.1821,2420.477,2435.861,527.1911
2409.345,2416.1165,2433.15,526.4558
2425.1982,2407.7334,2424.4626,525.7323
2410.8433,2413.7373,2438.6538,524.93
2377.2876,2412.5461,2424.4922,524.22577
2389.9348,2414.0767,2390.7593,523.79895
2421.9417,2423.0903,2404.7861,523.3923
2405.154,2419.7898,2444.716,523.02386
2422.0315,2411.8315,2423.6475,522.9011
2405.9995,2410.8562,2422.234,523.00665
2374.315,2400.028,2405.217,523.20996
2386.4578,2394.7388,2383.6797,523.40485
2420.3728,2402.9175,2404.3335,523.68567
2407.5562,2418.4866,2444.879,523.9464
2421.7073,2433.1123,2422.0762,524.35065
2408.4683,2445.1284,2415.949,524.858
2388.6042,2446.5874,2403.0332,525.4798
2388.169,2430.1077,2396.1196,526.02673
2426.099,2427.6633,2400.8853,526.6902
2399.8484,2434.079,2441.4736,527.0485
2420.981,2437.3604,2405.1064,527.66766
2407.1567,2445.6257,2410.5906,528.21545
2394.1128,2448.4937,2398.7737,528.647
2398.5388,2434.6123,2398.051,528.70496
2429.681,2430.8425,2400.6016,528.60223
2411.4534,2438.682,2437.741,526.85864
2439.397,2438.0503,2403.615,526.76996
