gamma_result,ref,TiDE_pred,LP
400.0,436.1014,400.0,533.8514
527.03894,904.84973,527.03894,533.85516
1636.7411,1296.6033,1636.7411,533.8588
1931.1465,1724.6505,1931.1465,533.8624
2160.7388,2031.7224,2160.7388,533.86597
2269.5132,2179.6394,2269.5132,533.86945
2336.47,2259.3264,2336.47,533.87286
2374.6755,2304.328,2374.6755,533.8762
2381.918,2328.151,2381.918,533.87946
2381.277,2345.0537,2381.277,533.8827
2416.4507,2353.3801,2416.4507,533.8858
2421.8704,2364.7876,2421.8704,533.88885
2404.87,2374.808,2404.87,533.89185
2425.262,2376.4321,2425.262,533.8948
2402.5525,2376.8855,2402.5525,533.8976
2418.202,2378.781,2418.202,533.9004
2421.4087,2378.5881,2421.4087,533.9031
2427.5913,2385.5457,2427.5913,533.90576
2416.8142,2388.5427,2416.8142,533.9083
2431.0027,2394.758,2431.0027,533.9108
2422.4458,2396.0295,2422.4458,533.91327
2429.3787,2402.6467,2429.3787,533.91565
2424.6934,2403.5508,2424.6934,533.91797
2437.1133,2406.3135,2437.1133,533.9202
2437.2246,2409.7815,2437.2246,533.92236
2450.9885,2413.1658,2450.9885,533.9245
2455.1326,2417.323,2455.1326,533.9265
2458.9065,2424.4392,2458.9065,533.9285
2466.3904,2427.462,2466.3904,533.9304
2470.527,2436.1484,2470.527,533.93225
2483.2402,2428.472,2483.2402,533.934
2476.5933,2427.2568,2476.5933,533.9357
2439.582,2424.3447,2439.582,533.9374
2448.326,2416.6423,2448.326,533.93896
2459.8176,2423.3088,2459.8176,533.9404
2456.1516,2426.1687,2456.1516,533.9419
2455.4207,2432.034,2455.4207,533.9433
2472.8494,2433.934,2472.8494,533.9446
2475.8997,2433.878,2475.8997,533.94586
2461.6338,2434.2937,2461.6338,533.947
2463.613,2429.2527,2463.613,533.9482
2462.2917,2438.6719,2462.2917,533.9492
2480.5916,2431.586,2480.5916,533.9502
2478.8464,2429.5608,2478.8464,533.9511
2469.3645,2428.8542,2469.3645,533.952
2462.0288,2418.3218,2462.0288,533.9528
2463.7249,2429.5063,2463.7249,533.95355
2467.4834,2432.6616,2467.4834,533.9542
2474.8828,2436.885,2474.8828,533.95483
2470.548,2442.2893,2470.548,533.2662
2470.548,2442.2476,2476.5293,533.2662
2473.2048,2444.7808,2485.3447,532.38495
2463.9617,2442.02,2489.7288,531.63617
2477.8264,2444.0645,2479.389,531.22186
2465.3801,2447.282,2490.906,530.80414
2485.3154,2443.4712,2478.7393,530.50446
2471.9736,2447.7666,2492.151,530.1796
2462.785,2449.3984,2478.541,529.9156
2463.5378,2445.4634,2470.1848,529.69275
2457.7083,2450.6638,2475.16,529.44995
2450.3916,2437.4905,2474.0825,529.2068
2462.0457,2429.3916,2465.974,529.0148
2458.761,2428.936,2474.6838,528.7913
2454.0342,2431.435,2471.3223,528.5824
2453.2493,2442.8704,2466.1963,528.40393
2457.2473,2447.9314,2466.3276,528.2238
2453.4119,2451.6182,2471.349,528.02734
2457.9146,2439.6816,2466.965,527.84485
2454.4775,2440.2856,2467.764,527.6642
2440.3843,2430.5598,2463.7131,527.4853
2441.7202,2425.2212,2451.8347,527.3394
2451.3892,2431.8953,2451.662,527.16376
2439.51,2433.1746,2467.742,526.92615
2436.5024,2441.6252,2453.2217,526.74
2438.792,2441.0542,2443.253,526.5846
2443.9731,2439.5703,2446.9653,526.4177
2440.0022,2437.6592,2457.838,526.2181
2445.8284,2432.2517,2451.908,526.0549
2435.7988,2435.485,2451.2795,525.89795
2447.8818,2430.5825,2438.9177,525.7795
2438.2883,2426.8354,2450.8103,525.6182
2399.789,2426.8591,2442.1223,525.4856
2402.6257,2426.3745,2404.4395,525.38574
2417.8123,2427.7341,2412.715,525.29645
2414.951,2431.8162,2438.1382,525.2027
2430.432,2430.0254,2433.8635,525.1421
2423.5059,2427.364,2435.1538,525.11707
2398.806,2426.9404,2421.9937,525.1326
2402.375,2426.1204,2399.8389,525.12286
2415.0234,2427.3308,2411.4646,525.0804
2410.2822,2431.136,2432.88,524.9979
2427.184,2433.6274,2426.4553,524.9704
2418.671,2432.3218,2432.7727,524.9494
2420.8406,2434.1963,2421.4587,524.955
2416.7083,2433.3525,2428.7456,524.905
2424.4094,2433.5981,2429.5398,524.84033
2424.1614,2438.6343,2439.0667,524.7638
2439.5356,2435.9429,2438.842,524.7493
2425.6946,2436.2744,2450.3833,524.6774
2421.972,2433.9575,2436.0078,524.4989
2421.1445,2430.9404,2435.2957,524.18256
2419.8232,2431.023,2438.503,523.79474
2421.4963,2432.1694,2438.674,523.3897
2431.0908,2438.2512,2438.2856,523.1193
2420.5547,2438.4463,2443.2756,522.97577
2419.6138,2437.4136,2430.4343,522.8535
2413.7717,2436.1648,2430.6287,522.8067
2418.6409,2429.856,2426.7527,522.79614
2421.8801,2431.6313,2430.7092,522.88873
2433.7195,2439.1763,2431.287,523.0166
2437.6177,2439.602,2437.2751,523.17474
2409.5178,2441.2168,2437.5269,523.3459
2407.15,2439.3958,2409.7417,523.55334
2412.0676,2434.222,2409.6262,523.7588
2419.7407,2433.1284,2423.8186,523.949
2428.842,2440.051,2434.5283,524.2126
2436.2222,2427.6172,2434.7898,524.53674
2414.4917,2435.7188,2435.4998,524.88873
2432.3074,2442.0146,2415.3965,525.2133
2438.2754,2448.618,2436.8408,525.459
2435.4153,2456.4565,2446.2456,525.6123
2447.9255,2455.7466,2439.5828,525.7391
2435.5103,2450.277,2443.5984,525.86926
2441.0498,2437.813,2432.9163,526.0399
2428.8887,2445.6675,2443.9949,526.1412
2439.536,2454.8074,2436.2246,526.32336
2423.9978,2464.897,2445.9595,526.4744
2436.144,2478.561,2431.8413,526.5612
2442.7173,2470.618,2441.0332,526.6372
2434.67,2469.4822,2449.5667,526.82184
2429.1511,2454.0962,2445.8447,527.11334
2446.6128,2455.9873,2439.5774,527.5968
2447.7485,2456.4294,2455.1868,528.11115
2451.9412,2458.1707,2458.7444,528.66003
2449.5864,2472.2773,2457.8093,529.2181
2468.9138,2470.352,2449.7112,529.7265
2460.6726,2485.9873,2464.4346,530.0878
2478.7317,2482.9207,2455.5828,530.4875
2482.2722,2469.2766,2463.0725,530.5982
2454.7576,2470.0754,2461.982,530.71173
2450.7942,2452.6077,2431.986,531.1529
2482.0923,2449.6294,2429.667,531.62427
2478.3357,2460.1946,2473.8616,531.71484
2476.9797,2444.7388,2472.4775,531.6983
2441.6582,2445.6028,2457.122,531.907
2425.4736,2422.6028,2414.5142,532.2462
2402.516,2424.1956,2412.9424,532.4744
2399.2502,2423.2349,2413.6821,532.73395
2482.7703,2448.1445,2426.0095,533.0195
2516.7512,2485.166,2504.6855,533.07074
2492.752,2492.3984,2521.1438,533.0488
2520.6685,2517.8757,2469.682,533.3945
2519.6062,2512.2888,2486.774,533.5999
2552.5618,2516.164,2504.9727,533.63513
2519.2769,2509.0183,2543.4368,533.4209
2542.4714,2510.4688,2501.2417,533.373
2508.5234,2512.9912,2510.5144,533.3225
2526.2878,2509.595,2485.3318,533.3387
2514.6387,2514.9766,2513.7659,533.229
2501.7036,2510.714,2509.2017,533.1563
2504.2686,2493.6714,2493.8257,533.1172
2503.5598,2485.154,2490.8242,533.09985
2494.76,2472.584,2493.7876,533.05835
2499.25,2465.5137,2491.2842,533.00555
2499.7644,2479.7505,2498.3218,532.9102
2492.433,2481.901,2499.462,532.78827
2499.9507,2480.7703,2488.956,532.69617
2495.153,2480.9265,2492.4084,532.5886
2505.797,2464.3687,2488.462,532.4657
2464.2883,2460.8145,2501.9258,532.2859
2467.9424,2469.308,2463.484,532.2395
2452.6375,2471.9585,2470.5864,532.1288
2451.654,2472.0994,2466.3828,532.01306
2486.1885,2467.4353,2469.5605,531.8707
2486.636,2466.9448,2501.942,531.62665
2446.4426,2458.6802,2494.2708,531.4734
2453.0608,2466.7556,2448.6807,531.41473
2438.5737,2469.0693,2456.4724,531.30396
2435.4814,2456.3284,2458.7734,531.1677
2470.6328,2451.1492,2460.344,531.0222
2473.9453,2444.5981,2485.7937,530.8798
2437.4521,2426.6294,2485.8687,530.7058
2436.2678,2433.4536,2438.5305,530.74396
2459.5708,2439.3306,2437.916,530.7442
2465.3237,2445.7153,2479.0107,530.61066
2478.54,2449.1836,2486.4258,530.48065
2470.4458,2447.3425,2480.0803,530.4089
2439.8242,2433.507,2460.0488,530.41486
2432.9326,2428.6682,2434.3152,530.46545
2452.6868,2437.5193,2440.531,530.52563
2462.2188,2443.005,2474.5862,530.4378
2469.6816,2454.9368,2480.533,530.3684
2466.768,2457.4285,2467.3171,530.3585
2422.9321,2452.8877,2454.6938,530.3842
2425.1501,2453.215,2419.6462,530.4477
2448.085,2454.3652,2436.6746,530.43616
2454.9785,2457.2017,2473.3542,530.32544
2462.9216,2458.798,2475.1665,530.23694
2459.9128,2455.3096,2458.92,530.24005
2412.7942,2447.2324,2447.73,530.2733
2417.1663,2443.2837,2414.1025,530.33606
2443.7273,2447.9644,2434.764,530.34827
2444.5566,2453.0798,2474.041,530.2225
2451.5664,2456.6123,2466.743,530.153
2453.322,2456.7827,2450.3386,530.1504
2418.0273,2450.0483,2446.8357,530.1532
2420.5684,2446.31,2426.319,530.1812
2446.683,2453.219,2440.301,530.16394
2449.603,2439.2383,2470.0046,530.04846
2451.7573,2443.9177,2464.0164,530.0026
2453.9253,2442.4,2445.913,530.03253
2416.356,2436.9949,2444.6255,530.0318
2421.6277,2449.4502,2422.6062,530.0284
2451.7002,2449.055,2437.355,529.99164
2448.9324,2450.8157,2468.9656,529.818
2443.2847,2441.3623,2456.491,529.7345
2440.0952,2441.8389,2431.9165,529.76636
2402.8738,2436.1465,2429.1724,529.7731
2407.0874,2430.9634,2412.3223,529.7382
2438.9114,2434.3674,2427.2163,529.6267
2438.7615,2436.1836,2455.9944,529.44165
2433.9595,2428.3184,2445.5615,529.25543
2430.9915,2429.8135,2422.947,529.11774
2398.435,2428.235,2419.3801,528.94324
2399.1782,2427.3054,2405.711,528.7437
2431.52,2436.5364,2416.0972,528.56366
2431.4602,2439.4749,2444.932,528.366
2436.4702,2433.0012,2435.3582,528.24066
2427.522,2430.0059,2424.7217,528.1198
2395.267,2421.5498,2413.8188,528.0448
2397.003,2418.055,2395.8774,527.96313
2427.5098,2423.5542,2409.0093,527.9246
2427.023,2426.599,2440.0447,527.8725
2433.1704,2424.2449,2432.6357,527.8715
2422.0508,2424.814,2421.6863,528.0008
2391.835,2424.5835,2408.4402,528.20874
2397.9207,2423.7595,2391.26,528.4265
2436.9822,2433.4866,2410.3381,528.6318
2433.841,2435.8108,2449.4731,528.66583
2432.4058,2431.1194,2434.7961,528.82764
2430.757,2433.2808,2413.8315,528.97815
2394.064,2434.9895,2412.6897,529.04456
2398.4587,2436.037,2391.774,529.05133
2403.1162,2444.567,2408.7092,528.9841
2419.4473,2444.0725,2412.6204,528.92505
2420.192,2433.8667,2424.806,528.85126
2432.8306,2431.207,2417.464,528.74255
2396.546,2429.7622,2428.0366,528.60864
2401.046,2427.743,2398.3362,528.5249
2406.5984,2436.2783,2409.7458,528.4586
2422.3127,2442.0398,2418.9014,528.5098
2430.2712,2442.3425,2436.096,528.64264
2443.8848,2441.7864,2438.2961,528.8402
2406.798,2441.0315,2446.6545,529.0436
2430.5852,2434.7083,2415.3467,529.2465
2461.3672,2432.3738,2441.7778,529.44617
2446.8025,2438.541,2472.166,529.56696
2442.639,2438.169,2451.683,529.77423
2439.9949,2438.4084,2435.9,530.0493
2404.9292,2445.272,2436.941,530.30786
2432.4832,2440.524,2420.5623,530.5785
2472.0515,2438.8105,2450.525,530.7518
2457.8315,2447.2825,2480.5598,530.9389
2454.641,2442.3296,2454.5994,531.23737
2432.3916,2442.0942,2435.4084,531.59344
2443.8218,2445.694,2420.4314,531.9618
2443.622,2448.5676,2453.5027,532.1525
2457.2043,2464.7908,2458.0867,532.36285
2457.3848,2483.888,2455.63,532.65106
2471.8635,2501.7727,2445.4526,533.00854
2440.433,2497.5261,2459.8562,533.219
2447.8796,2497.6768,2433.711,533.5261
2449.7131,2485.988,2448.8616,533.67804
2476.1318,2484.268,2454.5383,533.79755
2468.2346,2488.0984,2471.0686,533.8891
2512.2517,2481.3552,2456.3623,534.1479
2498.1812,2477.4268,2492.0427,534.185
2520.7332,2467.1443,2479.5303,534.2455
2482.0984,2460.5474,2500.9268,534.151
2510.0466,2461.5203,2462.6003,534.3713
2483.839,2461.9758,2485.5613,534.429
2517.2236,2465.6487,2471.7302,534.6265
2517.725,2467.4495,2506.1802,534.60266
2530.6204,2470.344,2506.407,534.67865
2498.0671,2470.7837,2514.9514,534.8138
2547.018,2481.614,2482.2344,535.3311
2504.1748,2498.6453,2524.2732,535.58484
2555.6465,2511.1182,2496.0864,536.14166
2505.45,2521.698,2536.258,536.27625
2542.248,2525.474,2490.3586,536.97876
2506.473,2520.9783,2519.1868,537.19556
2561.3042,2511.344,2488.7712,537.6543
2529.8594,2511.9363,2535.466,537.6902
2504.9343,2508.083,2502.3826,537.9651
2498.8489,2511.2954,2470.7195,538.35754
2537.4885,2519.028,2468.7046,538.5956
2510.477,2511.485,2527.1711,538.48584
2545.9883,2490.6396,2502.1094,538.5428
2483.705,2467.8242,2518.87,538.58344
2453.0205,2438.0698,2455.5068,538.85126
2448.2114,2438.0085,2439.7893,539.21106
2473.8066,2458.1045,2460.0588,539.4298
2534.106,2476.8262,2506.6182,539.5797
2587.2412,2496.1704,2555.6516,539.5884
2535.2156,2507.654,2576.0198,539.42596
2531.353,2513.372,2501.681,539.7893
2519.4253,2519.1787,2506.373,540.3912
2582.0881,2538.3977,2518.5732,540.6032
2541.239,2547.3323,2595.589,540.3528
2606.7378,2545.7517,2544.3992,540.38275
2559.1758,2543.2874,2576.504,540.3001
2576.8984,2538.6372,2529.531,540.4316
2560.6536,2531.4243,2556.4893,540.3109
2584.1418,2535.8372,2551.075,540.2289
2558.0103,2538.8813,2575.5413,540.06555
2601.8118,2532.3958,2542.0085,540.0149
2556.678,2527.824,2573.1382,539.8928
2542.7458,2522.9695,2534.5059,539.8476
2519.046,2519.3726,2527.6646,539.7682
2563.9734,2523.3901,2514.1304,539.6812
2545.5774,2527.0544,2565.6262,539.4777
2578.4297,2523.6492,2542.8718,539.3641
2540.1948,2517.2695,2553.5425,539.21686
2553.907,2510.8906,2516.7722,539.2967
2515.8416,2503.4734,2541.2788,539.0944
2557.36,2503.3464,2515.4736,538.9905
2534.5613,2505.9004,2556.055,538.7469
2562.5505,2500.0918,2530.8108,538.5663
2536.9192,2497.7554,2545.244,538.33295
2535.0217,2493.9238,2521.8171,538.19476
2506.8923,2494.1465,2531.7722,537.9576
2553.8455,2498.4724,2515.6177,537.64746
2516.8757,2500.0688,2557.4575,537.29785
2556.543,2496.23,2523.1328,536.9467
2535.1582,2487.5552,2546.0537,536.5818
2524.2427,2478.8765,2529.125,536.3476
2501.4663,2472.7153,2527.1235,536.0718
2542.7234,2468.658,2510.162,535.75116
2504.8135,2474.6772,2548.5862,535.34485
2545.185,2470.0127,2514.6252,534.95624
2522.456,2466.7854,2539.0835,534.5673
2511.8306,2459.2375,2518.7527,534.3392
2480.594,2449.1301,2515.028,534.094
2509.5137,2448.163,2486.962,533.89844
2482.3213,2450.194,2520.7441,533.6219
2517.4514,2447.7988,2501.1855,533.32635
2486.021,2450.5376,2523.3203,533.1066
2507.337,2446.6248,2490.275,532.9251
2469.8296,2446.893,2514.4749,532.70416
2467.4973,2452.5151,2484.3398,532.4807
2444.6023,2452.8093,2479.7622,532.2648
2488.1594,2453.1267,2464.7275,532.02545
2478.4958,2453.2043,2509.314,531.7469
2458.658,2450.109,2501.8284,531.4803
2440.9243,2447.0007,2472.8926,531.29584
2464.951,2446.7307,2453.5771,531.1245
2442.617,2448.8777,2490.1838,530.8789
2493.0918,2444.6953,2473.946,530.6932
2476.5623,2442.05,2514.2625,530.3946
2446.5645,2439.1985,2488.1787,530.19684
2459.06,2436.6008,2452.9001,530.0626
2459.4307,2438.2983,2471.717,529.89374
2457.4297,2447.53,2485.0981,529.68317
2499.463,2450.1628,2480.3481,529.47723
2455.2183,2449.1943,2507.707,529.20935
2474.5476,2449.521,2452.4404,529.1172
2436.8408,2445.3372,2472.9917,528.95764
2462.648,2445.1096,2446.0352,528.83704
2434.6921,2454.2134,2478.92,528.6564
2472.8213,2458.7495,2449.6382,528.56024
2474.2634,2459.5513,2478.4836,528.42816
2449.0193,2459.389,2475.38,528.33484
2461.8638,2451.6484,2449.128,528.2972
2460.458,2450.5798,2461.629,528.25385
2451.3367,2456.738,2468.8381,528.1836
2469.3728,2458.0244,2458.3005,528.14233
2440.313,2458.5713,2468.2112,528.1124
2463.3308,2451.7256,2438.083,528.1884
2430.3457,2444.3135,2466.5771,528.1553
2451.8337,2447.4556,2436.971,528.21375
2421.1245,2454.4321,2459.806,528.17975
2461.5715,2461.108,2428.428,528.26953
2448.2073,2462.466,2464.6055,528.2372
2456.626,2456.0535,2450.9639,528.3194
2435.0054,2449.231,2458.1875,528.3416
2459.8245,2445.6555,2433.4995,528.4317
2429.7007,2452.725,2460.8972,528.4013
2469.2932,2458.9827,2433.36,528.4888
2469.5564,2459.3608,2466.7903,528.40155
2442.1567,2456.3013,2464.7974,528.3324
2456.1353,2448.902,2434.3306,528.38025
2449.185,2443.6565,2446.7224,528.37787
2438.7568,2447.7585,2449.4746,528.3565
2470.0247,2451.9954,2440.4517,528.3589
2441.7234,2451.7522,2464.9785,528.2926
2470.3037,2451.3108,2434.6726,528.3203
2431.4104,2446.1821,2464.3147,528.2489
2452.869,2444.8691,2427.482,528.2265
2431.9314,2447.7,2451.415,528.12427
2456.4724,2451.0786,2436.719,528.0668
2439.9963,2451.605,2460.297,527.9508
2427.4185,2449.0454,2442.0037,527.914
2418.287,2446.2166,2432.248,527.8567
2438.0356,2443.945,2429.6672,527.8581
2421.2786,2444.9827,2459.691,527.9372
2460.7542,2448.1123,2446.378,528.0086
2462.658,2448.072,2474.9514,528.1295
2474.231,2447.112,2471.7783,528.1447
2437.904,2453.7363,2479.6628,527.97046
2455.583,2460.7288,2442.498,527.7075
2431.5615,2470.0417,2463.1663,527.37067
2469.3843,2480.5378,2450.8875,527.1143
2453.0051,2477.4917,2484.203,526.9187
2463.9475,2477.808,2460.219,526.87714
2432.7083,2473.2024,2464.1763,526.8215
2448.0928,2478.7227,2434.317,526.86163
2425.6526,2483.129,2454.1616,526.7989
2456.4458,2478.8281,2439.0496,526.8091
2458.9968,2474.777,2463.8757,526.7497
2468.3743,2459.9517,2459.6367,526.72797
2428.576,2454.4797,2463.1775,526.68256
2458.8435,2456.602,2420.595,526.7553
2432.192,2462.3857,2457.948,526.7377
2455.4204,2465.7495,2443.3484,526.756
2451.961,2462.9382,2461.0664,526.83325
2465.196,2454.3484,2451.362,527.0155
2431.1438,2452.0742,2464.928,527.1529
2446.6653,2463.1523,2432.733,527.38904
2433.9758,2470.495,2450.3386,527.5301
2458.7915,2477.73,2447.2349,527.6205
2439.6333,2474.7634,2469.3008,527.7334
2452.6357,2461.0234,2443.6782,527.94714
2431.0688,2457.3481,2454.7153,528.1066
2452.1008,2463.847,2441.373,528.3017
2452.599,2473.5374,2464.4792,528.4034
2465.143,2481.9707,2466.353,528.5036
2444.7788,2483.1033,2470.307,528.56714
2469.772,2480.1965,2446.948,528.8692
2463.7844,2475.8716,2469.3123,529.0149
2489.1726,2479.3235,2472.119,529.2315
2464.3794,2478.7053,2492.4983,529.5043
2508.143,2473.395,2464.5261,530.0018
2470.1768,2470.2317,2495.7534,530.3568
2490.3528,2472.9424,2463.8767,530.94226
2474.547,2479.2498,2479.5676,531.4581
2509.6985,2482.8848,2469.1719,532.0617
2479.4084,2490.6274,2499.377,532.2216
2456.795,2487.2588,2463.59,532.64136
2481.3872,2481.7825,2434.5803,533.21246
2505.6062,2481.5554,2465.5398,533.6476
2470.06,2472.0361,2503.1523,533.68744
2485.84,2452.9802,2463.2332,534.11633
2439.4705,2440.556,2466.0896,534.5119
2413.2764,2402.7388,2427.4636,534.9835
2398.994,2403.6409,2417.9827,535.4878
2459.7305,2428.9016,2419.6108,535.99176
2507.384,2453.7227,2493.304,536.3748
2531.9258,2501.7893,2531.658,536.52026
2510.849,2520.495,2522.885,536.86707
2525.2104,2526.7993,2486.691,538.11365
2510.1838,2534.993,2504.461,539.0279
2584.5383,2549.721,2508.7732,539.34186
2535.211,2555.1492,2580.3591,539.141
2598.1545,2559.6245,2523.6465,539.3282
2533.016,2556.5745,2560.1165,539.777
2580.8574,2552.097,2502.9697,539.8932
2527.627,2543.0269,2559.1758,539.69116
2582.2253,2540.1592,2520.4695,539.6183
2532.4998,2533.8938,2562.6765,539.42944
2594.8608,2524.1929,2516.4128,539.295
2538.1692,2516.0525,2568.0718,538.8529
2536.4846,2503.434,2520.77,538.66223
2530.1975,2494.6333,2523.4473,538.3583
2572.0896,2491.5972,2525.7288,538.0314
2534.6104,2489.6775,2563.181,537.66223
2584.6897,2479.4111,2525.1797,537.3729
2503.098,2476.5493,2557.5874,536.8976
2499.4858,2466.7427,2490.8806,536.7656
2487.2502,2463.5476,2502.4001,536.48517
2519.009,2473.438,2510.4265,536.1725
2493.538,2474.3237,2544.4082,535.73486
2528.296,2469.8455,2511.2993,535.5775
2499.571,2475.2642,2529.9202,535.24054
2491.1658,2465.7202,2509.8945,535.0957
2475.5325,2463.448,2511.7527,534.9321
2499.6794,2473.2988,2502.7139,534.798
2473.018,2466.2375,2516.0544,534.725
2505.986,2463.6814,2497.2104,534.5888
2475.369,2465.2961,2518.7312,534.3427
2469.4915,2454.4255,2495.192,534.12164
2472.8313,2453.92,2495.2683,533.89154
2505.4521,2458.9792,2498.486,533.66394
2468.8894,2453.5076,2525.8477,533.3539
2503.9033,2450.143,2484.5784,533.1612
2472.0886,2454.0547,2505.5107,532.9402
2452.561,2450.1138,2485.4292,532.692
2459.2761,2451.8296,2476.5503,532.41833
2489.2888,2453.757,2485.042,532.1092
2454.9695,2444.438,2511.9424,531.76666
2486.7305,2433.7366,2473.5376,531.45483
2454.6409,2429.6162,2492.1477,531.0973
2432.7498,2424.1528,2467.8481,530.8701
2445.2595,2422.1711,2456.4153,530.6647
2461.5698,2424.8284,2473.362,530.4356
2443.0059,2428.816,2492.4922,530.12244
2465.9553,2426.061,2464.9421,529.97534
2425.8596,2426.2517,2476.9304,529.79004
2446.6216,2416.5483,2444.1392,529.67773
2437.0544,2405.1296,2475.2854,529.54395
2429.0342,2407.9897,2469.0903,529.4495
2432.0237,2413.939,2454.027,529.38354
2453.2617,2414.6492,2451.99,529.31287
2429.6833,2417.939,2474.2134,529.13464
2412.9526,2408.303,2452.207,528.98505
2415.3567,2405.0518,2435.453,528.83105
2416.5999,2414.1875,2437.609,528.6789
2409.7292,2428.3574,2442.8484,528.52295
2442.8923,2443.5793,2434.331,528.3894
2429.67,2443.4238,2460.399,528.2027
2400.9326,2440.8723,2444.0195,528.06244
2394.7686,2426.203,2411.524,527.8573
2412.7969,2420.477,2404.9814,527.6263
2414.102,2416.1165,2434.0742,527.4168
2446.8857,2407.7334,2437.372,527.1526
2426.8633,2413.7373,2454.0945,526.8942
2400.0178,2412.5461,2423.4373,526.67896
2396.0063,2414.0767,2396.9448,526.49884
2430.0227,2423.0903,2401.863,526.3554
2409.898,2419.7898,2448.9543,526.13544
2433.6792,2411.8315,2425.843,526.0758
2407.7607,2410.8562,2429.2998,526.08405
2405.1,2400.028,2399.7498,526.1547
2400.3423,2394.7388,2408.8594,526.1767
2403.1975,2402.9175,2411.5212,526.25397
2391.9167,2418.4866,2415.8547,526.3441
2430.1157,2433.1123,2398.7554,526.4541
2414.4692,2445.1284,2431.6494,526.568
2399.776,2446.5874,2414.9604,526.74817
2403.2666,2430.1077,2398.8062,526.97345
2405.459,2427.6633,2403.216,527.2114
2380.9692,2434.079,2411.8704,527.34076
2415.0186,2437.3604,2382.8254,527.54913
2403.0627,2445.6257,2414.8333,527.6218
2378.2744,2448.4937,2403.7617,527.6922
2375.668,2434.6123,2376.4407,527.797
2414.1462,2430.8425,2372.2214,527.8642
2406.3203,2438.682,2425.7178,527.7581
2422.0735,2438.0503,2413.425,527.65594
2425.6077,2438.6824,2408.63,527.59033
